id,utt,annot_utt
39,би байршлын үйлчилгээгээ нээлттэй байлгах хэрэгтэй байна чи шалгачих,би байршлын үйлчилгээгээ нээлттэй байлгах хэрэгтэй байна чи шалгачих
40,миний цэнэгийн хэмжээг шалгаарай,миний цэнэгийн хэмжээг шалгаарай
41,миний утасны дэлгэцийн гэрлийн статусыг мэдмээр байна,миний утасны дэлгэцийн гэрлийн статусыг мэдмээр байна
42,миний үлдсэн багтаамжийг харуул,миний үлдсэн багтаамжийг харуул
43,би ядраагүй ээ үнэндээ би их аз жаргалтай байна,би ядраагүй ээ үнэндээ би их аз жаргалтай байна
44,оогий би ядргаагүй үнэндээ аз жаргалтай байна,оогий би ядргаагүй үнэндээ аз жаргалтай байна
45,юу байна,юу байна
46,юу байна олли,юу байна олли
47,авсралид хэдэн цаг болж байна,[place_name : авсралид] хэдэн цаг болж байна
48,ховдод цаг хэд болж байгааг хэлээрэй,[place_name : ховдод] цаг хэд болж байгааг хэлээрэй
49,гринвичийн нэмэх тав цагийн бүсийг хэл,[time_zone : гринвичийн нэмэх тав цагийн бүсийг] хэл
50,olly гринвичийн нэмэх тав цагийн бүсэд хэд болж байгааг хэл,olly [time_zone : гринвичийн нэмэх тав цагийн бүсэд] хэд болж байгааг хэл
51,олли хятад хоолны хамгийн их үнэлгээтэй хүргэлт хийдэг газруудыг жагсаа,олли [food_type : хятад] хоолны хамгийн их үнэлгээтэй [order_type : хүргэлт] хийдэг газруудыг жагсаа
52,хамгийн их үнэлгээтэй хятад хоолны хүргэлтийн газрууд,хамгийн их үнэлгээтэй [food_type : хятад] хоолны [order_type : хүргэлтийн] газрууд
53,хятад хоолны хамгийн их үнэлгээтэй хүргэлт хийдэг газруудыг жагсаа,[food_type : хятад хоолны] хамгийн их үнэлгээтэй [order_type : хүргэлт хийдэг] газруудыг жагсаа
54,олли хамгийн их хүргэлттэй хятад хоол захиал,олли хамгийн их [order_type : хүргэлттэй] [food_type : хятад] хоол захиал
55,санал болгох аль нэг газраас карритай хоол авмаар байна,санал болгох аль нэг газраас [food_type : карритай хоол] авмаар байна
56,би авч явахаар карри захиалмаар байна олли ямар нэгэн санал болгох газар байна уу,би авч явахаар [food_type : карри] захиалмаар байна олли ямар нэгэн санал болгох газар байна уу
57,надад хотын төвөөр тайланд авч явах хоол олоод өгөөч,надад [place_name : хотын төвөөр] [food_type : тайланд] [order_type : авч явах] хоол олоод өгөөч
58,надад хотын төвөөр тайланд авч явах хоол олоод өгөөч,надад [place_name : хотын төвөөр] [food_type : тайланд] [order_type : авч явах] хоол олоод өгөөч
59,миний долоон цагийн сэрүүлгийг болиул,миний [time : долоон цагийн] сэрүүлгийг болиул
60,долоон цагийн сэрүүлгийг болиул,[time : долоон цагийн] сэрүүлгийг болиул
61,би ямар сэрүүлгүүд тавьсан бэ,би ямар сэрүүлгүүд тавьсан бэ
62,асаалттай сэрүүлгүүдийг жагсаа,асаалттай сэрүүлгүүдийг жагсаа
63,миний сэрүүлэгнүүдийг хэлээд өгөөч,миний сэрүүлэгнүүдийг хэлээд өгөөч
65,өнөөдөр хөл бөмбөг юу болов,[date : өнөөдөр] [news_topic : хөл бөмбөг] юу болов
66,мотив хэнзхэн хайр тоглуулна уу,[artist_name : мотив] [song_name : хэнзхэн хайр] тоглуулна уу
67,би номин талстын би гэртээ сонсмоор байна,би [artist_name : номин талстын] [song_name : би гэртээ] сонсмоор байна
68,хурдын бүсгүйг тогло,[artist_name : хурдын] [song_name : бүсгүйг] тогло
69,би рок хөгжимд дуртай,би [music_genre : рок] хөгжимд дуртай
70,миний хамгийн дуртай хөгжмийн хамтлаг бол номин талст,миний хамгийн дуртай хөгжмийн хамтлаг бол [artist_name : номин талст]
71,би сэрчмаагийн дуунуудад дуртай,би [artist_name : сэрчмаагийн] дуунуудад дуртай
72,миний дуртай жагсаалтаас хөгжим тавь,миний дуртай жагсаалтаас хөгжим тавь
73,миний хамгийн дуртай дууг тоглуулаад өг,миний хамгийн дуртай дууг тоглуулаад өг
74,хамтлаг одоо юу тоглож байна,хамтлаг одоо юу тоглож байна
75,энэ дууны зохиолч нь хэн бэ,энэ дууны зохиолч нь хэн бэ
76,энэ дуу ямар цомгийнх вэ,энэ дуу ямар цомгийнх вэ
77,оли нэдэд энэ дуу үнэхээр таалагдаж байна,оли нэдэд энэ дуу үнэхээр таалагдаж байна
78,чиний тавьсан дуу гайхалтай юм,чиний тавьсан дуу гайхалтай юм
79,энэ миний хувьд хамгийн гоё дуунуудын нэг,энэ миний хувьд хамгийн гоё дуунуудын нэг
80,гэрэлтүүлгийн хүчин чадлыг нэмэгдүүл,гэрэлтүүлгийн хүчин чадлыг нэмэгдүүл
81,гэрлийг тодруулаарай,гэрлийг тодруулаарай
82,гэрлүүдийг хамгийн их рүү нь ихэсгэ,гэрлүүдийг [change_amount : хамгийн их рүү] нь ихэсгэ
83,робот тоос сорогч ажиллуул,[device_type : робот тоос сорогч] ажиллуул
84,цэвэрлэгч робот асаа,[device_type : цэвэрлэгч робот] асаа
85,өнөөдрийн огноог хэл,[date : өнөөдрийн] огноог хэл
86,өнөөдөр хэдэн бэ,[date : өнөөдөр] хэдэн бэ
87,оройн хоолонд сүши захиал,[meal_type : оройн хоолонд] [food_type : сүши] захиал
88,бургер захиалмаар байна,[food_type : бургер] захиалмаар байна
89,өнөө орой оройн хоолонд суши захиалаарай,[timeofday : өнөө орой] [meal_type : оройн хоолонд] [food_type : суши] захиалаарай
90,миний оройн хоолны захиалга яасан бэ,миний оройн хоолны захиалга яасан бэ
91,би баянгол ресторанаас авч явахаар оройн хоол захиалж болох уу,би [business_name : баянгол ресторанаас] [order_type : авч явахаар] [meal_type : оройн хоол] захиалж болох уу
92,k. f. c. авч явахаар хоол гаргадаг уу,[business_name : k. f. c.] [order_type : авч явахаар] хоол гаргадаг уу
93,арван хоёр цагт сэрүүлэг тавь,[time : арван хоёр цагт] сэрүүлэг тавь
94,дөчин минутын дараа сэрүүлэг тавь,[time : дөчин минутын дараа] сэрүүлэг тавь
95,ажлын өдрүүдэд найман цагт сэрүүлэг тавь,[general_frequency : ажлын өдрүүдэд] [time : найман цагт] сэрүүлэг тавь
96,бороотой байна уу,[weather_descriptor : бороотой] байна уу
97,бороо орох уу,[weather_descriptor : бороо] орох уу
98,одоогийн байдлаар цас орж байна уу,одоогийн байдлаар [weather_descriptor : цас орж] байна уу
99,долоо хоногийн урьдчилсан мэдээ ямар байна,[time : долоо хоногийн] урьдчилсан мэдээ ямар байна
100,долоо хоногийн урьдчилсан мэдээ ямар байна,[time : долоо хоногийн] урьдчилсан мэдээ ямар байна
101,энэ долоо хоногийн цаг агаар ямар байна,[date : энэ долоо хоногийн] цаг агаар ямар байна
102,энэ долоо хоногийн цаг агаар ямар байх вэ,[date : энэ долоо хоногийн] цаг агаар ямар байх вэ
103,энэ долоо хоногийн цаг цагаарыг надад хэлээрэй,[date : энэ долоо хоногийн] цаг цагаарыг надад хэлээрэй
104,монгол т.в. мэдээ,[media_type : монгол т.в.] мэдээ
105,эм эн би си сувгаар ямар мэдээ байна,[media_type : эм эн би си] сувгаар ямар мэдээ байна
106,цагийн хүрдийн сүүлийн мэдээ юу вэ,[media_type : цагийн хүрдийн] сүүлийн мэдээ юу вэ
107,зөвхөн чам руу г тоглуулаарай,[song_name : зөвхөн чам руу] г тоглуулаарай
108,миний дуртай дууг тогло,миний дуртай дууг тогло
109,сарантуяаг тавьчих,[song_name : сарантуяаг] тавьчих
110,харанга сонсъё,[artist_name : харанга] сонсъё
111,камертон тавь,[artist_name : камертон] тавь
112,жаахан вандебог тоглуул,жаахан [artist_name : вандебог] тоглуул
113,энэ дууг дахин тоглуул,энэ дууг [player_setting : дахин тоглуул]
114,энэ дууны жагсаалтыг холь,энэ дууны жагсаалтыг [player_setting : холь]
115,дууны хэмжээг доод хэмжээнд нь тавь,дууны хэмжээг [change_amount : доод хэмжээнд нь] тавь
116,юу явж байна,юу явж байна
117,энэ ямар хөгжим бэ,энэ ямар хөгжим бэ
118,энэ дууны дуучныг нь хэлээд өгөөч,энэ дууны дуучныг нь хэлээд өгөөч
119,намайг инээлгэ,намайг инээлгэ
120,олли намайг инээлгэ,олли намайг инээлгэ
121,надад сайн онигоо хэл,надад [joke_type : сайн] онигоо хэл
122,миний замд инээмсэглээрэй,миний замд инээмсэглээрэй
123,надад онигоо ярь,надад онигоо ярь
124,олли надаа онигоо хэлээч,олли надаа онигоо хэлээч
125,алекса надаа онигоо яриач,алекса надаа онигоо яриач
126,намайг инээлгэ,намайг инээлгэ
127,өнөөдөр хэд дэх өдөр вэ,[date : өнөөдөр] хэд дэх өдөр вэ
128,он сар өдөр хэдэн бэ,он сар өдөр хэдэн бэ
129,надад өнөөдрийн тухай яриач,надад [date : өнөөдрийн] тухай яриач
130,pizza захиал,[food_type : pizza] захиал
131,надад ток ток оос рүби рүүм захиал,надад [business_name : ток ток] оос [food_type : рүби рүүм] захиал
132,авч явах хоол захиал,[order_type : авч явах] хоол захиал
133,миний захиалга хэзээ ирэх вэ,миний захиалга хэзээ ирэх вэ
134,хүргэлтийн хоол иртэл хэр удах вэ,[order_type : хүргэлтийн хоол] иртэл хэр удах вэ
135,баянголын хүргэлт ямархуу вэ,[business_name : баянголын] [order_type : хүргэлт] ямархуу вэ
136,юу явж байна,юу явж байна
137,дууны нэрийг хэлээд өгөөч,дууны нэрийг хэлээд өгөөч
138,энэ ямар дуу вэ,энэ ямар дуу вэ
139,миний жааз хөгжмийн жагсаалтыг тоглуул,миний [music_genre : жааз хөгжмийн] жагсаалтыг тоглуул
140,миний жааз плейлистийг тоглуул,миний [music_genre : жааз] плейлистийг тоглуул
141,миний дуртай дууны жагсаалтыг тоглуул,миний дуртай дууны жагсаалтыг тоглуул
142,тэр гоё дуу байна,тэр гоё дуу байна
143,надад таалагдахгүй байна,надад таалагдахгүй байна
144,би үүнд дуртай,би үүнд дуртай
145,би жаазд дуртай,би [music_genre : жаазд] дуртай
146,чи жоохон жазз тоглуулж болох уу,чи жоохон [music_genre : жазз] тоглуулж болох уу
147,би жааз сонсмоор байна,би [music_genre : жааз] сонсмоор байна
148,olly жааз сонсмоор байна,olly [music_genre : жааз] сонсмоор байна
149,энэ дуу маш гоё байсан,энэ дуу маш гоё байсан
150,би энэ дуунд дуртай,би энэ дуунд дуртай
151,үүнийг дахин тоглуулаач,үүнийг дахин тоглуулаач
152,дууг нь өөрчил,дууг нь өөрчил
153,хольж эхлүүл,[player_setting : хольж] эхлүүл
154,тохиргоог хадгал,тохиргоог хадгал
155,цайралтыг тавин хувь болго,цайралтыг [change_amount : тавин хувь] болго
156,гэрлийг бүдгэрүүл,гэрлийг бүдгэрүүл
157,цайруулалтыг бууруул,цайруулалтыг бууруул
158,гэрлийг багасга,гэрлийг багасга
159,тод гэрэлтүүлгийг багасга,тод гэрэлтүүлгийг багасга
160,гэрлүүдийг бүдгэрүүл,гэрлүүдийг бүдгэрүүл
161,olly гэрлийг бүдэгрүүл,olly гэрлийг бүдэгрүүл
162,надад кофе хий,надад кофе хий
163,олли надад кофе хийгээд өгөөч,олли надад кофе хийгээд өгөөч
164,надад кофе хэрэгтэй байна,надад кофе хэрэгтэй байна
165,би одоо кофе уумаар байна,би одоо кофе уумаар байна
166,юу байна даа,юу байна даа
167,сайн уу сайн уу,сайн уу сайн уу
168,тэд нар авч явахаар хоол гаргадаг уу,тэд нар [order_type : авч явахаар] хоол гаргадаг уу
169,тэднийх хүргэлт хийх үү,тэднийх [order_type : хүргэлт] хийх үү
170,тэднийх гэрт хүргэдэг үү,тэднийх гэрт [order_type : хүргэдэг] үү
171,олли тэднийх гэрт хүргэдэг үү,олли тэднийх гэрт [order_type : хүргэдэг] үү
172,өглөө арван цагт сэрүүлэг тавь,[time : өглөө арван цагт] сэрүүлэг тавь
173,маргааш өглөөний зургаан цагт сэрүүлэг тавь,[date : маргааш] [time : өглөөний зургаан цагт] сэрүүлэг тавь
174,дөрөвдөхийн долоон цагт сэрэхээр тохируул,[date : дөрөвдөхийн] [time : долоон цагт] сэрэхээр тохируул
175,технологийн тухай шинэ мэдээг хэл,[news_topic : технологийн] тухай шинэ мэдээг хэл
176,сүүлийн үеийн технологийн мэдээг надад хэл,сүүлийн үеийн [news_topic : технологийн] мэдээг надад хэл
177,бизнес мэдээ хэл,[news_topic : бизнес] мэдээ хэл
178,олон улсын мэдээ хэл,[place_name : олон улсын] мэдээ хэл
179,цаг агаар ямар байгааг хэлээч,цаг агаар ямар байгааг хэлээч
180,одоо цаг агаар ямар байна,одоо цаг агаар ямар байна
181,одоо бороо орж байна уу,одоо [weather_descriptor : бороо орж] байна уу
182,миний рок дууны жагсаалтыг тоглуул,миний [music_genre : рок] дууны жагсаалтыг тоглуул
183,харангын цомгийг нээ,[artist_name : харангын] цомгийг нээ
184,миний плейлистээс michael jackson тавь,миний плейлистээс [artist_name : michael jackson] тавь
185,миний дууны жагсаалтын гуравдахь дууг тоглуулаач,миний дууны жагсаалтын гуравдахь дууг тоглуулаач
186,миний дуртай дууны жагсаалтаас хөөрхөн халиуныг тоглуул,миний дуртай дууны жагсаалтаас [song_name : хөөрхөн халиуныг] тоглуул
187,дууг чангал,дууг чангал
188,дууны түвшинг нэм,дууны түвшинг нэм
189,дууг байхгүй болго,дууг байхгүй болго
190,залгуур асаа,[device_type : залгуур] асаа
191,залгуураа асаа,[device_type : залгуураа] асаа
192,миний залгуурыг асаа,миний [device_type : залгуурыг] асаа
193,надад онигоо хэлээч,надад онигоо хэлээч
194,чи ямар нэгэн онигоо мэдэх үү,чи ямар нэгэн онигоо мэдэх үү
195,цаг хэд болж байна,цаг хэд болж байна
196,цаг хэлээдхээч,цаг хэлээдхээч
197,цаг хэд вэ,цаг хэд вэ
198,пицца хатаас авч явахаар захиалж болох уу,[food_type : пицца хатаас] [order_type : авч явахаар] захиалж болох уу
199,миний дуртай пиццаны газар авч явахаар хоол гаргах боломжтой байна уу,миний дуртай [food_type : пиццаны] газар [order_type : авч явахаар] хоол гаргах боломжтой байна уу
200,би испани газраас авч явахаар хоол авч болох уу,би [food_type : испани] газраас [order_type : авч явахаар] хоол авч болох уу
201,дөнгөж сая тохируулсан сэрүүлгийг устга,дөнгөж сая тохируулсан сэрүүлгийг устга
202,сэрүүлэг устга,сэрүүлэг устга
203,миний тавьсан сэрүүлгүүдийг харуул,миний тавьсан сэрүүлгүүдийг харуул
204,надад ямар нэгэн сэрүүлэг байна уу,надад ямар нэгэн сэрүүлэг байна уу
205,сэрүүлгүүдийг харуул,сэрүүлгүүдийг харуул
206,дарханд цаг агаар ямар байна,[place_name : дарханд] цаг агаар ямар байна
207,эрдэнэтийн цаг агаарыг хэлээч,[place_name : эрдэнэтийн] цаг агаарыг хэлээч
209,гэрэлнүүдээ уншихад тохиромжтой болго,гэрэлнүүдээ [color_type : уншихад тохиромжтой] болго
210,гэрлийг нүдэнд тухтай болго,гэрлийг [color_type : нүдэнд тухтай] болго
211,өрөөг илүү гэрэлтэй болго,[house_place : өрөөг] илүү гэрэлтэй болго
212,гэрэл асаа,гэрэл асаа
213,өнөөдөр хэдэн бэ,[date : өнөөдөр] хэдэн бэ
214,өнөөдөр хэд дэх өдөр вэ,[date : өнөөдөр] хэд дэх өдөр вэ
215,надад он сар өдрийг хэл,надад он сар өдрийг хэл
216,өнөөдөр цаг агаар ямархуу байна,[date : өнөөдөр] цаг агаар ямархуу байна
217,гадаа бороотой байна уу,гадаа [weather_descriptor : бороотой] байна уу
218,чойбалсанд гадаа бороотой байна уу,чойбалсанд гадаа [weather_descriptor : бороотой] байна уу
219,маргааш би шүхэр авах хэрэгтэй юу,[date : маргааш] би [weather_descriptor : шүхэр] авах хэрэгтэй юу
220,рок дууны жагсаалтнаас хөгжим тоглуул,[playlist_name : рок дууны жагсаалтнаас] хөгжим тоглуул
221,гэрэлнүүдээ ногоон өнгө рүү өөрчил,гэрэлнүүдээ [color_type : ногоон] өнгө рүү өөрчил
222,энэ дууг миний дуртай жагсаалтанд нэм,энэ дууг миний дуртай жагсаалтанд нэм
223,энэ ямар дуу вэ,энэ ямар дуу вэ
224,олли гэрлүүдийг унтраа,олли гэрлүүдийг унтраа
225,гэрэлнүүдийг унтраа,гэрэлнүүдийг унтраа
226,шалыг цэвэрлэ,[house_place : шалыг] цэвэрлэ
227,будаа агшаагчийн оролтыг асаа,[device_type : будаа агшаагчийн оролтыг] асаа
228,будаа агшаагчны залгуурыг унтраа,[device_type : будаа агшаагчны залгуурыг] унтраа
229,дарханд хэдэн цаг болж байна,[place_name : дарханд] хэдэн цаг болж байна
230,эрдэнэтэд цаг хэд болж байна,[place_name : эрдэнэтэд] цаг хэд болж байна
231,сонгоос сүши захиалахад надад туслаач,[business_name : сонгоос] [food_type : сүши] захиалахад надад туслаач
232,өглөө зургаан цагт сэрүүлэг тавь,[timeofday : өглөө] [time : зургаан] цагт сэрүүлэг тавь
233,үдээс хойш дөрвөн цагт сэрүүлэг тавь,[timeofday : үдээс хойш] [time : дөрвөн цагт] сэрүүлэг тавь
234,олли арван таван цагт тоглолт руу явахыг сануулаарай,олли [time : арван таван цагт] [event_name : тоглолт] руу явахыг сануулаарай
235,маргааш арван таван цагт тоглолт руу явахыг сануулаарай,маргааш [time : арван таван цагт] [event_name : тоглолт] руу явахыг сануулаарай
236,би өглөөний нислэгт сэрүүлэг тавьсан уу,би [timeofday : өглөөний] [event_name : нислэгт] сэрүүлэг тавьсан уу
237,өглөө босох сэрүүлгээ би тавьсан уу,[timeofday : өглөө] [alarm_type : босох] сэрүүлгээ би тавьсан уу
238,ямар нэгэн сэрүүлэг байна уу,ямар нэгэн сэрүүлэг байна уу
239,улаанбаатарт бороотой байна уу,[place_name : улаанбаатарт] [weather_descriptor : бороотой] байна уу
240,өнөөдөр бороо орох уу,[date : өнөөдөр] [weather_descriptor : бороо] орох уу
241,гадаа юу болж байна,гадаа юу болж байна
242,америкт юу болж байна,[place_name : америкт] юу болж байна
243,дэлхий дахинд юу болж байна,[place_name : дэлхий] дахинд юу болж байна
244,их сургуульд юу болов,[place_name : их сургуульд] юу болов
245,b. b. c. гийн мэдээ надад үзүүл,[media_type : b. b. c. гийн] мэдээ надад үзүүл
246,зарим нэг u. b. s. дээрх мэдээг үзүүл,зарим нэг [media_type : u. b. s.] дээрх мэдээг үзүүл
247,мнв мэдээг тавь,[media_type : мнв] мэдээг тавь
248,олли зариг мэдээ,олли [media_type : зариг мэдээ]
249,ямар нэгэн хип хоп,ямар нэгэн [music_genre : хип хоп]
250,би яг одоо жазз сонсмоор санагдаж байна чи яамаар байна,би яг одоо [music_genre : жазз] сонсмоор санагдаж байна чи яамаар байна
251,хөөе olly зохиолын дуу,хөөе olly [music_genre : зохиолын дуу]
252,үхлийн metal одоо сонсъё,үхлийн [music_genre : metal] одоо сонсъё
254,olly миний дуртай жазз тоглуулагчаас гоё дуу тавиад өг,olly миний дуртай [music_genre : жазз] тоглуулагчаас гоё дуу тавиад өг
255,олли би ажлын дараа ихэнхдээ ямар дуу сонсдог вэ,олли би ажлын дараа ихэнхдээ ямар дуу сонсдог вэ
257,олли миний дуртай төгөлдөр хуурчийн хөгжмийг тоглуул,олли миний дуртай [music_genre : төгөлдөр хуурчийн] хөгжмийг тоглуул
258,би чамайг сонсохгүй байна,би чамайг сонсохгүй байна
259,чи хэтэрхий чанга байна,чи хэтэрхий чанга байна
260,олли би чамайг арай гэж сонсож байна,олли би чамайг арай гэж сонсож байна
261,би чамайг арай гэж сонсож байна,би чамайг арай гэж сонсож байна
262,гэрэлнүүдийг цэнхэр болго,гэрэлнүүдийг [color_type : цэнхэр] болго
263,гэрэлтүүлгийг хөх болгоё,гэрэлтүүлгийг [color_type : хөх] болгоё
264,гэрлүүдийг цэнхрээр тусдаг болго,гэрлүүдийг [color_type : цэнхрээр тусдаг] болго
265,олли сайхан амраарай гэрэл унтраа,олли сайхан амраарай гэрэл унтраа
267,энэ аймар харанхуй байна,энэ аймар харанхуй байна
268,гэрлүүдийг илүү тод болгох,гэрлүүдийг илүү тод болгох
269,олли энд хэтэрхий харанхуй байна би гараа ч олж харахгүй байна,олли энд хэтэрхий харанхуй байна би гараа ч олж харахгүй байна
270,цаг хэд болж байна,цаг хэд болж байна
271,токиод одоо хэдэн цаг вэ,[place_name : токиод] одоо хэдэн цаг вэ
273,энэ дуу ямар дуу вэ,энэ дуу ямар дуу вэ
274,olly энэ ямар дуу вэ,olly энэ ямар дуу вэ
275,бохемиан рапсоди дууны нэрийг дуучин нь ямар утгатай өгсөн бол,[song_name : бохемиан рапсоди] дууны нэрийг дуучин нь ямар утгатай өгсөн бол
276,нэг өдрийн хаан дууны коверийг хэн хийсэн бэ,[song_name : нэг өдрийн хаан] дууны коверийг хэн хийсэн бэ
277,улаанбаатарт цаг агаар ямар байна,[place_name : улаанбаатарт] цаг агаар ямар байна
278,дарханд цаг агаар ямар байна,[place_name : дарханд] цаг агаар ямар байна
279,өнөөдрийн эрдэнэтийн урьдчилсан мэдээ ямар байна,[date : өнөөдрийн] [place_name : эрдэнэтийн] урьдчилсан мэдээ ямар байна
280,хуулийн өөрчлөлт дээр юу болж байна вэ,[news_topic : хуулийн өөрчлөлт] дээр юу болж байна вэ
281,ам долларын фунт стерлингтэй харьцах ханш хэд байна,[news_topic : ам долларын фунт стерлингтэй харьцах ханш] хэд байна
282,францын дараагийн сонгуульд хэн ялах вэ,[place_name : францын] дараагийн [news_topic : сонгуульд] хэн ялах вэ
283,ням гарагт нартай байх уу,[date : ням гарагт] [weather_descriptor : нартай] байх уу
284,орой бороо орох уу,[timeofday : орой] [weather_descriptor : бороо] орох уу
285,маргааш салхитай байх уу,[date : маргааш] [weather_descriptor : салхитай] байх уу
286,гал тогооны өрөөний гэрлийг нэмэгдүүл,[house_place : гал тогооны өрөөний] гэрлийг нэмэгдүүл
287,буйдангийн хажуугийн чийдэнг тодруулна уу,[device_type : буйдангийн хажуугийн чийдэнг] тодруулна уу
288,гэрлийг тодруул,гэрлийг тодруул
289,улаанбаатарт одоо хэдэн цаг болж байна,[place_name : улаанбаатарт] одоо хэдэн цаг болж байна
290,тоос сорогчийг эхлүүл,[device_type : тоос сорогчийг] эхлүүл
291,гал тогооны тоосыг соруул,[house_place : гал тогооны] тоосыг соруул
292,тоос сорогчийг асаагаарай,[device_type : тоос сорогчийг] асаагаарай
293,дэлхийд юу болж байна вэ,[place_name : дэлхийд] юу болж байна вэ
294,надад мэдээ хэлж өг,надад мэдээ хэлж өг
295,өнөөдөрийн сонины товч агуулга хэл,[date : өнөөдөрийн] [media_type : сонины] товч агуулга хэл
296,нисванисын дууны жагсаалтыг тоглуул,[playlist_name : нисванисын дууны жагсаалтыг] тоглуул
297,жавхлангийн дуунуудыг хольж тоглуул,[artist_name : жавхлангийн] дуунуудыг [player_setting : хольж] тоглуул
298,никитон сонсоё,[artist_name : никитон] сонсоё
299,цаг агаар ямар байна,цаг агаар ямар байна
300,өнөөдөр цаг агаарын урьдчилсан мэдээ ямар байна,[date : өнөөдөр] цаг агаарын урьдчилсан мэдээ ямар байна
301,цаг агаар ямар байна,цаг агаар ямар байна
302,хөөе чамаар юу байна даа,хөөе чамаар юу байна даа
303,та ямархуу байна даа,та ямархуу байна даа
304,өглөөний мэнд юу байна,өглөөний мэнд юу байна
305,пицца хатаас пицца захиалмаар байна,[business_name : пицца хатаас] [food_type : пицца] захиалмаар байна
306,би сүши идмээр байна чи надад өдрийн хоол захиалаад өгөөч,би [food_type : сүши] идмээр байна чи надад [meal_type : өдрийн хоол] захиалаад өгөөч
307,алекса би сүши идмээр байна өдрийн хоолонд захиалаад өгөөч,алекса би [food_type : сүши] идмээр байна [meal_type : өдрийн хоолонд] захиалаад өгөөч
308,итали хоолны газраас хачиртай талх болон шөл авч явахаар захиал,[business_name : итали хоолны газраас] [food_type : хачиртай талх] болон [food_type : шөл] [order_type : авч явахаар] захиал
309,энэ жил дуусахад хэдэн өдөр үлдсэн бэ,[date : энэ жил] дуусахад хэдэн өдөр үлдсэн бэ
