id,utt,annot_utt
110,ایوان بند پخش کن,[artist_name : ایوان بند] پخش کن
111,چند تا رستاک پخش کن,چند تا [artist_name : رستاک] پخش کن
112,چند تا ابی بزار,چند تا [artist_name : ابی] بزار
113,این قطعه را تکرار کن,این قطعه را [player_setting : تکرار کن]
114,این فهرست اهنگ ها را به صورت ترکیبی پخش کن,این فهرست اهنگ ها را به صورت ترکیبی پخش کن
115,صدا را بر روی کم تنظیم کن,صدا را بر [change_amount : روی کم] تنظیم کن
116,چه اهنگی در حال پخش هست,چه اهنگی در حال پخش هست
117,این چه آهنگی هست,این چه آهنگی هست
118,هنرمند این آهنگ را به من بگو,هنرمند این آهنگ را به من بگو
119,منو بخندون,منو بخندون
120,olly منو بخندون,olly منو بخندون
121,یک جوک خوب به من بگو,یک جوک [joke_type : خوب] به من بگو
122,برای من یک خنده بفرست,برای من یک خنده بفرست
123,یک جوک به من بگو,یک جوک به من بگو
124,علی به من یک جوک بگو,علی به من یک جوک بگو
125,سارا یک جوک به من بگو,سارا یک جوک به من بگو
126,خوشحالم کن,خوشحالم کن
127,امروز چه روزی هست,[date : امروز] چه روزی هست
128,چندم است,چندم است
129,درباره امروز به من بگو,درباره [date : امروز] به من بگو
130,یک پیتزا سفارش بده,یک [food_type : پیتزا] سفارش بده
131,یک وعده چلوکباب از رستوران تورنج سفارش بده,یک وعده [food_type : چلوکباب] از [business_name : رستوران تورنج] سفارش بده
132,یک غذای بیرون بر سفارش بده,یک غذای [order_type : بیرون بر] سفارش بده
133,سفارش من کی می رسد,سفارش من کی می رسد
134,غذای بیرون‌بر من چقدر می‌کشه,غذای [order_type : بیرون‌بر] من چقدر می‌کشه
135,وضعیت تحویل غذای عطاویچ,وضعیت [order_type : تحویل] غذای [business_name : عطاویچ]
136,چه اهنگی در حال پخش هست,چه اهنگی در حال پخش هست
137,اسم اهنگ را به من بگو,اسم اهنگ را به من بگو
138,این کدوم آهنگه,این کدوم آهنگه
139,لیست آهنگ های جاز من پخش کن,لیست آهنگ های [music_genre : جاز] من پخش کن
140,لیست آهنگ های جاز من را پخش کن,لیست آهنگ های [music_genre : جاز] من را پخش کن
141,لیست آهنگ های مورد علاقه من را پخش کن,لیست آهنگ های مورد علاقه من را پخش کن
142,ان اهنگ خوب است,ان اهنگ خوب است
143,من آن را دوست ندارم,من آن را دوست ندارم
144,من آن را دوست دارم,من آن را دوست دارم
145,من جاز دوست دارم,من [music_genre : جاز] دوست دارم
146,میتونی چند تا جاز پخش کنی,میتونی چند تا [music_genre : جاز] پخش کنی
147,من دوست دارم جاز گوش بدم,من دوست دارم [music_genre : جاز] گوش بدم
148,olly من دوست دارم جاز گوش بدم,olly من دوست دارم [music_genre : جاز] گوش بدم
149,این اهنگ خیلی خوب بود,این اهنگ خیلی خوب بود
150,من این اهنگ را دوست دارم,من این اهنگ را دوست دارم
151,لطفا آن را دوباره پخش کن,لطفا آن را دوباره پخش کن
152,صدا را تغییر بده,صدا را تغییر بده
153,پخش ترکیبی را فعال کن,[player_setting : پخش ترکیبی] را فعال کن
154,تنظیمات را ذخیره کن,تنظیمات را ذخیره کن
155,روشنایی را به پنجاه درصد تنظیم کن,روشنایی را [change_amount : به پنجاه درصد] تنظیم کن
156,روشنایی را کم کن,روشنایی را کم کن
157,روشنایی را کاهش بده,روشنایی را کاهش بده
158,نور رو کم کن,نور رو کم کن
159,روشنایی را کم کن,روشنایی را کم کن
160,لامپ ها را کم کن,لامپ ها را کم کن
161,اوولی نور کم کن,اوولی نور کم کن
162,برای من یک قهوه درست کن,برای من یک قهوه درست کن
163,علی برای من یک قهوه درست کن,علی برای من یک قهوه درست کن
164,من یک قهوه نیاز دارم,من یک قهوه نیاز دارم
165,من الان دوست دارم قهوه بخورم,من الان دوست دارم قهوه بخورم
166,چطوری,چطوری
167,هی هی,هی هی
168,آیا آنها سرویس بیرون بر دارند,آیا آنها سرویس [order_type : بیرون بر] دارند
169,آیا آنها تحویل در محل دارند,آیا آنها [order_type : تحویل در محل] دارند
170,آیا آنها تحویل در منزل دارند,آیا آنها [order_type : تحویل] در منزل دارند
171,الهه آیا آنها تحویل در منزل دارند,الهه آیا آنها [order_type : تحویل] در منزل دارند
172,زنگ هشدار ده صبح را تنظیم کن,زنگ هشدار [time : ده صبح] را تنظیم کن
173,زنگ ساعت فردا را ساعت شش صبح تنظیم کن,زنگ ساعت [date : فردا] را ساعت [time : شش صبح] تنظیم کن
174,پنج‌شنبه هفت صبح ساعت بیدارباش بگذار,[date : پنج‌شنبه] [time : هفت صبح] ساعت بیدارباش بگذار
175,آخرین اخبار تکنولوژی را به من بگو,آخرین اخبار [news_topic : تکنولوژی] را به من بگو
176,آخرین اخبار تکنولوژی را به من بگو,آخرین اخبار [news_topic : تکنولوژی] را به من بگو
177,چند خبر اقتصادی به من بگو,چند خبر [news_topic : اقتصادی] به من بگو
178,اخبار بین‌المللی را به من بگو,اخبار [place_name : بین‌المللی] را به من بگو
179,وضع هوا را به من بگو,وضع هوا را به من بگو
180,الان هوا چطوره,الان هوا چطوره
181,الان باران می‌بارد,الان [weather_descriptor : باران می‌بارد]
182,لیست آهنگ های راک من را پخش کن,لیست آهنگ های [music_genre : راک] من را پخش کن
183,لیست آهنگ های ابی من را پخش کن,لیست آهنگ های [artist_name : ابی] من را پخش کن
184,فرزاد فرزین را از لیست آهنگ های من پخش کن,[artist_name : فرزاد فرزین] را از لیست آهنگ های من پخش کن
185,لیست آهنگ های من را باز کن و آهنگ سوم در ترتیب را پخش کن,لیست آهنگ های من را باز کن و آهنگ سوم در ترتیب را پخش کن
186,آخرین آهنگ از لیست آهنگ های مورد علاقه من را پخش کن,[song_name : آخرین آهنگ] از لیست آهنگ های مورد علاقه من را پخش کن
187,صدا را زیاد کن,صدا را زیاد کن
188,افزایش صدا,افزایش صدا
189,صدا را بی صدا کن,صدا را بی صدا کن
190,دوشاخه را روشن کن,[device_type : دوشاخه] را روشن کن
191,دوشاخه را وصل کن,[device_type : دوشاخه] را وصل کن
192,دوشاخه‌ی من را روشن کن,[device_type : دوشاخه‌ی] من را روشن کن
193,چندتا جوک بهم بگو,چندتا جوک بهم بگو
194,آیا تو هیچ جوکی بلدی,آیا تو هیچ جوکی بلدی
195,ساعت چند است,ساعت چند است
196,ساعت را به من بگو,ساعت را به من بگو
197,ساعت چند است,ساعت چند است
198,آیا عطاویچ غذای بیرون بر دارد,آیا [food_type : عطاویچ] غذای [order_type : بیرون بر] دارد
199,آیا پیتزا فروشی مورد علاقه ام سرویس بیرون بر دارد,آیا [food_type : پیتزا] فروشی مورد علاقه ام سرویس [order_type : بیرون بر] دارد
200,آیا می توانم از رستوران اسپانیایی غذای بیرون بری سفارش بدهم,آیا می توانم از رستوران [food_type : اسپانیایی] غذای [order_type : بیرون بری] سفارش بدهم
201,زنگ هشداری که من تنظیم کردم را حذف کن,زنگ هشداری که من تنظیم کردم را حذف کن
202,زنگ هشدار را حذف کن,زنگ هشدار را حذف کن
203,زنگ هشدارهایی که تنظیم کرده‌ام نمایش بده,زنگ هشدارهایی که تنظیم کرده‌ام نمایش بده
204,آیا من هیچ زنگ هشداری دارم,آیا من هیچ زنگ هشداری دارم
205,زنگ هشدارها را نمایش بده,زنگ هشدارها را نمایش بده
206,هوای تهران چطور است,هوای [place_name : تهران] چطور است
207,وضع هوای تبریز را بگو,وضع هوای [place_name : تبریز] را بگو
209,لطفا نور را مناسب مطالعه کن,لطفا نور را [color_type : مناسب مطالعه] کن
210,لطفا لامپ ها را صمیمانه برای تماشا بساز,لطفا لامپ ها را [color_type : صمیمانه برای تماشا] بساز
211,اتاق را روشن تر کن,[house_place : اتاق] را روشن تر کن
212,و نور شروع شد,و نور شروع شد
213,امروز چندم است,[date : امروز] چندم است
214,امروز چند شنبه است,[date : امروز] چند شنبه است
215,تاریخ را به من بگو,تاریخ را به من بگو
216,امروز هوا چطور است,[date : امروز] هوا چطور است
217,بیرون باران می بارد,بیرون [weather_descriptor : باران می بارد]
218,olly آیا بیرون باران می‌بارد,olly آیا بیرون [weather_descriptor : باران می‌بارد]
219,آیا فردا باید چتر بیاورم,آیا [date : فردا] باید [weather_descriptor : چتر] بیاورم
220,از لیست آهنگ های راک من آهنگ پخش کن,از [playlist_name : لیست آهنگ های راک] من آهنگ پخش کن
221,رنگ نورها رو سبز کن,رنگ نورها رو [color_type : سبز] کن
222,این اهنگ را لیست علاقه مندی هایم اضافه کن,این اهنگ را لیست علاقه مندی هایم اضافه کن
223,این چه آهنگیه,این چه آهنگیه
224,علی لامپ ها خاموش,علی لامپ ها خاموش
225,لامپ ها خاموش,لامپ ها خاموش
226,لطفا کف را تمیز کن,لطفا [house_place : کف] را تمیز کن
227,پریز پلوپز را روشن کن,[device_type : پریز پلوپز] را روشن کن
228,پلوپز رو خاموش کن,[device_type : پلوپز] رو خاموش کن
229,در تبریز ساعت چند است,در [place_name : تبریز] ساعت چند است
230,در تهران ساعت چند است,در [place_name : تهران] ساعت چند است
231,می توانی لطفا به من کمک کنی کمی سوشی از عطاویچ سفارش بدهم,می توانی لطفا به من کمک کنی کمی [food_type : سوشی] از [business_name : عطاویچ] سفارش بدهم
232,ساعت شش صبح زنگ هشدار را تنظیم کن,ساعت [time : شش] [timeofday : صبح] زنگ هشدار را تنظیم کن
233,یک هشدار برای ساعت چهار بعدازظهر تنظیم کن,یک هشدار برای ساعت [time : چهار] [timeofday : بعدازظهر] تنظیم کن
234,olly در ساعت سه بعدازظهر به من هشدار بده که به کنسرت بروم,olly در ساعت [time : سه بعدازظهر] به من هشدار بده که به [event_name : کنسرت] بروم
235,ساعت سه بعدازظهر برای رفتن به کنسرت به من هشدار بده,ساعت [time : سه بعدازظهر] برای رفتن به [event_name : کنسرت] به من هشدار بده
236,آیا من برای پرواز صبح زنگ هشدار تنظیم کرده‌ام,آیا من برای [event_name : پرواز] [timeofday : صبح] زنگ هشدار تنظیم کرده‌ام
237,آیا من زنگ هشدار را برای بیدار شدن در صبح تنظیم کرده‌ام,آیا من زنگ هشدار را برای [alarm_type : بیدار شدن] در [timeofday : صبح] تنظیم کرده‌ام
238,آیا هیچ هشداری وجود دارد,آیا هیچ هشداری وجود دارد
239,آیا شیراز بارانی است,آیا [place_name : شیراز] [weather_descriptor : بارانی] است
240,امروز باران می بارد,[date : امروز] [weather_descriptor : باران] می بارد
241,بیرون چه خبر است,بیرون چه خبر است
242,در آمریکا چه خبر است,در [place_name : آمریکا] چه خبر است
243,در جهان چه خبر است,در [place_name : جهان] چه خبر است
244,زنجان چه خبر است,[place_name : زنجان] چه خبر است
245,چند خبر از خبرگزاری مهر به من نشان بده,چند خبر از [media_type : خبرگزاری مهر] به من نشان بده
246,الهه تعدادی خبر از بی. بی. سی. به من نشان بده,الهه تعدادی خبر از [media_type : بی. بی. سی.] به من نشان بده
247,شبکه خبر,[media_type : شبکه خبر]
248,الهه شبکه خبر,الهه [media_type : شبکه خبر]
249,چند تا آهنگ هیپ هاپ برای من پخش کن,چند تا آهنگ [music_genre : هیپ هاپ] برای من پخش کن
250,احساس میکنم الان دوست دارم جاز گوش بدم تو چطور,احساس میکنم الان دوست دارم [music_genre : جاز] گوش بدم تو چطور
251,حالا فقط متال پخش کن,حالا فقط [music_genre : متال] پخش کن
252,الان متال پخش کن.,الان [music_genre : متال] پخش کن.
254,اوولی یک قطعه خوب از نوازنده جاز مورد علاقه من پخش کن,اوولی یک قطعه خوب از نوازنده [music_genre : جاز] مورد علاقه من پخش کن
255,اوولی من معمولا چه موزیکی را بعد از کار دوست دارم گوش بدم,اوولی من معمولا چه موزیکی را بعد از کار دوست دارم گوش بدم
257,olly از پیانیست مورد علاقه من آهنگ پخش کن,olly از [music_genre : پیانیست] مورد علاقه من آهنگ پخش کن
258,من نمی توانم شما را بشنوم,من نمی توانم شما را بشنوم
259,صدای تو خیلی بلند است,صدای تو خیلی بلند است
260,من به سختی میتوانم تو را بشنوم olly,من به سختی میتوانم تو را بشنوم olly
261,من به ندرت می توانم بشنوم شما را,من به ندرت می توانم بشنوم شما را
262,لامپ ها را به آبی عوض کن,لامپ ها را به [color_type : آبی] عوض کن
263,بیا چراغ‌ها را آبی کنیم,بیا چراغ‌ها را [color_type : آبی] کنیم
264,لامپ ها را آبی براق بکن,لامپ ها را [color_type : آبی براق] بکن
265,آلی شب بخیر لامپ ها خاموش,آلی شب بخیر لامپ ها خاموش
267,اینجا به شدت تاریک است,اینجا به شدت تاریک است
268,چراغ‌ها را روشن‌تر کن,چراغ‌ها را روشن‌تر کن
269,علی خیلی تاریک ایت من نمی‌توانم حتی دست‌هایم را ببینم,علی خیلی تاریک ایت من نمی‌توانم حتی دست‌هایم را ببینم
270,ساعت چند است,ساعت چند است
271,الان در تهران ساعت چند است,الان در [place_name : تهران] ساعت چند است
273,کدام آهنگ است,کدام آهنگ است
274,اولی این آهنگ چیه,اولی این آهنگ چیه
275,منظور خواننده از اسم اهنگ عشق چیست,منظور خواننده از اسم اهنگ [song_name : عشق] چیست
276,آهنگ فال قهوه رو کی خونده,آهنگ [song_name : فال قهوه] رو کی خونده
277,هوای تهران چطور است,هوای [place_name : تهران] چطور است
278,هوای تبریز چطور است,هوای [place_name : تبریز] چطور است
279,پیش بینی وضع هوای امروز تهران چیست,پیش بینی وضع هوای [date : امروز] [place_name : تهران] چیست
280,وضعیت جاری مذاکرات برگزیت چیست,وضعیت جاری [news_topic : مذاکرات برگزیت] چیست
281,نرخ برابری دلار آمریکا با ریال ایران چقدر است,[news_topic : نرخ برابری دلار آمریکا با ریال ایران] چقدر است
282,انتخابات آینده فرانسه را چه کسی می برد,[news_topic : انتخابات] آینده [place_name : فرانسه] را چه کسی می برد
283,آیا یکشنبه انتظار هوای آفتابی داری,آیا [date : یکشنبه] انتظار هوای [weather_descriptor : آفتابی] داری
284,امروز عصر باران می بارد,امروز [timeofday : عصر] [weather_descriptor : باران] می بارد
285,فردا هوا بادی می شود,[date : فردا] هوا [weather_descriptor : بادی] می شود
286,چراغ‌های آشپزخانه را روشن کن,چراغ‌های [house_place : آشپزخانه] را روشن کن
287,لامپ کنار مبل را روشن تر کن,[device_type : لامپ کنار مبل] را روشن تر کن
288,روشنایی را کم کن,روشنایی را کم کن
289,الان در تهران ساعت چند است,الان در [place_name : تهران] ساعت چند است
290,جاروبرقی را شروع کن,[device_type : جاروبرقی] را شروع کن
291,آشپزخانه را جاروبرقی بکش,[house_place : آشپزخانه] را جاروبرقی بکش
292,جارو برقی را روشن کن,[device_type : جارو برقی] را روشن کن
293,در جهان چه خبر است,در [place_name : جهان] چه خبر است
294,اخبار را به من بگو,اخبار را به من بگو
295,تیترهای امروز روزنامه را بگو,تیترهای [date : امروز] [media_type : روزنامه] را بگو
296,لیست موسیقی آرامش بخش را پخش کن,[playlist_name : لیست موسیقی آرامش بخش] را پخش کن
297,آهنگ های ماکان بند را پخش کن,آهنگ های [artist_name : ماکان بند] را [player_setting : پخش] کن
298,شماعی زاده پخش کن,[artist_name : شماعی زاده] پخش کن
299,هوا چطور است,هوا چطور است
300,پیش بینی هوای امروز چطور است,پیش بینی هوای [date : امروز] چطور است
301,هوا چطور است,هوا چطور است
302,برنامه‌ت چیه,برنامه‌ت چیه
303,تو در چه حالی,تو در چه حالی
304,صبح بخیر چه خبر,صبح بخیر چه خبر
305,یک پیتزا از فست فود آی گون سفارش بده,یک [food_type : پیتزا] از [business_name : فست فود آی گون] سفارش بده
306,دوست دارم سوشی بخورم میتونی برای نهار برام سفارش بدی,دوست دارم [food_type : سوشی] بخورم میتونی برای [meal_type : نهار] برام سفارش بدی
307,alexa من می‌خواهم یک چلوکباب برگ بخورم می‌توانی یک نهار به من سفارش بدهی,alexa من می‌خواهم یک [food_type : چلوکباب برگ] بخورم می‌توانی یک [meal_type : نهار] به من سفارش بدهی
308,ساندویچ و سوپ از رستوران ایتالیایی بیرون بر سفارش بده,[food_type : ساندویچ] و [food_type : سوپ] از رستوران [business_name : ایتالیایی] [order_type : بیرون بر] سفارش بده
309,چند روز تا پایان امسال مونده,چند روز تا پایان [date : امسال] مونده
310,امسال عید سال نو در چه روزی است,[date : امسال] عید سال نو در چه روزی است
311,امسال روز عید نوروز چند شنبه است,[date : امسال] روز عید نوروز چند شنبه است
312,اینجا خیلی تاریک است,اینجا خیلی تاریک است
313,روشنایی را تا بیست درصد زیاد کن,روشنایی را [change_amount : تا بیست درصد] زیاد کن
314,لامپ ها را به شارژ کامل تنظیم کن,لامپ ها را به [change_amount : شارژ کامل] تنظیم کن
315,لطفا برای یک ساعت دیگر بی صدا باش,لطفا برای [time : یک ساعت دیگر] بی صدا باش
316,بیصدا,بیصدا
317,امروز صحبت نکن,[date : امروز] صحبت نکن
318,فردا باران می بارد,[date : فردا] [weather_descriptor : باران] می بارد
319,آب و هوای شیراز را تا دو روز آینده به من بگو,آب و هوای [place_name : شیراز] را [time : تا دو روز آینده] به من بگو
320,فردا باید چتر بردارم,[date : فردا] باید [weather_descriptor : چتر] بردارم
321,جارو برقی را غیر فعال کن,[device_type : جارو برقی] را غیر فعال کن
322,دوشاخه من را فعال کن,[device_type : دوشاخه] من را فعال کن
323,شارژر هوشمند را روشن کن,[device_type : شارژر هوشمند] را روشن کن
324,اخبا ر تکنولوژی از مجله‌ی تکنولوژی را به من بگو,اخبا ر [news_topic : تکنولوژی] از [media_type : مجله‌ی تکنولوژی] را به من بگو
325,شاد,شاد
326,عصر,[timeofday : عصر]
327,یکشنبه,[date : یکشنبه]
329,آهنگ بارون,آهنگ [song_name : بارون]
330,آرام تر,آرام تر
331,نرم تر,نرم تر
332,ساکت,ساکت
