id,utt,annot_utt
67,es vēlētos klausīties eolikas pasaulīt pasaulīt,es vēlētos klausīties [artist_name : eolikas] [song_name : pasaulīt pasaulīt]
68,atskaņo rudens no prāta vētra,atskaņo [song_name : rudens] no [artist_name : prāta vētra]
69,man patīk roka mūzika,man patīk [music_genre : roka] mūzika
70,mana mīļākā mūzikas grupa ir līvi,mana mīļākā mūzikas grupa ir [artist_name : līvi]
71,man patīk mofo dziesmas,man patīk [artist_name : mofo] dziesmas
72,sāc atskaņot mūziku no izlases,sāc atskaņot mūziku no izlases
73,lūdzu atskaņo manu labāko mūziku,lūdzu atskaņo manu labāko mūziku
74,kas ir grupa kas spēlē tagad,kas ir grupa kas spēlē tagad
75,kurš ir šīs mūzikas autors,kurš ir šīs mūzikas autors
76,kas tas par albumu no kura ir šī dziesma,kas tas par albumu no kura ir šī dziesma
77,ollij man tiešām patīk šī dziesma,ollij man tiešām patīk šī dziesma
78,šī dziesma ko tu atskaņo ir burvīga,šī dziesma ko tu atskaņo ir burvīga
79,šī dziesma ir viena no labākajām man,šī dziesma ir viena no labākajām man
80,iestati gaismu spilgtumu augstāku,iestati gaismu spilgtumu augstāku
81,padarīt gaismas spilgtākas,padarīt gaismas spilgtākas
82,lūdzu ieslēdz maksimālo apgaismojumu,lūdzu ieslēdz [change_amount : maksimālo] apgaismojumu
83,čau ieslēdz robotu putekļusūcēju,čau ieslēdz [device_type : robotu putekļusūcēju]
84,ieslēgt tīrīšanas robotu,ieslēgt [device_type : tīrīšanas robotu]
85,pasaki man šodienas datumu,pasaki man [date : šodienas] datumu
86,kāds datums ir šodien,kāds datums ir [date : šodien]
87,lūdzu pasūti vakariņām suši,lūdzu pasūti [meal_type : vakariņām] [food_type : suši]
88,sveiki es gribētu lai tu pasūti burgeru,sveiki es gribētu lai tu pasūti [food_type : burgeru]
89,vai tu varētu pasūtīt suši šovakar vakariņām,vai tu varētu pasūtīt [food_type : suši] [timeofday : šovakar] [meal_type : vakariņām]
90,kas notiek ar manu vakariņu pasūtījumu,kas notiek ar manu vakariņu pasūtījumu
91,vai es varu pasūtīt vakariņas līdzņemšanai no il patio,vai es varu pasūtīt [meal_type : vakariņas] [order_type : līdzņemšanai] no [business_name : il patio]
92,vai vincents piedāvā līdzņemšanai,vai [business_name : vincents] piedāvā [order_type : līdzņemšanai]
93,uzliec modinātāju uz divpadsmitiem,uzliec modinātāju uz [time : divpadsmitiem]
94,uzliec modinātāju lai skan četrdesmit minūtes no šī brīža,uzliec modinātāju lai skan [time : četrdesmit minūtes no šī brīža]
95,katru darba dienu uzliec modinātāju uz astoņiem,[general_frequency : katru darba dienu] uzliec modinātāju uz [time : astoņiem]
96,vai līst,vai [weather_descriptor : līst]
97,vai līs,vai [weather_descriptor : līs]
98,vai pašlaik snieg,vai pašlaik [weather_descriptor : snieg]
99,kāda ir nedēļas laika prognoze,kāda ir [time : nedēļas] laika prognoze
100,kādas ir nedēļas laika prognozes,kādas ir [time : nedēļas] laika prognozes
101,kāda ir šīs nedēļas laika prognoze,kāda ir [date : šīs nedēļas] laika prognoze
102,kāds šonedēļ laiks,kāds [date : šonedēļ] laiks
103,pasaki kāds laiks šonedēļ,pasaki kāds laiks [date : šonedēļ]
104,parādi man latvijas mediju ziņas,parādi man [media_type : latvijas mediju] ziņas
105,kādi ir jaunumi l. t. v. viens ziņās,kādi ir jaunumi [media_type : l. t. v. viens] ziņās
106,kādas ir jaunākās l. s. m. ziņas,kādas ir jaunākās [media_type : l. s. m.] ziņas
107,spēlēt rudens,spēlēt [song_name : rudens]
108,atskaņo dziesmu kura man patīk,atskaņo dziesmu kura man patīk
109,uzliec vērtības,uzliec [song_name : vērtības]
110,atskaņot prāta vētra,atskaņot [artist_name : prāta vētra]
111,uzliec kaut ko no līviem,uzliec kaut ko no [artist_name : līviem]
112,atskaņot kaut ko no aivars brīze,atskaņot kaut ko no [artist_name : aivars brīze]
113,atkārtot šo dziesmu,[player_setting : atkārtot] šo dziesmu
114,atskaņo jauktā secībā šo dziesmu sarakstu,atskaņo [player_setting : jauktā secībā] šo dziesmu sarakstu
115,iestati skaļumu uz zemu,iestati skaļumu [change_amount : uz zemu]
116,kas tiek atskaņots,kas tiek atskaņots
117,kas ir šī mūzika,kas ir šī mūzika
118,pasaki man šīs dziesmas mākslinieku,pasaki man šīs dziesmas mākslinieku
119,liec man smieties,liec man smieties
120,olly liec man smieties,olly liec man smieties
121,izstāsti man labu joku,izstāsti man [joke_type : labu] joku
122,sasmīdini mani,sasmīdini mani
123,iztāsti man joku,iztāsti man joku
124,olly pasaki kādu joku,olly pasaki kādu joku
125,alexa pastāsti man joku,alexa pastāsti man joku
126,uzlabo man garastāvokli,uzlabo man garastāvokli
127,kas šodien par dienu,kas [date : šodien] par dienu
128,kas šodien par datumu,kas šodien par datumu
129,pasaki man par šodienu,pasaki man par [date : šodienu]
130,pasūti picu,pasūti [food_type : picu]
131,pasūti man kvasu no cido,pasūti man [food_type : kvasu] no [business_name : cido]
132,pasūti līdzņemšanai,pasūti [order_type : līdzņemšanai]
133,kad pienāks mans pasūtījums,kad pienāks mans pasūtījums
134,cik ilgi līdz manam pasūtījumam līdzņemšanai,cik ilgi līdz manam [order_type : pasūtījumam līdzņemšanai]
135,saules picas piegādes statuss,[business_name : saules picas] [order_type : piegādes] statuss
136,kas tiek atskaņots,kas tiek atskaņots
137,pasaki man šīs dziesmas nosaukumu,pasaki man šīs dziesmas nosaukumu
138,kura dziesma tā ir,kura dziesma tā ir
139,atskaņo manu džeza atskaņošanas sarakstu,atskaņo manu [music_genre : džeza] atskaņošanas sarakstu
140,sākt manu džeza atskaņošanas sarakstu,sākt manu [music_genre : džeza] atskaņošanas sarakstu
141,atskaņot manu mīļāko atskaņošanas sarakstu,atskaņot manu mīļāko atskaņošanas sarakstu
142,tā ir laba dziesma,tā ir laba dziesma
143,man tas nepatīk,man tas nepatīk
144,man tas patīk,man tas patīk
145,man patīk džezs,man patīk [music_genre : džezs]
146,vai vari man uzlikt kādu džezu,vai vari man uzlikt kādu [music_genre : džezu]
147,man patīk klausīties džezu,man patīk klausīties [music_genre : džezu]
148,olly man patīk klausīties džezu,olly man patīk klausīties [music_genre : džezu]
149,šī dziesma bija ļoti laba,šī dziesma bija ļoti laba
150,man patīk šī dziesma,man patīk šī dziesma
151,atkārto to vēlreiz lūdzu,atkārto to vēlreiz lūdzu
152,nomaini skaļumu,nomaini skaļumu
153,ieslēgt atskaņošanu jauktā secībā,ieslēgt [player_setting : atskaņošanu jauktā secībā]
154,saglabāt iestatījumus,saglabāt iestatījumus
155,iestati spožumu uz piecdesmit procentiem,iestati spožumu [change_amount : uz piecdesmit procentiem]
156,samazini spilgtumu,samazini spilgtumu
157,samazināt spožumu,samazināt spožumu
158,padari blāvākas gaismas,padari blāvākas gaismas
159,samazināt spilgtumu,samazināt spilgtumu
160,samazini gaismu,samazini gaismu
161,ollij padari blāvākas gaismas,ollij padari blāvākas gaismas
162,uztaisi man kafiju,uztaisi man kafiju
163,olly uztaisi man kafiju,olly uztaisi man kafiju
164,man vajag kafiju,man vajag kafiju
165,es vēlētos kafiju tagad,es vēlētos kafiju tagad
166,kā tev klājas,kā tev klājas
167,čau čau,čau čau
168,vai viņi piedāvā līdzņemšanai,vai viņi piedāvā [order_type : līdzņemšanai]
169,vai viņi var veikt piegādi,vai viņi var veikt [order_type : piegādi]
170,vai viņi piegādā uz mājām,vai viņi [order_type : piegādā] uz mājām
171,olly vai viņi piegādā uz mājām,olly vai viņi [order_type : piegādā] uz mājām
172,uzlikt modinātāju uz desmitiem no rīta,uzlikt modinātāju uz [time : desmitiem no rīta]
173,uzliec modinātāju rītdien uz sešiem no rīta,uzliec modinātāju [date : rītdien] uz [time : sešiem no rīta]
174,uzliec modinātāju ceturtdien septiņos no rīta,uzliec modinātāju [date : ceturtdien] [time : septiņos no rīta]
175,pastāsti man par jaunākajām tehnoloģiju ziņām,pastāsti man par jaunākajām [news_topic : tehnoloģiju] ziņām
176,izstāsti man jaunākās tehnoloģiju ziņas,izstāsti man jaunākās [news_topic : tehnoloģiju] ziņas
177,pastāsti man biznesa ziņas,pastāsti man [news_topic : biznesa] ziņas
178,parādi man starptautiskās ziņas,parādi man [place_name : starptautiskās] ziņas
179,pasaki kāds laiks ārā,pasaki kāds laiks ārā
180,kādi tagad ir laikapstākļi,kādi tagad ir laikapstākļi
181,vai tagad līst,vai tagad [weather_descriptor : līst]
182,atskaņo manu roka atskaņošanas sarakstu,atskaņo manu [music_genre : roka] atskaņošanas sarakstu
183,ieslēgt manu maikla džeksona atskaņošanas sarakstu,ieslēgt manu [artist_name : maikla džeksona] atskaņošanas sarakstu
184,atskaņot jānis stībelis no mana atskaņošanas saraksta,atskaņot [artist_name : jānis stībelis] no mana atskaņošanas saraksta
185,ieslēdz manu atskaņošanas sarakstu un atskaņo trešo dziesmu rindā,ieslēdz manu atskaņošanas sarakstu un atskaņo trešo dziesmu rindā
186,atskaņo sekundes no mana mīļākā atskaņošanas saraksta,atskaņo [song_name : sekundes] no mana mīļākā atskaņošanas saraksta
187,pagriez lielāku skaļumu,pagriez lielāku skaļumu
188,lielāku skaļumu,lielāku skaļumu
189,apklusināt skaļumu,apklusināt skaļumu
190,ieslēdz kontaktdakšu,ieslēdz [device_type : kontaktdakšu]
191,ieslēdz kontaktdakšu,ieslēdz [device_type : kontaktdakšu]
192,ieslēdz manu kontaktu,ieslēdz manu [device_type : kontaktu]
193,pastāsti man joku,pastāsti man joku
194,vai tu zini kādu joku,vai tu zini kādu joku
195,cik ir pulkstenis,cik ir pulkstenis
196,pasaki man laiku,pasaki man laiku
197,cik ir pulkstenis,cik ir pulkstenis
198,vai picu meistars piedāvā līdzņemšanai,vai [food_type : picu meistars] piedāvā [order_type : līdzņemšanai]
199,vai mana mīļākā picas vieta piedāvā līdzņemšanai,vai mana mīļākā [food_type : picas] vieta piedāvā [order_type : līdzņemšanai]
200,vai es varu pasūtīt līdzņemšanai no spāņu vietas,vai es varu pasūtīt [order_type : līdzņemšanai] no [food_type : spāņu] vietas
201,izdzēst paziņojumu kuru tikko uzstādīju,izdzēst paziņojumu kuru tikko uzstādīju
202,noņem modinātāju,noņem modinātāju
203,parādi man signālus ko es esmu uzlicis,parādi man signālus ko es esmu uzlicis
204,vai man ir kāds modinātājs,vai man ir kāds modinātājs
205,parādi modinātājpulksteņus,parādi modinātājpulksteņus
206,kādi ir laikapstākļi ogrē,kādi ir laikapstākļi [place_name : ogrē]
207,pasaki kāds laiks ir dobelē,pasaki kāds laiks ir [place_name : dobelē]
209,lūdzu uztaisi gaismas lasīšanas draudzīgas,lūdzu uztaisi gaismas [color_type : lasīšanas draudzīgas]
210,ieslēdz acīm draudzīgu gaismu,ieslēdz [color_type : acīm draudzīgu] gaismu
211,padari istabu gaišāku,padari [house_place : istabu] gaišāku
212,un sākās gaisma,un sākās gaisma
213,kāds šodien ir datums,kāds [date : šodien] ir datums
214,kas šodien ir par dienu,kas [date : šodien] ir par dienu
215,pasaki man datumu,pasaki man datumu
216,kāds būs laiks šodien,kāds būs laiks [date : šodien]
217,vai līst ārā,vai [weather_descriptor : līst] ārā
218,vai naukšēnos ārā līst,vai naukšēnos ārā [weather_descriptor : līst]
219,vai man paņemt lietussargu rītdien,vai man paņemt [weather_descriptor : lietussargu] [date : rītdien]
220,spēlēt mūziku no mana rokmūzikas saraksta,spēlēt mūziku no mana [playlist_name : rokmūzikas saraksta]
221,nomaini gaismas uz zaļām,nomaini gaismas uz [color_type : zaļām]
222,pievieno šo dziesmu manu mīļāko sarakstam,pievieno šo dziesmu manu mīļāko sarakstam
223,kas ir šī dziesma,kas ir šī dziesma
224,olly gaismas izslēgtas,olly gaismas izslēgtas
225,izslēdz gaismas,izslēdz gaismas
226,iztīri grīdu lūdzu,iztīri [house_place : grīdu] lūdzu
227,ieslēgt rozeti rīsu gatavotājam,ieslēgt [device_type : rozeti rīsu gatavotājam]
228,izslēdz rīsu gatavotāja kontaktu,izslēdz [device_type : rīsu gatavotāja kontaktu]
229,cik ir pareizs laiks lisabonā,cik ir pareizs laiks [place_name : lisabonā]
230,cik ir pulkstens pekinā,cik ir pulkstens [place_name : pekinā]
231,vai tu man varētu lūdzu palīdzēt pasūtīt kādu suši no bolt food,vai tu man varētu lūdzu palīdzēt pasūtīt kādu [food_type : suši] no [business_name : bolt food]
232,uzliec modinātāju sešos rītā,uzliec modinātāju [time : sešos] [timeofday : rītā]
233,uzliec atgādinājumu četros pēcpusdienā,uzliec atgādinājumu [time : četros] [timeofday : pēcpusdienā]
234,ollij pabrīdini mani trijos pēcpusdienā par došanos uz koncertu,ollij pabrīdini mani [time : trijos pēcpusdienā] par došanos uz [event_name : koncertu]
235,pabrīdini mani piecpadsmitos par to ka jāaiziet uz koncertu,pabrīdini mani [time : piecpadsmitos] par to ka jāaiziet uz [event_name : koncertu]
236,vai man ir uzlikts modinātāja signāls manam rīta lidojumam,vai man ir uzlikts modinātāja signāls manam [timeofday : rīta] [event_name : lidojumam]
237,vai es uzliku signālu lai no rīta pamostos,vai es uzliku signālu lai [timeofday : no rīta] [alarm_type : pamostos]
238,vai ir uzlikti kādi modinātāji,vai ir uzlikti kādi modinātāji
239,vai barselonā līst,vai [place_name : barselonā] [weather_descriptor : līst]
240,vai šodien līs,vai [date : šodien] [weather_descriptor : līs]
241,kāds ir ārā,kāds ir ārā
242,kas notiek amerikā,kas notiek [place_name : amerikā]
243,kas notiek pasaulē,kas notiek [place_name : pasaulē]
244,kas notiek kembridžā,kas notiek [place_name : kembridžā]
245,parādi man kādus jaunumus no b. b. c.,parādi man kādus jaunumus no [media_type : b. b. c.]
246,olly parādi man kādas ziņas no l. s. m.,olly parādi man kādas ziņas no [media_type : l. s. m.]
247,atskaņo l. s. m. ziņas,atskaņo [media_type : l. s. m.] ziņas
248,ollij delfi ziņas,ollij [media_type : delfi ziņas]
249,atskaņo man kaut ko no hiphopa,atskaņo man kaut ko no [music_genre : hiphopa]
250,es šobrīd jūtos tā ka varētu paklausīties džezu kā ar tevi,es šobrīd jūtos tā ka varētu paklausīties [music_genre : džezu] kā ar tevi
251,olly atskaņo nāves metālu tagad,olly atskaņo nāves [music_genre : metālu] tagad
252,nāves metālu tagad,nāves [music_genre : metālu] tagad
254,ojār uzliec dziesmu no mana mīļākā džeza mūziķa,ojār uzliec dziesmu no mana mīļākā [music_genre : džeza] mūziķa
255,olly kāda mūzika man parasti patīk pēc darba,olly kāda mūzika man parasti patīk pēc darba
257,olly atskaņo mūziku no mana mīļākā pianista,olly atskaņo mūziku no mana mīļākā [music_genre : pianista]
258,es tevi nedzirdu,es tevi nedzirdu
259,tu esi pārāk skaļš,tu esi pārāk skaļš
260,es tevi knapi dzirdu olly,es tevi knapi dzirdu olly
261,es tevi knapi dzirdu,es tevi knapi dzirdu
262,padari gaismas zilas,padari gaismas [color_type : zilas]
263,uzliksim zilas gaismas,uzliksim [color_type : zilas] gaismas
264,liec gaismām spīdēt zilā krāsā,liec gaismām [color_type : spīdēt zilā krāsā]
265,ollij arlabunakti izslēdz gaismas,ollij arlabunakti izslēdz gaismas
267,šeit ir briesmīgi tumšs,šeit ir briesmīgi tumšs
268,padari gaismas spilgtākas,padari gaismas spilgtākas
269,olly ir pārāk tumšs es pat nevaru redzēt savas rokas,olly ir pārāk tumšs es pat nevaru redzēt savas rokas
270,cik ir pulkstenis,cik ir pulkstenis
271,cik tagad ir pulkstens tokijā,cik tagad ir pulkstens [place_name : tokijā]
273,kas ir šī dziesma,kas ir šī dziesma
274,olly kas ir šī dziesma,olly kas ir šī dziesma
275,ko dziedātājs domāja ar dziesmas nosaukumu kalniem pāri,ko dziedātājs domāja ar dziesmas nosaukumu [song_name : kalniem pāri]
276,kurš iedziedāja dziesmu svētku diena,kurš iedziedāja dziesmu [song_name : svētku diena]
277,kādi ir laikapstākļi rīgā,kādi ir laikapstākļi [place_name : rīgā]
278,kāds ir laiks minskā,kāds ir laiks [place_name : minskā]
279,kāda ir šodienas laika prognoze ventspilī,kāda ir [date : šodienas] laika prognoze [place_name : ventspilī]
280,kāds ir brexit sarunu pašreizējais stāvoklis,kāds ir [news_topic : brexit sarunu] pašreizējais stāvoklis
281,kāds ir valūtas kurss a. s. v. dolāram un eiro,kāds ir [news_topic : valūtas kurss a. s. v. dolāram un eiro]
282,kurš uzvarēs nākamajās vēlēšanās francijā,kurš uzvarēs nākamajās [news_topic : vēlēšanās] [place_name : francijā]
283,vai svētdien ir gaidāma saule,vai [date : svētdien] ir gaidāma [weather_descriptor : saule]
284,vai līs vakarā,vai [weather_descriptor : līs] [timeofday : vakarā]
285,vai rīt būs vējains,vai [date : rīt] būs [weather_descriptor : vējains]
286,ieslēdz gaismas virtuvē,ieslēdz gaismas [house_place : virtuvē]
287,paspilgtini lampu blakus dīvānam,paspilgtini [device_type : lampu blakus dīvānam]
288,padari spilgtākas gaismas,padari spilgtākas gaismas
289,cik tagad ir pulkstens maskavā,cik tagad ir pulkstens [place_name : maskavā]
290,ieslēgt putekļsūcēju,ieslēgt [device_type : putekļsūcēju]
291,izsūkt virtuvi,izsūkt [house_place : virtuvi]
292,ieslēgt putekļsūcēju,ieslēgt [device_type : putekļsūcēju]
293,kas notiek pasaulē,kas notiek [place_name : pasaulē]
294,pastāsti man ziņas,pastāsti man ziņas
295,pasaki man kādi ir šodienas avīžu virsraksti,pasaki man kādi ir [date : šodienas] [media_type : avīžu] virsraksti
296,atskaņo prāta vētras atskaņošanas sarakstu,atskaņo [playlist_name : prāta vētras atskaņošanas sarakstu]
297,atskaņot jauktā secībā dziesmas no prāta vētra,[player_setting : atskaņot jauktā secībā] dziesmas no [artist_name : prāta vētra]
298,atskaņot šopēns,atskaņot [artist_name : šopēns]
299,kādi ir laika apstākļi,kādi ir laika apstākļi
300,kāda ir laika prognoze šodienai,kāda ir laika prognoze [date : šodienai]
301,kāds laiks,kāds laiks
302,čau ko taisies darīt,čau ko taisies darīt
303,kā tev klājas,kā tev klājas
304,labrīt kā sokās,labrīt kā sokās
305,pasūti picu no picu pagraba,pasūti [food_type : picu] no [business_name : picu pagraba]
306,es gribētu apēst suši vai tu vari man pasūtīt pusdienas,es gribētu apēst [food_type : suši] vai tu vari man pasūtīt [meal_type : pusdienas]
307,alexa es gribētu apēst suši vai tu vari man pasūtīt pusdienas,alexa es gribētu apēst [food_type : suši] vai tu vari man pasūtīt [meal_type : pusdienas]
308,pasūti sviestmaizi līdzņemšanai un zupu no itāļiem,pasūti [food_type : sviestmaizi] [order_type : līdzņemšanai] un [food_type : zupu] no [business_name : itāļiem]
309,cik dienas palikušas šajā gadā,cik dienas palikušas [date : šajā gadā]
310,kurā dienā šogad būs jaunais gads,kurā dienā [date : šogad] būs jaunais gads
311,kurā dienā šogad ir atceres diena,kurā dienā [date : šogad] ir atceres diena
312,šeit ir pārāk tumšs,šeit ir pārāk tumšs
313,palielināt gaišumu par divdesmit procentiem,palielināt gaišumu par [change_amount : divdesmit procentiem]
314,iestatīt gaismas uz pilnu jaudu,iestatīt gaismas [change_amount : uz pilnu jaudu]
315,lūdzu esi kluss vēl vienu stundu,lūdzu esi kluss [time : vēl vienu stundu]
316,klusums,klusums
317,nerunā šodien,nerunā [date : šodien]
318,vai rīt līs,vai [date : rīt] [weather_descriptor : līs]
319,kāds būs laiks jelgavā pēc divām dienām,kāds būs laiks [place_name : jelgavā] [time : pēc divām dienām]
320,vai man paņemt lietussargu rītdien,vai man paņemt [weather_descriptor : lietussargu] [date : rītdien]
321,izslēgt viedo rozeti,izslēgt [device_type : viedo rozeti]
322,ieslēgt manu kontaktdakšu,ieslēgt manu [device_type : kontaktdakšu]
323,ieslēgt viedo lādētāju,ieslēgt [device_type : viedo lādētāju]
324,pastāsti man tehnoloģiju ziņas no dienas biznesa,pastāsti man [news_topic : tehnoloģiju] ziņas no [media_type : dienas biznesa]
325,laimīgs,laimīgs
326,vakars,[timeofday : vakars]
327,svētdiena,[date : svētdiena]
329,alvas zaldātiņi,[song_name : alvas zaldātiņi]
330,klusāk,klusāk
331,maigāk,maigāk
332,klusums,klusums
333,kādi ir laikapstākļi bergenā,kādi ir laikapstākļi [place_name : bergenā]
334,es vēlos uzzināt laikapstākļus liepājā,es vēlos uzzināt laikapstākļus [place_name : liepājā]
335,es vēlos zināt kāds rīgā laiks,es vēlos zināt kāds [place_name : rīgā] laiks
336,vai vidzemes augstienē snieg,vai [place_name : vidzemes augstienē] [weather_descriptor : snieg]
339,ej man vajag kafiju tagad,ej man vajag kafiju tagad
340,es šodien palīdzēju nabadzīgam trūkumcietējam ollij,es [date : šodien] palīdzēju nabadzīgam trūkumcietējam ollij
341,ieslēdz kafijas automātu,ieslēdz [device_type : kafijas automātu]
342,uztaisi man tagad kafiju,uztaisi man tagad kafiju
343,kāds rīt būs laiks,kāds [date : rīt] būs laiks
344,vai rīt būs lietains,vai [date : rīt] būs [weather_descriptor : lietains]
345,kāda būs temperatūra rīt ārā,kāda būs [weather_descriptor : temperatūra] [date : rīt] ārā
346,kāda ir rītdienas laika prognoze,kāda ir [date : rītdienas] laika prognoze
347,kādas ir rītdienas laika prognozes,kādas ir [date : rītdienas] laika prognozes
348,vai rīt līs,vai [date : rīt] [weather_descriptor : līs]
349,vai rīt būs sniegs,vai [date : rīt] būs [weather_descriptor : sniegs]
350,uzzini vai restorāns pieņem pasūtījumus līdzņemšanai,uzzini vai [business_type : restorāns] pieņem pasūtījumus [order_type : līdzņemšanai]
351,sameklē vai restorāns piedāvā līdzņemšanai,sameklē vai [business_type : restorāns] piedāvā [order_type : līdzņemšanai]
