id,utt,annot_utt
46,anong meron olly,anong meron olly
47,anong oras na sa australia,anong oras na sa [place_name : australia]
48,sabihin mo sa akin ang oras sa moscow,sabihin mo sa akin ang oras sa [place_name : moscow]
49,sabihin sa akin ang oras sa g. m. t. plus five,sabihin sa akin ang oras sa [time_zone : g. m. t. plus five]
50,olly sabihin sa akin ang oras sa g. m. t. dagdagan ng lima,olly sabihin sa akin ang oras sa [time_zone : g. m. t. dagdagan ng lima]
51,olly pinaka-rate na mga opsyon sa paghahatid para sa filipino food,olly pinaka-rate na mga opsyon sa [order_type : paghahatid] para sa [food_type : filipino] food
52,pinaka rated na paghahatid para sa chinese na pagkain,pinaka rated na [order_type : paghahatid] para sa [food_type : chinese] na pagkain
53,ilista ang pinaka-rated na mga opsyon sa paghahatid para sa filipino food,ilista ang pinaka-rated na mga opsyon sa [order_type : paghahatid] para sa [food_type : filipino] food
54,olly pinaka-rate na mga opsyon sa paghahatid para sa filipino food,olly pinaka-rate na mga opsyon sa [order_type : paghahatid] para sa [food_type : filipino] food
55,gusto ko ng menudo na mapunta sa anumang rekomendasyon,gusto ko ng [food_type : menudo] na mapunta sa anumang rekomendasyon
56,gusto ko ng menudo upang pumunta sa anumang mga rekomendasyon siri,gusto ko ng [food_type : menudo] upang pumunta sa anumang mga rekomendasyon siri
57,hanapin ang aking mga thai takeaway sa paligid ng pamilihan ng damo,hanapin ang aking [order_type : mga] [food_type : thai] [order_type : takeaway] sa paligid ng [place_name : pamilihan ng damo]
58,ihanap ako ng thai takeaways sa paligid ng divisoria,ihanap ako ng [food_type : thai] [order_type : takeaways] sa paligid ng [place_name : divisoria]
59,kanselahin ang aking hudyat sa alas siyete ng umaga,kanselahin ang aking hudyat sa [time : alas siyete ng umaga]
60,ihinto ang hudyat ng alas siyete ng umaga,ihinto ang hudyat ng [time : alas siyete ng umaga]
61,anong mga hudyat ang inilagay ko,anong mga hudyat ang inilagay ko
62,pakilista ang mga aktibong mga hudyat,pakilista ang mga aktibong mga hudyat
63,sabihin sa akin ang tungkol sa aking mga alarm,sabihin sa akin ang tungkol sa aking mga alarm
65,ano ang nangyayari sa futbol ngayon,ano ang nangyayari sa [news_topic : futbol] [date : ngayon]
66,mangyaring patugtugin ang halaga ng parokya ni edgar,mangyaring patugtugin ang [song_name : halaga] ng [artist_name : parokya ni edgar]
67,gusto kong marinig ang queen's barcelona,gusto kong marinig ang [artist_name : queen's] [song_name : barcelona]
68,iplay sa akin ang barcelona ng queen,iplay sa akin ang [song_name : barcelona] ng [artist_name : queen]
69,gusto ko ang rock na musika,gusto ko ang [music_genre : rock] na musika
70,ang paborito kong banda ng musika ay parokya ni edgar,ang paborito kong banda ng musika ay parokya ni edgar
71,gusto ko ang mga kanta ng senatra,gusto ko ang mga kanta ng [artist_name : senatra]
72,simulan ang paglalaro ng musika mula sa parokya ni edgar,simulan ang paglalaro ng musika mula sa parokya ni edgar
73,paki-play ang aking pinakamahusay na musika,paki-play ang aking pinakamahusay na musika
74,anong banda ang tumutugtog ngayon,anong banda ang tumutugtog ngayon
75,sino ang kasalukuyang may-akda ng musika,sino ang kasalukuyang may-akda ng musika
76,saan galing ang album ng kasalukuyang musika,saan galing ang album ng kasalukuyang musika
77,olly natutuwa ako sa kantang ito,olly natutuwa ako sa kantang ito
78,nakakamangha ang kantang pinapatugtog mo,nakakamangha ang kantang pinapatugtog mo
79,isa ito sa pinakamagandang kanta,isa ito sa pinakamagandang kanta
80,itakda ang liwanag ng mga ilaw sa mas mataas,itakda ang liwanag ng mga ilaw sa mas mataas
81,gawin mas maliwanag ang mga ilaw,gawin mas maliwanag ang mga ilaw
82,mangyaring pakitaas ang mga ilaw sa sagad,mangyaring pakitaas ang mga ilaw [change_amount : sa sagad]
83,hoy simulan ang vacuum cleaner robot,hoy simulan ang [device_type : vacuum cleaner robot]
84,buksan ang cleaner robot,buksan ang [device_type : cleaner robot]
85,sabihin sa akin ang petsa ngayong araw,sabihin sa akin ang petsa [date : ngayong araw]
86,anong petsa ngayon,anong petsa [date : ngayon]
87,mangyaring mag-order ng ilang sushi para sa hapunan,mangyaring mag-order ng ilang [food_type : sushi] para sa [meal_type : hapunan]
88,hey nais kitang mag-order ng burger,hey nais kitang mag-order ng [food_type : burger]
89,pwedeng mag order ka ng shanghai ngayong gabi sa hapunan,pwedeng mag order ka ng [food_type : shanghai] [timeofday : ngayong gabi] sa [meal_type : hapunan]
90,paano na ang aking order na panghapunan,paano na ang aking order na panghapunan
91,pwede ba mag order ng takeaway na hapunan sa byron's,pwede ba mag order ng [order_type : takeaway] na [meal_type : hapunan] sa [business_name : byron's]
92,si byron's ba ay may takeaways,si [business_name : byron's] ba ay may [order_type : takeaways]
93,magtakda ng hudyat para sa alas dose,magtakda ng hudyat para sa [time : alas dose]
94,magtakda ng hudyat apatnapung minuto mula ngayon,magtakda ng hudyat [time : apatnapung minuto mula ngayon]
95,itakda ang alarma para sa alas otso tuwing araw ng linggo,itakda ang alarma para sa [time : alas otso] tuwing [general_frequency : araw ng linggo]
96,umuulan ba,[weather_descriptor : umuulan] ba
97,may ulan ba mamaya,may [weather_descriptor : ulan] ba mamaya
98,kasalukuyan bang nagniniyebe,kasalukuyan bang [weather_descriptor : nagniniyebe]
99,ano ang klima sa buong linggo,ano ang klima sa buong [time : linggo]
100,ano ang ulat panahon sa linggo,ano ang ulat panahon sa [time : linggo]
101,ano ang klima nitong mga linggo,ano ang klima [date : nitong mga linggo]
102,ano ang klima ngayong linggo,ano ang klima [date : ngayong linggo]
103,sabihin ang klima ngayong linggo,sabihin ang klima [date : ngayong linggo]
104,sabihin mo sa akin ang balita sa b. b. c.,sabihin mo sa akin ang balita sa [media_type : b. b. c.]
105,ano ang balita sa b. b. c. news,ano ang balita sa [media_type : b. b. c.] news
106,ano ang pinakabagong balita ng b. b. c.,ano ang pinakabagong balita [media_type : ng b. b. c.]
107,i-play ang hurts like heaven,i-play ang [song_name : hurts like heaven]
108,iplay ang kanta na gusto ko,iplay ang kanta na gusto ko
109,ilagay ang binhi,ilagay ang [song_name : binhi]
110,iplay ang kamikazee,iplay ang [artist_name : kamikazee]
111,magpatugtog ng ilang mga eraserhead,magpatugtog ng ilang mga [artist_name : eraserhead]
112,magpatugtog ng ilang mga kanta ni moira de la torre,magpatugtog ng ilang mga kanta ni [artist_name : moira de la torre]
113,i-loop ang track na ito,[player_setting : i-loop] ang track na ito
114,balasahin itong playlist,[player_setting : balasahin] itong playlist
115,itakda ang volume sa mahina,itakda ang volume [change_amount : sa mahina]
116,anong tumutugtog,anong tumutugtog
117,anong musika ito,anong musika ito
118,sabihin mo sa akin ang artista ng kantang ito,sabihin mo sa akin ang artista ng kantang ito
119,patawanin mo ako,patawanin mo ako
120,olly patawanin mo ako,olly patawanin mo ako
121,sabihin mo sa akin ang isang magandang biro,sabihin mo sa akin ang isang [joke_type : magandang] biro
122,magpadala ng giggle sa aking paraan,magpadala ng giggle sa aking paraan
123,sabihin sa akin ang isang biro,sabihin sa akin ang isang biro
124,olly sabihin mo sa akin ng isang biro,olly sabihin mo sa akin ng isang biro
125,alexa magsabi ng biro,alexa magsabi ng biro
126,pasayahin mo ako,pasayahin mo ako
127,anong araw ngayon,anong araw [date : ngayon]
128,anong petsa,anong petsa
129,sabihin sa akin ang tungkol sa araw na ito,sabihin sa akin ang tungkol sa [date : araw na ito]
130,umorder ng pizza,umorder ng [food_type : pizza]
131,orderan mo ako ng byron mula sa deliveroo,orderan mo ako ng [food_type : byron] mula sa [business_name : deliveroo]
132,mag-order ng takeaway,mag-order ng [order_type : takeaway]
133,kailan dadrating ang order ko,kailan dadrating ang order ko
134,gaano katagal bago ang aking takeaway,gaano katagal bago ang aking [order_type : takeaway]
135,katayuan ng paghahatid ng domino's,katayuan ng [order_type : paghahatid] ng [business_name : domino's]
136,anong tumutugtog,anong tumutugtog
137,sabihin mo sa akin ang pangalan ng kanta,sabihin mo sa akin ang pangalan ng kanta
138,anong kanta iyan,anong kanta iyan
139,patugtugin ang jazz playlist ko,patugtugin ang [music_genre : jazz] playlist ko
140,simulan ang aking jazz playlist,simulan ang aking [music_genre : jazz] playlist
141,i-play ang aking paboritong playlist,i-play ang aking paboritong playlist
142,magandang kanta yan,magandang kanta yan
143,hindi ko gusto ito,hindi ko gusto ito
144,gusto ko ito,gusto ko ito
145,gusto ko ang jazz,gusto ko ang [music_genre : jazz]
146,maaari ka bang magpatugtog ng ilang mga jazz,maaari ka bang magpatugtog ng ilang mga [music_genre : jazz]
147,gusto kong makinig ng jazz,gusto kong makinig ng [music_genre : jazz]
148,olly gusto kong makinig ng jazz,olly gusto kong makinig ng [music_genre : jazz]
149,itong kanta na ito ay napakahusay,itong kanta na ito ay napakahusay
150,gusto ko itong kantang ito,gusto ko itong kantang ito
151,i-play ito muli,i-play ito muli
152,baguhin ang tono,baguhin ang tono
153,paganahin ang shuffle,paganahin ang [player_setting : shuffle]
154,i-save ang mga setting,i-save ang mga setting
155,itakda ang liwanag hanggang limampung porsyento,itakda ang liwanag [change_amount : hanggang limampung porsyento]
156,ipihit pababa ang liwanag,ipihit pababa ang liwanag
157,pababain ang liwanag,pababain ang liwanag
158,bawasan ang liwanag ng mga ilaw,bawasan ang liwanag ng mga ilaw
159,bawasan ang ningning,bawasan ang ningning
160,diliman ang mga ilaw,diliman ang mga ilaw
161,olly padilimin ang mga ilaw,olly padilimin ang mga ilaw
162,gawan mo ako ng kape,gawan mo ako ng kape
163,olly ipagtimpla ako ng kape,olly ipagtimpla ako ng kape
164,kailangan ko ng kape,kailangan ko ng kape
165,gusto ko ng kape ngayon,gusto ko ng kape ngayon
166,kamusta ka,kamusta ka
167,huy huy,huy huy
168,nagbibigay ba sila ng takeaway,nagbibigay ba sila ng [order_type : takeaway]
169,naghahatid ba sila,[order_type : naghahatid] ba sila
170,naghahatid ba sila sa bahay,[order_type : naghahatid] ba sila sa bahay
171,olly naghahatid ba sila sa bahay,olly [order_type : naghahatid] ba sila sa bahay
172,itakda ang hudyat sa alas diyes ng umaga,itakda ang hudyat sa [time : alas diyes ng umaga]
173,itakda ang hudyat bukas ng alas sais ng umaga,itakda ang hudyat [date : bukas] ng [time : alas sais ng umaga]
174,magtakda ng pampagising sa huwebes ng alas siyete ng umaga,magtakda ng pampagising sa [date : huwebes] ng [time : alas siyete ng umaga]
175,sabihin sa akin ang pinakabagong balita sa teknolohiya,sabihin sa akin ang pinakabagong balita sa [news_topic : teknolohiya]
176,sabihin sa akin ang pinakabagong balita sa teknolohiya,sabihin sa akin ang pinakabagong balita sa [news_topic : teknolohiya]
177,sabihin sa akin ang ilang balita sa negosyo,sabihin sa akin ang ilang balita sa [news_topic : negosyo]
178,sabihin sa akin ang internasyonal na balita,sabihin sa akin ang [place_name : internasyonal] na balita
179,sabihin sa akin ang panahon,sabihin sa akin ang panahon
180,ano ang klima ngayon,ano ang klima ngayon
181,umuulan ba ngayon,[weather_descriptor : umuulan] ba ngayon
182,iplay ang rock sa aking spotify,iplay ang [music_genre : rock] sa aking spotify
183,i-turn on ang aking michael jackson playlist,i-turn on ang aking [artist_name : michael jackson] playlist
184,i-play ang siakol mula sa aking playlist,i-play ang [artist_name : siakol] mula sa aking playlist
185,buksan ang aking playlist at patugtugin ang ikatlong kanta sa pila,buksan ang aking playlist at patugtugin ang ikatlong kanta sa pila
186,i play ang huling kanta mula sa aking paboritong playlist,i play ang [song_name : huling kanta] mula sa aking paboritong playlist
187,lakasan ang tunog,lakasan ang tunog
188,lakasan ang tunog,lakasan ang tunog
189,imute ang tunog,imute ang tunog
190,buksan ang saksakan,buksan ang [device_type : saksakan]
191,buksan ang plug,buksan ang [device_type : plug]
192,buksan ang plug ko,buksan ang [device_type : plug] ko
193,sabihin mo sa akin ang ilang biro,sabihin mo sa akin ang ilang biro
194,may alam ka bang anumang biro,may alam ka bang anumang biro
195,anong oras na,anong oras na
196,sabihin mo sa akin ang oras,sabihin mo sa akin ang oras
197,anong oras na,anong oras na
198,may take out ba sa greenwich,may [order_type : take out] ba sa [food_type : greenwich]
199,pwede ba ang paborito kong pizza place para sa take out,pwede ba ang paborito kong [food_type : pizza] place para sa [order_type : take out]
200,pwedeng mag order at ilabas mula sa filipino na lugar,pwedeng mag order at [order_type : ilabas] mula sa [food_type : filipino] na lugar
201,tanggalin ang alarm na kakatakda ko lang,tanggalin ang alarm na kakatakda ko lang
202,tanggalin ang alarm,tanggalin ang alarm
203,ipakita sa akin ang mga hudyat na itinakda ko,ipakita sa akin ang mga hudyat na itinakda ko
204,may anumang mga hudyat ba ako,may anumang mga hudyat ba ako
205,ipakita ang mga hudyat,ipakita ang mga hudyat
206,ano ang klima sa baguio bukas,ano ang klima sa [place_name : baguio] bukas
207,sabihin ang klima ngayon sa maynila,sabihin ang klima ngayon sa [place_name : maynila]
209,mangyaring gawin ang mga ilaw na magiliw sa nagbabasa,mangyaring gawin ang mga ilaw na [color_type : magiliw sa nagbabasa]
210,gawing magiliw na nanonood ang mga ilaw,gawing [color_type : magiliw na nanonood] ang mga ilaw
211,gawing mas maliwanag ang kwarto,gawing mas maliwanag ang [house_place : kwarto]
212,at nagsimula na ang mga ilaw,at nagsimula na ang mga ilaw
213,ano ang petsa ngayong araw,ano ang petsa [date : ngayong araw]
214,anong araw ngayong araw,anong araw [date : ngayong araw]
215,sabihin sa akin ang isang petsa,sabihin sa akin ang isang petsa
216,ano ang klima ngayon,ano ang klima [date : ngayon]
217,umuulan ba sa labas,[weather_descriptor : umuulan] ba sa labas
218,umuulan ba sa labas olly,[weather_descriptor : umuulan] ba sa labas olly
219,magdadala ba ako ng payong bukas,magdadala ba ako ng [weather_descriptor : payong] [date : bukas]
220,iplay ang musika mula sa listahan ng rock,iplay ang musika mula sa [playlist_name : listahan ng rock]
221,palitan ang mga ilaw sa berde,palitan ang mga ilaw sa [color_type : berde]
222,idagdag ang kantang ito sa aking paboritong listahan,idagdag ang kantang ito sa aking paboritong listahan
223,ano ang kantang ito,ano ang kantang ito
224,olly patayin ang mga ilaw,olly patayin ang mga ilaw
225,patayin ang mga ilaw,patayin ang mga ilaw
226,linisin ang sahig pakiusap,linisin ang [house_place : sahig] pakiusap
227,buksan ang rice cooker socket,buksan ang [device_type : rice cooker socket]
228,patayin ang saksakan ng lutuan ng bigas,patayin ang [device_type : saksakan ng lutuan ng bigas]
229,anong oras na sa pasay,anong oras na sa [place_name : pasay]
230,anong oras na sa maynila,anong oras na sa [place_name : maynila]
231,maari mo ba akong tulungang mag-order ng ilang shanghai mula sa chowking,maari mo ba akong tulungang mag-order ng ilang [food_type : shanghai] mula sa [business_name : chowking]
232,magtakda ng hudyat sa alas sais ng umaga,magtakda ng hudyat sa alas [time : sais] ng [timeofday : umaga]
233,magtakda ng hudyat sa alas kuwatro ng hapon,magtakda ng hudyat sa alas [time : kuwatro] ng [timeofday : hapon]
234,olly i alerto ako sa alas tres ng hapon para pumunta sa konsiyerto,olly i alerto ako sa [time : alas tres ng hapon] para pumunta sa [event_name : konsiyerto]
235,abisuhan ako sa alas tres ng hapon para pumunta sa konsiyerto,abisuhan ako sa [time : alas tres ng hapon] para pumunta sa [event_name : konsiyerto]
236,meron ba akong nakatakdang hudyat para sa paglipad ng umaga,meron ba akong nakatakdang hudyat para sa [event_name : paglipad] ng [timeofday : umaga]
237,nagtakda ba ako ng hudyat para magising sa umaga,nagtakda ba ako ng hudyat para [alarm_type : magising] sa [timeofday : umaga]
238,may anumang mga hudyat ba,may anumang mga hudyat ba
239,umuulan ba sa barcelona,[weather_descriptor : umuulan] ba sa [place_name : barcelona]
240,may ulan ba ngayon,may [weather_descriptor : ulan] ba [date : ngayon]
241,anong nangyayari sa labas,anong nangyayari sa labas
242,anong nangyayari sa pilipinas,anong nangyayari sa [place_name : pilipinas]
243,ano ang nangyayari sa mundo,ano ang nangyayari sa [place_name : mundo]
244,anong nangyayari sa baguio,anong nangyayari sa [place_name : baguio]
245,ipakita sa akin ang ilang balita mula sa g. m. a. news,ipakita sa akin ang ilang balita mula sa [media_type : g. m. a. news]
246,olly ipakita sa akin ang ilang balita mula sa b. b. c.,olly ipakita sa akin ang ilang balita mula sa [media_type : b. b. c.]
247,i-play ang g. m. a. balita,i-play ang [media_type : g. m. a.] balita
248,olly rappler,olly [media_type : rappler]
249,magpatugtog ng ilang hiphop,magpatugtog ng ilang [music_genre : hiphop]
250,parang gusto ko ng jazz ngayon ikaw ba,parang gusto ko ng [music_genre : jazz] ngayon ikaw ba
251,olly death metal ngayon na,olly death [music_genre : metal] ngayon na
252,death metal ngayon,death [music_genre : metal] ngayon
254,olly i-play ang track mula sa paborito ko na jazz player,olly i-play ang track mula sa paborito ko na [music_genre : jazz] player
255,olly anong musika ang gusto ko pagkatapos ng trabaho,olly anong musika ang gusto ko pagkatapos ng trabaho
257,olly mag-play ng musika mula sa aking paboritong pianist,olly mag-play ng musika mula sa aking paboritong [music_genre : pianist]
258,hindi kita marinig,hindi kita marinig
259,masyado kang maingay,masyado kang maingay
260,halos hindi kita marinig olly,halos hindi kita marinig olly
261,halos hindi kita marinig,halos hindi kita marinig
262,gawing asul ang mga ilaw,gawing [color_type : asul] ang mga ilaw
263,magakroon tayo ng asul na mga ilaw,magakroon tayo ng [color_type : asul] na mga ilaw
264,gawing kumikinang na asul ang mga ilaw,gawing [color_type : kumikinang na asul] ang mga ilaw
265,olly patayin ang mga ilaw,olly patayin ang mga ilaw
267,grabe ang dilim dito,grabe ang dilim dito
268,gawing mas maliwanag ang mga ilaw,gawing mas maliwanag ang mga ilaw
269,olly sobrang dilim hindi ko man lang makita ang mga kamay ko,olly sobrang dilim hindi ko man lang makita ang mga kamay ko
270,anong oras,anong oras
271,anong oras na sa tokyo ngayon,anong oras na sa [place_name : tokyo] ngayon
273,ano ang kanta,ano ang kanta
274,olly anong kanta ito,olly anong kanta ito
275,ano ang ibig sabihin ng singer sa pamagat ng kantang bohemian rhapsody,ano ang ibig sabihin ng singer sa pamagat ng kantang [song_name : bohemian rhapsody]
276,sino ang nag-cover ng kanta ng isa pang tasa ng kape,sino ang nag-cover ng kanta ng [song_name : isa pang tasa ng kape]
277,ano ang klima sa paris,ano ang klima sa [place_name : paris]
278,ano ang klima sa maynila,ano ang klima sa [place_name : maynila]
279,ano ang klima ngayong araw sa maynila,ano ang klima [date : ngayong araw] sa [place_name : maynila]
280,ano ang kasalukuyang estado ng mga negosasyon sa brexit,ano ang kasalukuyang estado ng [news_topic : mga negosasyon sa brexit]
281,ano ang palitan ng dolyar ng u. s. sa pound sterling,ano ang [news_topic : palitan ng dolyar ng u. s. sa pound sterling]
282,sino ang mananalo sa susunod na halalan sa pransiya,sino ang mananalo sa susunod na [news_topic : halalan] sa [place_name : pransiya]
283,aasahan mo ba ang araw nitong linggo,aasahan mo ba ang [weather_descriptor : araw] nitong [date : linggo]
284,uulan ba ngayong gabi,[weather_descriptor : uulan] ba ngayong [timeofday : gabi]
285,magiging mahangin ba bukas,magiging [weather_descriptor : mahangin] ba [date : bukas]
286,sindihan ang mga ilaw sa kusina,sindihan ang mga ilaw sa [house_place : kusina]
287,liwanagan ang lampara sa tabi ng sofa,liwanagan ang [device_type : lampara sa tabi ng sofa]
288,ilawan ang ilaw,ilawan ang ilaw
289,anong oras na sa manila,anong oras na sa [place_name : manila]
290,simulan ang panlinis na humihigop ng dumi,simulan ang [device_type : panlinis na humihigop ng dumi]
291,vacuum ang kusina,vacuum ang [house_place : kusina]
292,buksan ang vacuum cleaner,buksan ang [device_type : vacuum cleaner]
293,ano ang nangyayari sa mundo,ano ang nangyayari sa [place_name : mundo]
294,sabihin mo sa akin ang balita,sabihin mo sa akin ang balita
295,sabihin sa akin ang mga headline ng pahayagan ngayong araw,sabihin sa akin ang mga headline [media_type : ng pahayagan] [date : ngayong araw]
296,i-play ang nirvana playlist,i-play ang [playlist_name : nirvana playlist]
297,i shuffle ang mga kanta ng coldplay,i [player_setting : shuffle] ang mga kanta ng [artist_name : coldplay]
298,i play ang chopin,i play ang [artist_name : chopin]
299,ano ang panahon,ano ang panahon
300,ano ang ulat panahon ngayon,ano ang ulat panahon [date : ngayon]
301,ano ang lagay ng panahon,ano ang lagay ng panahon
302,huy anong balak mo,huy anong balak mo
303,kumusta ka,kumusta ka
304,anong mayroon sa umaga,anong mayroon sa umaga
305,mag order ng pizza mula sa sbarro,mag order ng [food_type : pizza] mula sa [business_name : sbarro]
306,gusto ko ang shanghai pwedeng iorder mo sa tanghalian,gusto ko ang [food_type : shanghai] pwedeng iorder mo sa [meal_type : tanghalian]
307,alexa gusto ko ng sushi pwedeng mag order ka sa tanghalian,alexa gusto ko ng [food_type : sushi] pwedeng mag order ka sa [meal_type : tanghalian]
308,mag order ng takeaway sandwich at sopas mula sa italians,mag order ng [order_type : takeaway] [food_type : sandwich] at [food_type : sopas] mula sa [business_name : italians]
309,ilang araw na lang ang natitira sa taong ito,ilang araw na lang ang natitira sa [date : taong ito]
310,anong petsa ang bisperas ng bagong taon ngayong taon,anong petsa ang bisperas ng bagong taon [date : ngayong taon]
311,anong araw ang memorial day ngayong taon,anong araw ang memorial day [date : ngayong taon]
312,sobrang dilim dito,sobrang dilim dito
313,pataasin ang liwanag ng dalawampung porsyento,pataasin ang liwanag [change_amount : ng dalawampung porsyento]
314,itakda ang mga ilaw sa pinakamataas,itakda ang mga ilaw [change_amount : sa pinakamataas]
315,mangyaring tumahimik para sa isa pang oras,mangyaring tumahimik para sa [time : isa pang oras]
316,mute,mute
317,huwag kang magsalita ngayon,huwag kang magsalita [date : ngayon]
318,magkaka ulan ba bukas,magkaka [weather_descriptor : ulan] ba [date : bukas]
319,sabihin sa akin ang klima sa barcelona dalawang araw mula ngayon,sabihin sa akin ang klima sa [place_name : barcelona] [time : dalawang araw mula ngayon]
320,kukuha ba ako ng payong bukas,kukuha ba ako ng [weather_descriptor : payong] [date : bukas]
321,huwag paganahin ang okug,huwag paganahin ang [device_type : okug]
322,buksan ang saksakan ko,buksan ang [device_type : saksakan] ko
323,buksan ang smart charger,buksan ang [device_type : smart charger]
324,sabihin sa akin ang balita sa teknolohiya mula sa yugatech,sabihin sa akin ang balita sa [news_topic : teknolohiya] mula sa [media_type : yugatech]
325,masaya,masaya
326,gabi,[timeofday : gabi]
327,linggo,[date : linggo]
329,pitong taon,[song_name : pitong taon]
330,mas tahimik,mas tahimik
331,mas malambot,mas malambot
332,tahimik,tahimik
333,ano ang kundisyon ng klima sa new york,ano ang kundisyon ng klima sa [place_name : new york]
334,nais kong malaman ang klima sa san fransico,nais kong malaman ang klima sa [place_name : san fransico]
335,sana malaman ko ang panahon sa s. f.,sana malaman ko ang panahon sa [place_name : s. f.]
336,nagniniyebe sa california,[weather_descriptor : nagniniyebe] sa [place_name : california]
339,kailangan ko ng kape ngayon,kailangan ko ng kape ngayon
340,tinulungan ko ang nangangailangan ngayon olly,tinulungan ko ang nangangailangan [date : ngayon] olly
341,simulan ang coffee machine,simulan ang [device_type : coffee machine]
342,maghanda ng isang tasa ng kape ngayon,maghanda ng isang tasa ng kape ngayon
343,ano ang klima bukas,ano ang klima [date : bukas]
344,maulan ba bukas,[weather_descriptor : maulan] ba [date : bukas]
345,ano ang magiging temperatura bukas,ano ang magiging [weather_descriptor : temperatura] [date : bukas]
346,ano ang inaasahan na klima bukas,ano ang inaasahan na klima [date : bukas]
347,ano ang mga hula ng panahon bukas,ano ang mga hula ng panahon [date : bukas]
348,may ulan ba bukas,may [weather_descriptor : ulan] ba [date : bukas]
349,may niyebe ba bukas,may [weather_descriptor : niyebe] ba [date : bukas]
350,alamin kung ang restawran ay gumagawa ng mga take out order,alamin kung ang [business_type : restawran] ay gumagawa ng mga [order_type : take out] order
351,hanapin kung may take out ang restawran,hanapin kung may [order_type : take out] ang [business_type : restawran]
352,may take-out menu ba sa restawran,may [order_type : take-out] menu ba sa [business_type : restawran]
353,anong araw ng linggo ang ika-dalawamput dalawa ng marso,anong araw ng linggo ang [date : ika-dalawamput dalawa ng marso]
