id,utt,annot_utt
46,kaj dogaja oli,kaj dogaja oli
47,koliko je ura v avstraliji,koliko je ura v [place_name : avstraliji]
48,povej mi koliko je ura v moskvi,povej mi koliko je ura v [place_name : moskvi]
49,povej mi koliko je ura za g. m. t. plus pet,povej mi koliko je ura za [time_zone : g. m. t. plus pet]
50,olly povej mi uro v srednjeevropskem času plus pet,olly povej mi uro v [time_zone : srednjeevropskem času plus pet]
51,olly naredi seznam najbolj ocenjenih možnostih dostave za kitajsko hrano,olly naredi seznam najbolj ocenjenih možnostih [order_type : dostave] za [food_type : kitajsko] hrano
52,najbolj ocenjena dostava za kitajsko hrano,najbolj ocenjena [order_type : dostava] za [food_type : kitajsko] hrano
53,naštej najbolje ocenjeno dostavo kitajske hrane na dom,naštej najbolje ocenjeno [order_type : dostavo] [food_type : kitajske] [order_type : hrane na dom]
54,olly najbolj ocenjene možnosti dostave za kitajsko hrano,olly najbolj ocenjene možnosti [order_type : dostave] za [food_type : kitajsko] hrano
55,rad bi kari za s seboj kakšno priporočilo,rad bi [food_type : kari] za s seboj kakšno priporočilo
56,želim kari za s sabo kaj priporočaš olly,želim [food_type : kari] za s sabo kaj priporočaš olly
57,najdi tajsko hrano za s seboj okoli centralne tržnice,najdi [food_type : tajsko hrano] [order_type : za s seboj] okoli [place_name : centralne tržnice]
58,najdi mojo tajsko hrano za s seboj okrog btc tržnice,najdi mojo [food_type : tajsko] [order_type : hrano za s seboj] okrog [place_name : btc tržnice]
59,prekliči moj alarm ob sedmih zjutraj,prekliči moj alarm ob [time : sedmih zjutraj]
60,prekliči alarm sedem zjutraj,prekliči alarm [time : sedem zjutraj]
61,katere alarme imam nastavljene,katere alarme imam nastavljene
62,prosim naštej aktivne alarme,prosim naštej aktivne alarme
63,obvesti me glede mojih alarmov,obvesti me glede mojih alarmov
65,kaj se danes dogaja v nogometu,kaj se [date : danes] dogaja v [news_topic : nogometu]
66,prosim predvajaj yesterday od beatlesov,prosim predvajaj [song_name : yesterday] od [artist_name : beatlesov]
67,želim slišati domačo hišo ansambla lojzeta slaka,želim slišati [song_name : domačo hišo] [artist_name : ansambla lojzeta slaka]
68,igraj na božično noč od magnifica,igraj [song_name : na božično noč] od [artist_name : magnifica]
69,obožijem rock glasbo,obožijem [music_genre : rock] glasbo
70,moja najljubša glasbena skupina je buldožer,moja najljubša glasbena skupina je [artist_name : buldožer]
71,všeč so mi plestenjakove pesmi,všeč so mi [artist_name : plestenjakove] pesmi
72,začni predvajati glasbo iz najbolj priljubljenih,začni predvajati glasbo iz najbolj priljubljenih
73,prosim predvajaj mojo najboljšo glasbo,prosim predvajaj mojo najboljšo glasbo
74,katera skupina trenutno igra,katera skupina trenutno igra
75,kdo je avtor glasbe,kdo je avtor glasbe
76,kateri je že tisti album s katerega je trenutna glasba,kateri je že tisti album s katerega je trenutna glasba
77,oli res uživam v tej pesmi,oli res uživam v tej pesmi
78,pesem ki jo igraš je čudovita,pesem ki jo igraš je čudovita
79,to je zame ena najboljših pesmi,to je zame ena najboljših pesmi
80,nastavi svetlost luči višje,nastavi svetlost luči višje
81,nastavi luči na svetleje,nastavi luči na svetleje
82,nastavi luči na maksimum,nastavi luči [change_amount : na maksimum]
83,hej vklopi robotski sesalnik,hej vklopi [device_type : robotski sesalnik]
84,prižgi čistilnega robota,prižgi [device_type : čistilnega robota]
85,povej mi današnji datum,povej mi [date : današnji] datum
86,kateri datum je danes,kateri datum je [date : danes]
87,prosim naroči suši za večerjo,prosim naroči [food_type : suši] za [meal_type : večerjo]
88,živjo rad bi da mi naročiš burger,živjo rad bi da mi naročiš [food_type : burger]
89,ali lahko naročiš suši za nocojšnjo večerjo,ali lahko naročiš [food_type : suši] za [timeofday : nocojšnjo] [meal_type : večerjo]
90,kaj se dogaja z naročilom moje večerje,kaj se dogaja z naročilom moje večerje
91,ali lahko naročim večerjo za prevzem pri stari pravdi,ali lahko naročim [meal_type : večerjo] [order_type : za prevzem] pri [business_name : stari pravdi]
92,ali ima stara pravda hrano za prevzem,ali ima [business_name : stara pravda] [order_type : hrano za prevzem]
93,nastavi alarm ob dvanajstih,nastavi alarm ob [time : dvanajstih]
94,nastavi alarm štirideset minut od zdaj,nastavi alarm [time : štirideset minut od zdaj]
95,nastavi alarm za osem vsak delovni dan,nastavi alarm za [time : osem] [general_frequency : vsak delovni dan]
96,ali dežuje,ali [weather_descriptor : dežuje]
97,bo deževalo,bo [weather_descriptor : deževalo]
98,ali trenutno sneži,ali trenutno [weather_descriptor : sneži]
99,kakšna je tedenska napoved,kakšna je [time : tedenska] napoved
100,kakšna je tedenska napoved,kakšna je [time : tedenska] napoved
101,kakšno bo vreme ta teden,kakšno bo vreme [date : ta teden]
102,kakšno je ta teden vreme,kakšno je [date : ta teden] vreme
103,povej mi vreme za ta teden,povej mi vreme za [date : ta teden]
104,povej mi b. b. c. novice,povej mi [media_type : b. b. c.] novice
105,kakšne so novice na rtv slovenija,kakšne so novice na [media_type : rtv slovenija]
106,kaj so najnovejše novice na r. t. v. slovenija,kaj so najnovejše novice na [media_type : r. t. v. slovenija]
107,predvjaj soba stodva,predvjaj [song_name : soba stodva]
108,predvajaj pesem ki mi je všeč,predvajaj pesem ki mi je všeč
109,predvajaj cannibal queen,predvajaj [song_name : cannibal queen]
110,predvajaj daft punk,predvajaj [artist_name : daft punk]
111,predvajaj nekaj od skupine čuki,predvajaj nekaj od skupine [artist_name : čuki]
112,predvajaj nekaj od magnifica,predvajaj nekaj od [artist_name : magnifica]
113,ponavljaj ta posnetek,[player_setting : ponavljaj] ta posnetek
114,premešaj ta seznam predvajanja,[player_setting : premešaj] ta seznam predvajanja
115,nastavi glasnost na najnižjo stopnjo,nastavi glasnost [change_amount : na najnižjo stopnjo]
116,kaj se predvaja,kaj se predvaja
117,katera glasba je to,katera glasba je to
118,povej mi avtorja te pesmi,povej mi avtorja te pesmi
119,zasmej se,zasmej se
120,olly nasmej me,olly nasmej me
121,povej mi dobro šalo,povej mi [joke_type : dobro] šalo
122,pošlji mi šalo,pošlji mi šalo
123,povej mi šalo,povej mi šalo
124,olly povej mi šalo,olly povej mi šalo
125,povej mi šalo,povej mi šalo
126,razveseli me,razveseli me
127,kateri dan je danes,kateri dan je [date : danes]
128,katerega smo,katerega smo
129,povej mi kako je bilo danes,povej mi kako je bilo [date : danes]
130,naroči pico,naroči [food_type : pico]
131,naroči mi sarmo na woltu,naroči mi [food_type : sarmo] na [business_name : woltu]
132,naroči dostavo,naroči [order_type : dostavo]
133,kdaj prihaja moje naročilo,kdaj prihaja moje naročilo
134,kako dolgo do moje dostave,kako dolgo do moje [order_type : dostave]
135,picerija botana status dostave,[business_name : picerija botana] status [order_type : dostave]
136,kaj se predvaja,kaj se predvaja
137,povej mi ime pesmi,povej mi ime pesmi
138,katera je ta pesem,katera je ta pesem
139,igraj moj jazz glasbeni seznam,igraj moj [music_genre : jazz] glasbeni seznam
140,začni predvajati moj seznam predvajanja jazz,začni predvajati moj seznam predvajanja [music_genre : jazz]
141,igraj mojo najljubšo glasbo,igraj mojo najljubšo glasbo
142,to je dobra pesem,to je dobra pesem
143,ni mi všeč,ni mi všeč
144,obožujem jo,obožujem jo
145,rada imam jazz,rada imam [music_genre : jazz]
146,lahko predvajaš nekaj džeza,lahko predvajaš nekaj [music_genre : džeza]
147,želim poslušati jazz,želim poslušati [music_genre : jazz]
148,olly želim poslušati jazz,olly želim poslušati [music_genre : jazz]
149,ta pesem je bila zelo dobra,ta pesem je bila zelo dobra
150,to pesem imam rad,to pesem imam rad
151,predvajaj ga še enkrat prosim,predvajaj ga še enkrat prosim
152,spremeni glasnost,spremeni glasnost
153,omogoči naključno predvajanje,[player_setting : omogoči naključno predvajanje]
154,shrani nastavitve,shrani nastavitve
155,nastavi svetlost na petdeset odstotkov,nastavi svetlost na [change_amount : petdeset odstotkov]
156,zmanjšaj svetlobo,zmanjšaj svetlobo
157,zmanjšaj svetlost,zmanjšaj svetlost
158,zmanjšaj svetlost luči,zmanjšaj svetlost luči
159,zmanjšaj svetlost,zmanjšaj svetlost
160,zatemni luči,zatemni luči
161,olly zatemni luči,olly zatemni luči
162,pripravi mi kavo,pripravi mi kavo
163,olly pripravi mi kavo,olly pripravi mi kavo
164,rabim kavo,rabim kavo
165,zdaj si želim kavo,zdaj si želim kavo
166,kako si,kako si
167,hej hej,hej hej
168,je pri njih mogoče naročiti hrano za s sabo,je pri njih mogoče naročiti [order_type : hrano za s sabo]
169,ali imajo dostavo na dom,ali imajo [order_type : dostavo na dom]
170,ali dostavljajo na dom,ali [order_type : dostavljajo na dom]
171,olly ali dostavljajo na dom,olly ali [order_type : dostavljajo] na dom
172,nastavi alarm ob desetih dopoldne,nastavi alarm ob [time : desetih dopoldne]
173,nastavi alarm za jutri ob šestih zjutraj,nastavi alarm za [date : jutri] ob [time : šestih zjutraj]
174,nastavi budilko v četrtek ob sedmih zjutraj,nastavi budilko v [date : četrtek] ob [time : sedmih zjutraj]
175,povej mi najnovejše tehnološke novice,povej mi najnovejše [news_topic : tehnološke] novice
176,povej mi najnovejše tehnološke novice,povej mi najnovejše [news_topic : tehnološke] novice
177,povej mi nekaj poslovnih novic,povej mi nekaj [news_topic : poslovnih] novic
178,povej mi mednarodne novice,povej mi [place_name : mednarodne] novice
179,povej mi kakšno je vreme,povej mi kakšno je vreme
180,kakšno je trenutno vreme,kakšno je trenutno vreme
181,ali trenutno dežuje,ali trenutno [weather_descriptor : dežuje]
182,igraj moj rock seznam predvajanja,igraj moj [music_genre : rock] seznam predvajanja
183,prižgi moj seznam predvajanja jana plestenjaka,prižgi moj seznam predvajanja [artist_name : jana plestenjaka]
184,predvajaj michaela jacksona z mojega seznama predvajanja,predvajaj [artist_name : michaela jacksona] z mojega seznama predvajanja
185,pojdi v moj seznam in predvajaj tretjo pesem po vrsti,pojdi v moj seznam in predvajaj tretjo pesem po vrsti
186,igraj zadnjo pesem mojega najljubšega glasbenega seznama,igraj [song_name : zadnjo pesem] mojega najljubšega glasbenega seznama
187,povečaj glasnost,povečaj glasnost
188,povišaj glasnost,povišaj glasnost
189,utišaj glasnost,utišaj glasnost
190,prižgi vtičnico,prižgi [device_type : vtičnico]
191,vklopi vtič,vklopi [device_type : vtič]
192,vklopi moj vtikač,vklopi moj [device_type : vtikač]
193,povej mi nekaj vicev,povej mi nekaj vicev
194,ali poznaš kakšen vic,ali poznaš kakšen vic
195,koliko je ura,koliko je ura
196,povej mi koliko je ura,povej mi koliko je ura
197,koliko je ura,koliko je ura
198,ali ma oliva hrano za s sabo,ali ma [food_type : oliva] [order_type : hrano za s sabo]
199,ali nudi moja najljubša picerija dostavo na dom,ali nudi moja najljubša [food_type : picerija] [order_type : dostavo] na dom
200,ali lahko naročim hrano za s sabo iz mehiške restavracije,ali lahko naročim [order_type : hrano za s sabo] iz [food_type : mehiške restavracije]
201,odstrani alarm ki sem ga ravnokar nastavila,odstrani alarm ki sem ga ravnokar nastavila
202,odstrani alarm,odstrani alarm
203,pokaži mi nastavljene alarme,pokaži mi nastavljene alarme
204,ali imam jaz kakšne alarme,ali imam jaz kakšne alarme
205,pokaži alarme,pokaži alarme
206,kakšno je vreme v sežani,kakšno je vreme v [place_name : sežani]
207,povej mi kakšno je vreme v postojni,povej mi kakšno je vreme v [place_name : postojni]
209,prosim naredi luči prijazne za branje,prosim naredi luči [color_type : prijazne za branje]
210,prilagodi luči za gledanje televizije,prilagodi luči za [color_type : gledanje televizije]
211,naredi sobo svetlejšo,naredi [house_place : sobo] svetlejšo
212,in svetloba se je začela,in svetloba se je začela
213,kateri datum je danes,kateri datum je [date : danes]
214,kateri datum je danes,kateri datum je [date : danes]
215,povej datum,povej datum
216,kakšno je danes vreme,kakšno je [date : danes] vreme
217,ali dežuje zunaj,ali [weather_descriptor : dežuje] zunaj
218,ali zunaj dežuje olly,ali zunaj [weather_descriptor : dežuje] olly
219,ali naj jutri vzamem dežnik,ali naj [date : jutri] vzamem [weather_descriptor : dežnik]
220,predvajaj glasbo iz rock seznama,predvajaj glasbo iz [playlist_name : rock seznama]
221,spremeni luči na zeleno,spremeni luči na [color_type : zeleno]
222,dodaj to pesem na seznam priljubljenih,dodaj to pesem na seznam priljubljenih
223,katera je ta pesem,katera je ta pesem
224,olly ugasni luči,olly ugasni luči
225,ugasni luči,ugasni luči
226,prosim počisti tla,prosim počisti [house_place : tla]
227,vklopi vtičnico kuhalnika za riž,vklopi vtičnico [device_type : kuhalnika za riž]
228,ugasni posodo za kuhanje riža,ugasni [device_type : posodo za kuhanje riža]
229,koliko je ura v novem mestu,koliko je ura v [place_name : novem mestu]
230,koliko je ura v ljubljani,koliko je ura v [place_name : ljubljani]
231,lahko prosim naročiš nekaj sušija iz japonske restavracije otoki,lahko prosim naročiš nekaj [food_type : sušija] iz [business_name : japonske restavracije otoki]
232,nastavi alarm za ob šestih zjutraj,nastavi alarm za ob [time : šestih] [timeofday : zjutraj]
233,nastavi alarm ob štirih popoldne,nastavi alarm ob [time : štirih] [timeofday : popoldne]
234,olly opozori me ob treh popoldne da grem na koncert,olly opozori me ob [time : treh popoldne] da grem na [event_name : koncert]
235,opozori me ob treh popoldne da grem na koncert,opozori me ob [time : treh popoldne] da grem na [event_name : koncert]
236,ali imam alarm nastavljen za jutranji let,ali imam alarm nastavljen za [timeofday : jutranji] [event_name : let]
237,ali sem nastavil budilko da se zbudim zjutraj,ali sem nastavil [alarm_type : budilko] da se zbudim [timeofday : zjutraj]
238,je kakšen alarm,je kakšen alarm
239,ali v izoli dežuje,ali v [place_name : izoli] [weather_descriptor : dežuje]
240,ali bo deževalo danes,ali bo [weather_descriptor : deževalo] [date : danes]
241,kaj se dogaja zunaj,kaj se dogaja zunaj
242,kaj se dogaja v ameriki,kaj se dogaja v [place_name : ameriki]
243,kaj se dogaja po svetu,kaj se dogaja po [place_name : svetu]
244,kaj se dogaja v trbovljah,kaj se dogaja v [place_name : trbovljah]
245,pokaži mi nekaj novic na rtv slo,pokaži mi nekaj novic na [media_type : rtv slo]
246,olly pokaži mi nekaj novic od r. t. v. slovenije,olly pokaži mi nekaj novic od [media_type : r. t. v. slovenije]
247,predvajaj novice r. t. v. slovenije,predvajaj novice [media_type : r. t. v. slovenije]
248,olly hekerske novice,olly [media_type : hekerske novice]
249,predvajaj mi kakšen hiphop,predvajaj mi kakšen [music_genre : hiphop]
250,sem za jazz sedaj kaj pa ti,sem za [music_genre : jazz] sedaj kaj pa ti
251,olly death metal zdaj,olly death [music_genre : metal] zdaj
252,zdaj predvajaj death metal,zdaj predvajaj death [music_genre : metal]
254,olly igraj dobro pesem mojega najljubšega jazz glasbenika,olly igraj dobro pesem mojega najljubšega [music_genre : jazz] glasbenika
255,oli kateri glasbi najraje prisluhnem po delu,oli kateri glasbi najraje prisluhnem po delu
257,olly predvajaj glasbo mojega najljubšega pianista,olly predvajaj glasbo mojega najljubšega [music_genre : pianista]
258,ne slišim te,ne slišim te
259,preglasen si,preglasen si
260,nič te ne slišim,nič te ne slišim
261,nič te ne slišim,nič te ne slišim
262,spremeni luči na modro,spremeni luči na [color_type : modro]
263,naredi luči modre,naredi luči [color_type : modre]
264,nastavi luči na modro svetlobo,nastavi luči na [color_type : modro svetlobo]
265,olly lahko noč ugasni luči,olly lahko noč ugasni luči
267,tu je strašno temno,tu je strašno temno
268,zvišaj jakost osvetlitve luči,zvišaj jakost osvetlitve luči
269,olly pretemno je niti svojih dlani ne vidim,olly pretemno je niti svojih dlani ne vidim
270,koliko je ura,koliko je ura
271,koliko je ura v tokiju,koliko je ura v [place_name : tokiju]
273,katera pesem je to,katera pesem je to
274,olly katera je ta pesem,olly katera je ta pesem
275,kaj je pevec mislil z naslovom od višine se zvrti,kaj je pevec mislil z naslovom [song_name : od višine se zvrti]
276,kdo je naredil priredbo pesmi poletna noč,kdo je naredil priredbo pesmi [song_name : poletna noč]
277,kakšno je vreme v kopru,kakšno je vreme v [place_name : kopru]
278,kakšno je vreme v šentjerneju,kakšno je vreme v [place_name : šentjerneju]
279,kakšna je današnja napoved za vrhniko,kakšna je [date : današnja] napoved za [place_name : vrhniko]
280,kakšno je trenutno stanje glede pogajanj o brexitu,kakšno je trenutno stanje glede [news_topic : pogajanj o brexitu]
281,kakšen je menjalni tečaj ameriškega dolarja za britanski funt,kakšen je [news_topic : menjalni tečaj ameriškega dolarja za britanski funt]
282,kdo bo zmagal na naslednjih volitvah v franciji,kdo bo zmagal na naslednjih [news_topic : volitvah] v [place_name : franciji]
283,ali pričakuješ sonce v nedeljo,ali pričakuješ [weather_descriptor : sonce] v [date : nedeljo]
284,ali bo deževalo zvečer,ali bo [weather_descriptor : deževalo] [timeofday : zvečer]
285,ali bo jutri vetrovno,ali bo [date : jutri] [weather_descriptor : vetrovno]
286,prižgi luči v kuhinji,prižgi luči v [house_place : kuhinji]
287,osvetli luč pri kavču,osvetli [device_type : luč pri kavču]
288,svetilka sveti,svetilka sveti
289,koliko je ura sedaj v moskvi,koliko je ura sedaj v [place_name : moskvi]
290,zaženi vakumski sesalec,zaženi [device_type : vakumski sesalec]
291,posesaj kuhinjo,posesaj [house_place : kuhinjo]
292,vklopi sesalnik,vklopi [device_type : sesalnik]
293,kaj se dogaja po svetu,kaj se dogaja po [place_name : svetu]
294,povej mi novice,povej mi novice
295,povej mi naslove današnjih časopisov,povej mi naslove [date : današnjih] [media_type : časopisov]
296,predvajaj nirvanin seznam predvajanja,predvajaj [playlist_name : nirvanin seznam predvajanja]
297,premešaj pesmi helene blagne,[player_setting : premešaj] pesmi [artist_name : helene blagne]
298,predvajaj chopina,predvajaj [artist_name : chopina]
299,kakšno je vreme,kakšno je vreme
300,kakšna je napoved za danes,kakšna je napoved za [date : danes]
301,kakšno je vreme,kakšno je vreme
302,hej kaj počneš,hej kaj počneš
303,kako si,kako si
304,dobro jutro kaj se dogaja,dobro jutro kaj se dogaja
305,naroči pico iz picerije oliva,naroči [food_type : pico] iz [business_name : picerije oliva]
306,rad bi jedel suši mi lahko naročiš kosilo,rad bi jedel [food_type : suši] mi lahko naročiš [meal_type : kosilo]
307,alexa želim si suši ali mi lahko naročiš kosilo,alexa želim si [food_type : suši] ali mi lahko naročiš [meal_type : kosilo]
308,naroči sendvič in juho za s sabo iz italijanske restavracije,naroči [food_type : sendvič] in [food_type : juho] [order_type : za s sabo] iz [business_name : italijanske restavracije]
309,koliko dni je še ostalo v tem letu,koliko dni je še ostalo v [date : tem letu]
310,na kateri dan bo letos silvestrovo,na kateri dan bo [date : letos] silvestrovo
311,na kateri dan je to leto spominski dan,na kateri dan je [date : to leto] spominski dan
312,pretemno je tukaj,pretemno je tukaj
313,povišaj svetlost za dvajset procentov,povišaj svetlost [change_amount : za dvajset procentov]
314,nastavi luči na največjo moč,nastavi luči [change_amount : na največjo moč]
315,prosim bodi tiho še eno uro,prosim bodi tiho [time : še eno uro]
316,utišaj,utišaj
317,ne govori nič danes,ne govori nič [date : danes]
318,ali bo jutri deževalo,ali bo [date : jutri] [weather_descriptor : deževalo]
319,povej mi vreme za unec čez dva dni,povej mi vreme za [place_name : unec] [time : čez dva dni]
320,ali naj vzamem jutri dežnik,ali naj vzamem [date : jutri] [weather_descriptor : dežnik]
321,onemogoči moj okug,onemogoči moj [device_type : okug]
322,omogoči moj vtič,omogoči moj [device_type : vtič]
323,vklopi pametni polnilnik,vklopi [device_type : pametni polnilnik]
324,povej mi novice o tehnologiji z bloga endgadget,povej mi novice o [news_topic : tehnologiji] z [media_type : bloga endgadget]
325,srečen,srečen
326,večer,[timeofday : večer]
327,nedelja,[date : nedelja]
329,sedem let,[song_name : sedem let]
330,tiše,tiše
331,bolj potiho,bolj potiho
332,tiho,tiho
333,kakšne so vremenske razmere v kranju,kakšne so vremenske razmere v [place_name : kranju]
334,želim vedeti kakšno je vreme v izoli,želim vedeti kakšno je vreme v [place_name : izoli]
335,rad bi vedel kakšno je vreme v novi gorici,rad bi vedel kakšno je vreme v [place_name : novi gorici]
336,ali sneži v ljubljani,ali [weather_descriptor : sneži] v [place_name : ljubljani]
339,ja zdaj potrebujem kavo,ja zdaj potrebujem kavo
340,oli danes sem pomagal pomoči potrebnemu,oli [date : danes] sem pomagal pomoči potrebnemu
341,vklopi kavni aparat,vklopi [device_type : kavni aparat]
342,pripravi skodelico kave,pripravi skodelico kave
343,kakšno bo vreme jutri,kakšno bo vreme [date : jutri]
344,bo jutri deževno,bo [date : jutri] [weather_descriptor : deževno]
345,kakšna bo tukaj jutri temperatura,kakšna bo tukaj [date : jutri] [weather_descriptor : temperatura]
346,kakšna je jutrišnja vremenska napoved,kakšna je [date : jutrišnja] vremenska napoved
347,kakšna je jutrišnja vremenska napoved,kakšna je [date : jutrišnja] vremenska napoved
348,ali bo jutri deževalo,ali bo [date : jutri] [weather_descriptor : deževalo]
349,ali bo jutri sneg,ali bo [date : jutri] [weather_descriptor : sneg]
350,ugotoci ali restavracija nudi naročilo hrane za s sabo,ugotoci ali [business_type : restavracija] nudi naročilo hrane [order_type : za] s [order_type : sabo]
351,poišči ali ima restavracija dostavo,poišči ali ima [business_type : restavracija] [order_type : dostavo]
352,ali ima restavracija meni za dostavo na dom,ali ima [business_type : restavracija] meni za [order_type : dostavo] na dom
353,kateri dan v tednu je dvaindvajseti marec,kateri dan v tednu je [date : dvaindvajseti marec]
354,na kateri dan pade devetindvajseti marec,na kateri dan pade [date : devetindvajseti marec]
355,kateri dan v tednu je prvi april,kateri dan v tednu je [date : prvi april]
356,kateri je moj naslednji alarm,kateri je moj naslednji alarm
357,prosim povej mi kdaj imam nastavljene alarme,prosim povej mi kdaj imam nastavljene alarme
358,ob kateri uri je danes nastavljen moj alarm,ob kateri uri je [date : danes] nastavljen moj alarm
359,mi lahko poveš koliko je ura,mi lahko poveš koliko je ura
360,koliko je trenutno ura,koliko je trenutno ura
361,predvajaj skladbo osem iz google play glasbe,predvajaj [song_name : skladbo osem] iz [playlist_name : google play] glasbe
362,predvajaj drugi komad od šank rock komadov,predvajaj drugi komad od [artist_name : šank rock] komadov
363,predvajaj naključno izbrano skladbo z mojega seznama,predvajaj naključno izbrano skladbo z mojega seznama
364,kateri datum je trenutno,kateri datum je trenutno
365,ali je danes ponedeljek,ali je [date : danes ponedeljek]
366,prosim povej mi najnovejše novice,prosim povej mi najnovejše novice
367,kaj se dogaja v novicah,kaj se dogaja v novicah
368,kakšno je vreme v ljubljani,kakšno je vreme v [place_name : ljubljani]
369,ugasni luči,ugasni luči
370,želim ugasnjene luči jih lahko ugasneš,želim ugasnjene luči jih lahko ugasneš
374,povej mi če o vremenu drži naslednje,povej mi če o vremenu drži naslednje
375,ali je trenutno sončno v murski soboti,ali je trenutno [weather_descriptor : sončno] v [place_name : murski soboti]
376,preveri vremensko aplikacijo da vidm ali,preveri vremensko aplikacijo da vidm ali
377,to glasbo lahko shraniš v moj seznam predvajanja,to glasbo lahko shraniš v moj seznam predvajanja
378,kaj pa če bi shranil to pesem,kaj pa če bi shranil to pesem
379,želim si shraniti glasbo ali lahko narediš to zame,želim si shraniti glasbo ali lahko narediš to zame
380,prosim predvajaj od višine se zvrti od vlada kreslina,prosim predvajaj [song_name : od višine se zvrti] od [artist_name : vlada kreslina]
381,odpri moj glasbeni program in predvajaj igre šank rocka,odpri moj glasbeni program in predvajaj [song_name : igre] [artist_name : šank rocka]
382,predvajaj pesem to je bolezen jana plestenjaka,predvajaj pesem [song_name : to je bolezen] [artist_name : jana plestenjaka]
383,ugasni luči v garaži,ugasni luči v [house_place : garaži]
384,preveri vroče novice v delu,preveri vroče novice v [media_type : delu]
385,kaj je senzacija v jutarnjem listu,kaj je senzacija v [media_type : jutarnjem listu]
386,kakšna novica o smrti v slovenskih novicah,kakšna novica o [news_topic : smrti] v [media_type : slovenskih novicah]
387,obvesti me takoj ko bo kaj novega o brexitu,obvesti me takoj ko bo kaj novega o [news_topic : brexitu]
388,izklopi pametno vtičnico,izklopi [device_type : pametno vtičnico]
389,prižgi pametni vtič,prižgi [device_type : pametni vtič]
390,preklopi vtič pametne vtičnice,preklopi [device_type : vtič] pametne vtičnice
391,predvajaj naključno pesem iz mojega seznama predvajanj,predvajaj naključno pesem iz mojega seznama predvajanj
392,predvajaj eno od mojih najljubših pesmi,predvajaj eno od mojih najljubših pesmi
393,predvajaj retro komad na mojem seznamu predvajanja,predvajaj [music_genre : retro] komad na mojem seznamu predvajanja
394,če je opoldne v londonu koliko je ura v normandiji,če je [timeofday : opoldne] v [place_name : londonu] koliko je ura v [place_name : normandiji]
