id,utt,annot_utt
312,terlalu gelap di sini,terlalu gelap di sini
313,naikkan keterangan kepada dua puluh peratus,naikkan keterangan [change_amount : kepada dua puluh peratus]
314,tetapkan lampu ke kuasa penuh,tetapkan lampu [change_amount : ke kuasa penuh]
315,sila senyap untuk sejam lagi,sila senyap untuk [time : sejam lagi]
316,bisu,bisu
317,jangan cakap hari ini,jangan cakap [date : hari ini]
318,adakah esok akan hujan,adakah [date : esok] akan [weather_descriptor : hujan]
319,beritahu saya cuaca di bintulu dua hari dari sekarang,beritahu saya cuaca di [place_name : bintulu] [time : dua hari dari sekarang]
320,saya kena bawa payung ke esok,saya kena bawa [weather_descriptor : payung] ke [date : esok]
321,padam pengecas telefon saya,padam [device_type : pengecas telefon] saya
322,hidupkan plag saya,hidupkan [device_type : plag] saya
323,hidupkan pengecas pintar,hidupkan [device_type : pengecas pintar]
324,beritahu saya berita teknologi berkaitan gadget baru,beritahu saya berita [news_topic : teknologi] berkaitan [media_type : gadget baru]
325,gembira,gembira
326,petang,[timeofday : petang]
327,ahad,[date : ahad]
329,tujuh tahun,[song_name : tujuh tahun]
330,lebih senyap,lebih senyap
331,lebih lembut,lebih lembut
332,senyap,senyap
333,macam mana dengan keadaan cuaca di johor bahru,macam mana dengan keadaan cuaca di [place_name : johor bahru]
334,saya nak tahu cuaca di shah alam,saya nak tahu cuaca di [place_name : shah alam]
335,saya nak tahu cuaca di kota kinabalu,saya nak tahu cuaca di [place_name : kota kinabalu]
336,adakah salji di negeri sembilan,adakah [weather_descriptor : salji] di [place_name : negeri sembilan]
339,yo saya perlu kopi sekarang,yo saya perlu kopi sekarang
340,saya bantu seseorang yang memerlukan hari ini olly,saya bantu seseorang yang memerlukan [date : hari ini] olly
341,hidupkan mesin kopi,hidupkan [device_type : mesin kopi]
342,sediakan secawan kopi sekarang,sediakan secawan kopi sekarang
343,macam mana cuaca esok,macam mana cuaca [date : esok]
344,adakah akan hujan esok,adakah akan [weather_descriptor : hujan] [date : esok]
345,berapa suhu kat luar esok,berapa [weather_descriptor : suhu] kat luar [date : esok]
346,apakah ramalan cuaca esok,apakah ramalan cuaca [date : esok]
347,apakah ramalan cuaca esok,apakah ramalan cuaca [date : esok]
348,esok hujan akan turun ke,[date : esok] [weather_descriptor : hujan] akan turun ke
349,esok salji akan turun ke,[date : esok] [weather_descriptor : salji] akan turun ke
350,tengokkan kalau restoran itu boleh buat tapau,tengokkan kalau [business_type : restoran] itu boleh buat [order_type : tapau]
351,cari kedai nasi ayam untuk tapau,cari [business_type : kedai nasi ayam] untuk [order_type : tapau]
352,ada menu tapau tak kat restoran itu,ada menu [order_type : tapau] tak kat [business_type : restoran] itu
353,dua puluh dua hari bulan mac pada hari apa,dua puluh dua hari bulan mac pada hari apa
354,dua puluh sembilan mac jatuh pada hari apa,[date : dua puluh sembilan mac] jatuh pada hari apa
355,satu hari bulan april pada hari apa,[date : satu] hari bulan [date : april] pada hari apa
356,apakah penggera saya seterusnya,apakah penggera saya seterusnya
357,sila beritahu saya penggera saya,sila beritahu saya penggera saya
358,pukul berapakah penggera saya akan berbunyi hari ini,pukul berapakah penggera saya akan berbunyi [date : hari ini]
359,boleh beritahu saya masa,boleh beritahu saya masa
360,apakah waktu sekarang,apakah waktu sekarang
361,mainkan muzik trek lapan dari senarai main lagu atas talian,mainkan muzik [song_name : trek lapan] dari [playlist_name : senarai main lagu atas talian]
362,mainkan lagu kedua daripada lagu search,mainkan lagu kedua daripada lagu [artist_name : search]
363,mainkan satu lagu secara rambang daripada senarai main saya,mainkan satu lagu secara rambang daripada senarai main saya
364,apakah tarikh semasa,apakah tarikh semasa
365,adakah hari isnin hari ini,adakah [date : hari isnin hari ini]
366,sila beritahu saya berita terkini,sila beritahu saya berita terkini
367,apa yang berlaku di berita,apa yang berlaku di berita
368,macam mana cuaca di kuala lumpur,macam mana cuaca di [place_name : kuala lumpur]
369,padamkan lampu,padamkan lampu
370,saya mahu lampu dipadamkan boleh kah anda tolong,saya mahu lampu dipadamkan boleh kah anda tolong
374,beritahu saya adakah yang berikut benar tentang keadaan cuaca,beritahu saya adakah yang berikut benar tentang keadaan cuaca
375,cuaca cerah di besut sekarang,cuaca [weather_descriptor : cerah] di [place_name : besut] sekarang
376,periksa aplikasi cuaca untuk lihat sama ada,periksa aplikasi cuaca untuk lihat sama ada
377,boleh simpan muzik ini di senarai main saya,boleh simpan muzik ini di senarai main saya
378,apa kata awak simpan muzik ini,apa kata awak simpan muzik ini
379,saya mahu muzik ini disimpan boleh kah awak buat untuk saya,saya mahu muzik ini disimpan boleh kah awak buat untuk saya
380,sila mainkan permainan dari disturbed,sila mainkan [song_name : permainan] dari [artist_name : disturbed]
