id,utt,annot_utt
158,調暗電燈,調暗電燈
159,降低亮度,降低亮度
160,調暗燈光,調暗燈光
161,olly 調暗燈光,olly 調暗燈光
162,幫我煮杯咖啡,幫我煮杯咖啡
163,olly 幫我煮咖啡,olly 幫我煮咖啡
164,我要咖啡,我要咖啡
165,我現在想喝咖啡,我現在想喝咖啡
166,你好嗎,你好嗎
167,嘿嘿,嘿嘿
168,他們可以提供外帶嗎,他們可以提供 [order_type : 外帶] 嗎
169,可外送嗎,可 [order_type : 外送] 嗎
170,他們有外送到府嗎,他們有 [order_type : 外送] 到府嗎
171,歐利他們有外送到府嗎,歐利他們有 [order_type : 外送] 到府嗎
172,設定早上十點的鬧鐘,設定 [time : 早上十點] 的鬧鐘
173,明天早上六點定鬧鐘,[date : 明天] [time : 早上六點] 定鬧鐘
174,星期四早上七點叫醒我,[date : 星期四] [time : 早上七點] 叫醒我
175,告訴我最新的科技新聞,告訴我最新的 [news_topic : 科技] 新聞
176,告訴我最新的科技新聞,告訴我最新的 [news_topic : 科技] 新聞
177,告訴我一些商業新聞,告訴我一些 [news_topic : 商業] 新聞
178,給我國際新聞,給我 [place_name : 國際] 新聞
179,告訴我天氣狀況,告訴我天氣狀況
180,現在天氣怎樣,現在天氣怎樣
181,現在下雨嗎,現在下雨嗎
182,我的搖滾樂播放清單,我的 [music_genre : 搖滾] 樂播放清單
183,打開我的瘦子播放清單,打開我的 [artist_name : 瘦子] 播放清單
184,從我的歌單中播放麥可傑克遜的歌,從我的歌單中播放 [artist_name : 麥可傑克遜] 的歌
185,打開我的播放清單然後播放隊列中的第三首歌曲,打開我的播放清單然後播放隊列中的第三首歌曲
186,播放最後一首歌,播放 [song_name : 最後一首歌]
187,把音量調大,把音量調大
188,調高音量,調高音量
189,靜音,靜音
190,啟動電源,啟動電源
191,打開插頭開關,打開 [device_type : 插頭開關]
192,打開我的插座,打開我的 [device_type : 插座]
193,給我講些笑話,給我講些笑話
194,任何笑話,任何笑話
195,現在幾點幾分,現在幾點幾分
196,告訴我時間,告訴我時間
197,現在幾點鐘,現在幾點鐘
198,達美樂有外帶嗎,[food_type : 達美樂] 有 [order_type : 外帶] 嗎
199,披薩可以外帶嗎,[food_type : 披薩] 可以 [order_type : 外帶] 嗎
200,我可以和西班牙餐廳下單外帶嗎,我可以和 [food_type : 西班牙] 餐廳下單 [order_type : 外帶] 嗎
201,移除我剛剛設定的鬧鐘,移除我剛剛設定的鬧鐘
202,移除鬧鐘,移除鬧鐘
203,顯示我設定的鬧鐘,顯示我設定的鬧鐘
204,我有任何的鬧鐘嗎,我有任何的鬧鐘嗎
205,顯示鬧鐘,顯示鬧鐘
206,北京天氣如何,[place_name : 北京] 天氣如何
207,上海天氣怎樣,[place_name : 上海] 天氣怎樣
209,讓燈光適合閱讀,讓燈光 [color_type : 適合閱讀]
210,讓燈光適合閱讀,讓燈光 [color_type : 適合閱讀]
211,使房間亮一點,使 [house_place : 房間] 亮一點
212,開燈,開燈
213,今天幾號,[date : 今天] 幾號
214,今天是星期幾,[date : 今天] 是星期幾
215,告訴我一個日期,告訴我一個日期
216,今天天氣怎麼樣,[date : 今天] 天氣怎麼樣
217,外面正在下雨嗎,外面正在 [weather_descriptor : 下雨] 嗎
218,olly 外面下雨了嗎,olly 外面 [weather_descriptor : 下雨] 了嗎
219,我明天要帶雨傘嗎,我 [date : 明天] 要帶 [weather_descriptor : 雨傘] 嗎
220,搖滾清單,[playlist_name : 搖滾清單]
221,電燈改成綠色,電燈改成 [color_type : 綠色]
222,把這首歌加到我最愛列表,把這首歌加到我最愛列表
223,這歌,這歌
224,關掉燈,關掉燈
225,燈關掉,燈關掉
226,清潔地板,清潔 [house_place : 地板]
227,打開電鍋插座,打開 [device_type : 電鍋插座]
228,關掉飯鍋插座,關掉 [device_type : 飯鍋插座]
229,拉斯維加斯現在幾點,[place_name : 拉斯維加斯] 現在幾點
230,北京現在幾點,[place_name : 北京] 現在幾點
231,熊貓外送壽司,[business_name : 熊貓] 外送 [food_type : 壽司]
232,早上六點設置鬧鐘,[timeofday : 早上] [time : 六點] 設置鬧鐘
233,設定了下午四點的鬧鐘,設定了 [timeofday : 下午] [time : 四點] 的鬧鐘
234,提醒我下午三點要去演唱會,提醒我 [time : 下午三點] 要去 [event_name : 演唱會]
235,下午三點提醒我去演唱會,[time : 下午三點] 提醒我去 [event_name : 演唱會]
236,我有早上的班機的鬧鐘嗎,我有 [timeofday : 早上的] [event_name : 班機] 的鬧鐘嗎
237,我是否設置了早上醒來的鬧鐘,我是否設置了 [timeofday : 早上] [alarm_type : 醒來] 的鬧鐘
238,我有設任何鬧鐘嗎,我有設任何鬧鐘嗎
239,高雄正在下雨嗎,[place_name : 高雄] 正在 [weather_descriptor : 下雨] 嗎
240,今天會下雨嗎,[date : 今天] 會 [weather_descriptor : 下雨] 嗎
241,現在外面天氣如何,現在外面天氣如何
242,美國正在發生什麼,[place_name : 美國] 正在發生什麼
243,世界到底發生什麼是,[place_name : 世界] 到底發生什麼是
244,新北市發生了什麼,[place_name : 新北市] 發生了什麼
245,顯示一些公共電視的新聞,顯示一些公共電視的新聞
246,olly 給我看一些來自公共電視的消息,olly 給我看一些來自 [media_type : 公共電視] 的消息
247,撥放 t.v.b.s. 新聞,撥放 [media_type : t.v.b.s.] 新聞
248,olly 三立新聞,olly [media_type : 三立新聞]
249,播放一些嘻哈,播放一些 [music_genre : 嘻哈]
250,爵士樂,[music_genre : 爵士樂]
251,重金屬,[music_genre : 重金屬]
252,金屬樂,[music_genre : 金屬樂]
254,曲子我的最愛爵士 kkbox,曲子我的最愛 [music_genre : 爵士] kkbox
255,olly 下班後我通常喜歡什麼音樂,olly 下班後我通常喜歡什麼音樂
257,olly 從我最愛的鋼琴家播放音樂,olly 從我最愛的 [music_genre : 鋼琴家] 播放音樂
258,我聽不到你,我聽不到你
259,你太吵了,你太吵了
260,我聽不太到你 olly,我聽不太到你 olly
261,我幾乎聽不見你的聲音,我幾乎聽不見你的聲音
262,將燈更改為藍色,將燈更改為 [color_type : 藍色]
263,把燈改成藍色,把燈改成 [color_type : 藍色]
264,讓燈光變成亮藍色,讓燈光變成 [color_type : 亮藍色]
265,關閉燈光,關閉燈光
267,這裡非常暗,這裡非常暗
268,把燈光調亮點,把燈光調亮點
269,olly 太暗了我甚至不能看到我的雙手,olly 太暗了我甚至不能看到我的雙手
270,幾點鐘,幾點鐘
271,東京現在幾點,[place_name : 東京] 現在幾點
273,這首是什麼歌,這首是什麼歌
274,olly 這是什麼歌,olly 這是什麼歌
275,波希米亞狂想曲歌名的意思是什麼,[song_name : 波希米亞狂想曲] 歌名的意思是什麼
276,誰翻唱了離開地球表面,誰翻唱了 [song_name : 離開地球表面]
277,巴黎的天氣怎麼樣,[place_name : 巴黎] 的天氣怎麼樣
278,基隆的天氣如何,[place_name : 基隆] 的天氣如何
279,高雄今天的天氣預報如何,[place_name : 高雄] [date : 今天] 的天氣預報如何
280,英國脫歐談判的現狀如何,英國 [news_topic : 脫歐談判] 的現狀如何
281,美元對英鎊匯率是多少,[news_topic : 美元對英鎊匯率] 是多少
282,誰將贏得法國的下屆選舉,誰將贏得 [place_name : 法國] 的下屆 [news_topic : 選舉]
283,星期日預期有陽光嗎,[date : 星期日] 預期有 [weather_descriptor : 陽光] 嗎
284,晚上會下雨嗎,[timeofday : 晚上] 會 [weather_descriptor : 下雨] 嗎
285,明天風大嗎,[date : 明天] [weather_descriptor : 風大] 嗎
286,打開廚房電燈,打開 [house_place : 廚房] 電燈
287,調亮沙發旁的檯燈,調亮 [device_type : 沙發旁的檯燈]
288,調亮燈光,調亮燈光
289,莫斯科幾點了,[place_name : 莫斯科] 幾點了
290,開啟吸塵器,開啟 [device_type : 吸塵器]
291,吸廚房地板,吸 [house_place : 廚房] 地板
292,打開吸塵器,打開 [device_type : 吸塵器]
293,全球正在發生什麼,[place_name : 全球] 正在發生什麼
294,告訴我新圍,告訴我新圍
295,告訴我今天報紙的頭條新聞,告訴我 [date : 今天] [media_type : 報紙的] 頭條新聞
296,播放動力火車歌單,播放 [playlist_name : 動力火車歌單]
297,隨機播放酷玩樂團,[player_setting : 隨機播放] 酷玩樂團
298,播放周杰倫,播放 [artist_name : 周杰倫]
299,天氣怎麼樣,天氣怎麼樣
300,今天的預測是什麼,[date : 今天] 的預測是什麼
301,天氣怎麼樣,天氣怎麼樣
302,嘿你要做什麼,嘿你要做什麼
303,你好嗎,你好嗎
304,早安怎麼拉,早安怎麼拉
305,跟達美樂訂個披薩,跟 [business_name : 達美樂] 訂個 [food_type : 披薩]
306,我想來份壽司你能幫我點午餐嗎,我想來份 [food_type : 壽司] 你能幫我點 [meal_type : 午餐] 嗎
307,alexa 我想要一份壽司你能幫我點一份午餐嗎,alexa 我想要一份 [food_type : 壽司] 你能幫我點一份 [meal_type : 午餐] 嗎
308,外帶麥當勞三明治和玉米濃湯,外帶麥當勞三明治和玉米濃 [food_type : 湯]
309,今年還剩多少天,[date : 今年] 還剩多少天
310,今年的除夕是什麼日子,[date : 今年] 的除夕是什麼日子
311,今年的紀念日是星期幾,[date : 今年] 的紀念日是星期幾
312,這裡太暗了,這裡太暗了
313,把亮度增加百分之二十,把亮度增加 [change_amount : 百分之二十]
314,將燈調到最亮,將燈調到 [change_amount : 最亮]
315,請再安靜一個小時,請再安靜 [time : 一個小時]
316,靜音,靜音
317,今天都別說話,[date : 今天] 都別說話
318,明天下雨阿,明天下雨阿
319,現在算起兩天後巴塞隆納天氣如何,[time : 現在算起兩天] 後 [place_name : 巴塞隆納] 天氣如何
320,明天要帶雨傘嗎,[date : 明天] 要帶 [weather_descriptor : 雨傘] 嗎
321,關掉 okug,關掉 [device_type : okug]
322,打開我的插座開關,打開我的插座開關
323,打開智慧充電器,打開 [device_type : 智慧充電器]
324,告訴我來自 yahoo 科技相關的新聞,告訴我來自 [media_type : yahoo] [news_topic : 科技相關的] 新聞
325,開心,開心
326,晚上,[timeofday : 晚上]
327,禮拜天,[date : 禮拜天]
329,一千年以後,[song_name : 一千年以後]
330,小聲一點,小聲一點
331,輕聲點,輕聲點
332,安靜,安靜
333,台北的天氣狀況如何,[place_name : 台北] 的天氣狀況如何
334,我想知道高雄的天氣,我想知道 [place_name : 高雄] 的天氣
335,我想知道陽明山天氣,我想知道 [place_name : 陽明山] 天氣
336,加州正在下雪嗎,[place_name : 加州] 正在 [weather_descriptor : 下雪] 嗎
339,喂我現在需要咖啡,喂我現在需要咖啡
340,我今天幫助了一個窮人 olly,我 [date : 今天] 幫助了一個窮人 olly
341,啟動咖啡機,啟動 [device_type : 咖啡機]
342,現在準備好一杯咖啡,現在準備好一杯咖啡
343,明天天氣怎樣,[date : 明天] 天氣怎樣
344,明天會下雨嗎,[date : 明天] 會 [weather_descriptor : 下雨] 嗎
345,明天外面的溫度是多少,[date : 明天] 外面的 [weather_descriptor : 溫度] 是多少
346,明天的天氣預測,[date : 明天] 的天氣預測
347,明天的天氣預測,[date : 明天的] 天氣預測
348,明天下雨嗎,[date : 明天] [weather_descriptor : 下雨] 嗎
349,明天會下雪嗎,[date : 明天] 會 [weather_descriptor : 下雪] 嗎
350,問一下餐廳接外帶單嗎,問一下 [business_type : 餐廳] 接 [order_type : 外帶] 單嗎
351,餐廳外帶嗎,餐廳外帶嗎
352,這間餐廳有外帶菜單嗎,這間 [business_type : 餐廳] 有外帶菜單嗎
353,三月二十二號是禮拜幾,[date : 三月二十二號] 是禮拜幾
354,三月二十九日是星期幾,[date : 三月二十九日] 是星期幾
355,四月一日是禮拜幾,[date : 四月一日] 是禮拜幾
356,我的下一個鬧鐘是甚麼,我的下一個鬧鐘是甚麼
357,請告訴我我所有的鬧鐘時間,請告訴我我所有的鬧鐘時間
358,今天我的鬧鐘幾點會響,[date : 今天] 我的鬧鐘幾點會響
359,你能告訴我時間嗎,你能告訴我時間嗎
360,目前是幾點了,目前是幾點了
361,第八首 google play 音樂,[song_name : 第八首] [playlist_name : google play] 音樂
362,播放周杰倫歌曲中的第二首歌曲,播放 [artist_name : 周杰倫] 歌曲中的第二首歌曲
363,隨機播放我的清單中的一首歌,隨機播放我的清單中的一首歌
364,今天幾號,今天幾號
365,今天禮拜一嗎,[date : 今天禮拜一] 嗎
366,請告訴我最新消息,請告訴我最新消息
367,新聞中發生了什麼,新聞中發生了什麼
368,紐約市的天氣怎麼樣,[place_name : 紐約市] 的天氣怎麼樣
369,關閉燈光,關閉燈光
370,我想關掉燈你可以幫我嗎,我想關掉燈你可以幫我嗎
374,告訴我關於天氣以下是否為真,告訴我關於天氣以下是否為真
375,板橋現在晴天嗎,[place_name : 板橋] 現在 [weather_descriptor : 晴天] 嗎
376,查看天氣 app,查看天氣 app
377,可以把這音樂存到我的播放清單嗎,可以把這音樂存到我的播放清單嗎
378,你把這音樂存起來如何,你把這音樂存起來如何
379,我想保存音樂你能幫我嗎,我想保存音樂你能幫我嗎
380,播放周杰倫告白氣球,播放 [artist_name : 周杰倫] [song_name : 告白氣球]
381,打開我的音樂播放器來聽五月天的洋蔥,打開我的音樂播放器來聽 [artist_name : 五月天] 的 [song_name : 洋蔥]
382,請播放周杰倫的歌曲告白氣球,請播放 [artist_name : 周杰倫] 的歌曲 [song_name : 告白氣球]
383,關閉車庫的燈,關閉 [house_place : 車庫] 的燈
384,檢查熱門的蘋果日報新聞,檢查熱門的 [media_type : 蘋果日報] 新聞
385,聯合報有什麼轟動的新聞,[media_type : 聯合報] 有什麼轟動的新聞
386,在自由時報有任何死亡新聞嗎,在 [media_type : 自由時報] 有任何 [news_topic : 死亡] 新聞嗎
387,一旦有更多關於英國脫歐的消息請告訴我,一旦有更多關於 [news_topic : 英國脫歐] 的消息請告訴我
388,關掉智慧插座,關掉 [device_type : 智慧插座]
389,打開智慧插頭,打開 [device_type : 智慧插頭]
390,關閉智慧插頭插座,關閉智慧插頭插座
391,從我的播放清單中隨機播放歌曲,從我的播放清單中隨機播放歌曲
392,從我的最愛中播放一首歌曲,從我的最愛中播放一首歌曲
393,聽我的播放清單中的懷舊歌曲,聽我的播放清單中的懷舊歌曲
394,如果現在維吉尼亞州是中午加州是幾點呢,如果現在 [place_name : 維吉尼亞州] 是 [timeofday : 中午] [place_name : 加州] 是幾點呢
395,東部時間和太平洋時間的時差是多少,[time_zone : 東部] 時間和 [time_zone : 太平洋時間] 的時差是多少
396,播放 kirk franklin 的 why do you sing,播放 [artist_name : kirk franklin] 的 [song_name : why do you sing]
397,任何歌張玖哲,任何歌張玖哲
398,明天天氣溫暖嗎,[date : 明天] 天氣 [weather_descriptor : 溫暖] 嗎
399,移除第一個鬧鐘,移除第一個鬧鐘
400,開始播放,開始播放
401,請放音樂,請放音樂
402,可以換掉家裡的燈光顏色嗎,可以換掉 [house_place : 家裡] 的燈光顏色嗎
403,能不能變換家裡的電燈顏色,能不能變 [player_setting : 換] [house_place : 家] 裡的電燈顏色
404,調暗房子燈光,調 [color_type : 暗] [house_place : 房子] 燈光
406,我想聼流行音樂,我想聼 [music_genre : 流行] 音樂
407,下一小時你能播放搖滾樂嗎,[time : 下一小時] 你能播放 [music_genre : 搖滾] 樂嗎
408,我設了哪些鬧鐘,我設了哪些鬧鐘
409,讀出我所有的鬧鐘時間,讀出我所有的鬧鐘時間
410,我的鬧鐘設定幾點,我的鬧鐘設定幾點
411,你能跟我講個笑話嗎,你能跟我講個笑話嗎
412,告訴我一則好笑的笑話,告訴我一則 [joke_type : 好笑的] 笑話
413,我的房間燈改成藍色,我的房間燈改成 [color_type : 藍色]
414,房間電燈換成比較浪漫的顏色,房間電燈換成比較浪漫的顏色
415,調整我房間的燈可以一夜好眠,調整我房間的燈可以 [color_type : 一夜好眠]
416,幫我設早上八點的鬧鐘,幫我設 [time : 早上八點] 的鬧鐘
417,幫我設下午四點的鬧鐘,幫我設 [time : 下午四點] 的鬧鐘
418,幫我設早上八點四十五分的鬧鐘,幫我設 [time : 早上八點四十五分] 的鬧鐘
422,最新消息是什麼,最新消息是什麼
424,頭條新聞是什麼,頭條新聞是什麼
425,什麼是男神新聞,什麼是 [news_topic : 男神] 新聞
426,打開一號插座,打開 [device_type : 一號插座]
427,關掉浴室的燈,關掉 [house_place : 浴室的] 燈
428,關掉浴室電燈,關掉 [house_place : 浴室] 電燈
429,關掉浴室的電燈,關掉 [house_place : 浴室] 的電燈
430,現在天氣如何,現在天氣如何
431,禮拜五的天氣如何,[date : 禮拜五] 的天氣如何
432,現在外面天氣如何,現在外面天氣如何
433,現在外面溫度多高,現在外面 [weather_descriptor : 溫度] 多高
434,今天星期幾,[date : 今天] 星期幾
435,下個禮拜二這個月幾號,下個 [date : 禮拜二] 這個 [date : 月] 幾號
436,播放周杰倫的告白氣球,播放 [artist_name : 周杰倫] 的告白氣球
437,打開邪教合唱團的文件夾,打開 [artist_name : 邪教合唱團] 的文件夾
438,今天會下雨嗎,[date : 今天] 會 [weather_descriptor : 下雨] 嗎
439,我今天應該穿夾克嗎,我 [date : 今天] 應該穿 [weather_descriptor : 夾克] 嗎
440,給我讀新的頭條新聞,給我讀新的頭條新聞
441,什麼是最新的新聞頭條,什麼是最新的新聞頭條
442,新聞中發生了什麼,新聞中發生了什麼
443,提高音量,提高音量
444,停用隨機播放,[player_setting : 停用隨機播放]
445,重播專輯,[player_setting : 重播] 專輯
446,播放周杰倫,播放 [artist_name : 周杰倫]
447,播放老式的中國新年音樂,播放 [music_descriptor : 老式的中國新年] 音樂
448,啟動咖啡機,啟動 [device_type : 咖啡機]
449,泡咖啡,泡咖啡
450,olly 泡咖啡,olly 泡咖啡
451,給我好市多股價,給我 [news_topic : 好市多股價]
452,誰目前在議會選舉中處於領先地位,誰目前在 [news_topic : 議會選舉] 中處於領先地位
453,今天的日期,[date : 今天的] 日期
454,廚房電燈改成藍色,[house_place : 廚房] 電燈改成 [color_type : 藍色]
455,把客廳的燈弄成紅色,把 [house_place : 客廳] 的燈弄成 [color_type : 紅色]
456,臥室電燈改成綠色,[house_place : 臥室] 電燈改成 [color_type : 綠色]
458,你可以大聲一點嗎,你可以大聲一點嗎
