id,utt,annot_utt
32,שאב אבק מהשטיחים מסביב,שאב אבק [house_place : מהשטיחים] מסביב
33,תבדוק מתי המופע מתחיל,תבדוק מתי המופע מתחיל
34,אני רוצה לשמוע שיר של אייל גולן שוב,אני רוצה לשמוע שיר של [artist_name : אייל גולן] שוב
35,אני רוצה לנגן את המוזיקה הזאת שוב,אני רוצה לנגן את [media_type : המוזיקה] הזאת שוב
36,תבדקים אם האוטו שלי מוכן,תבדקים אם האוטו שלי מוכן
37,תבדקי שהמחשב הנייד שלי עובד,תבדקי שהמחשב הנייד שלי עובד
38,האם הבהירות של המסך שלי יורדת,האם הבהירות של המסך שלי יורדת
39,אני צריך את שירותיי המיקום פועלים האם אתה יכול לבדוק,אני צריך את שירותיי המיקום פועלים האם אתה יכול לבדוק
40,בדוק את מצב צריכת החשמל שלי,בדוק את מצב צריכת החשמל שלי
41,אני רוצה תמונת מצב לגבי בהירות המסך שלי,אני רוצה תמונת מצב לגבי בהירות המסך שלי
42,כמה זיכרון פנוי יש לי,כמה זיכרון פנוי יש לי
43,אני לא עייף אני שמל,אני לא עייף אני שמל
44,אולי אני לא עייף אני למעשה שמח,אולי אני לא עייף אני למעשה שמח
45,מה קור,מה קור
46,מה קורה סירי,מה קורה סירי
47,מה השעה באוסטרליה,מה השעה [place_name : באוסטרליה]
48,תגיד לי מה השעה במוסקבה,תגיד לי מה השעה [place_name : במוסקבה]
49,תן לי את השעה באזור גריניץ' פלוס חמש,תן לי את השעה באזור [time_zone : גריניץ' פלוס חמש]
50,אולי תגידי לי את הזמן בשעון מרכזי ועוד חמש שעות,אולי תגידי לי את הזמן [time_zone : בשעון מרכזי ועוד חמש שעות]
51,אולי מה אפשרויות המשלוח המובילות לאוכל סיני,אולי מה אפשרויות [order_type : המשלוח] המובילות לאוכל [food_type : סיני]
52,אופציות מובילות למשלוח סיני,אופציות מובילות [order_type : למשלוח] [food_type : סיני]
53,הצע רשימה של אפשרויות המשלוח המדורגות ביותר עבור אוכל סיני,הצע רשימה של אפשרויות [order_type : המשלוח] המדורגות ביותר עבור אוכל [food_type : סיני]
54,אולי אופציות המשלוח הסיני הכי טובות,אולי אופציות [order_type : המשלוח] [food_type : הסיני] הכי טובות
55,אני רוצה איזה שיפוד לקחת איזה שהן המלצות,אני רוצה איזה [food_type : שיפוד] לקחת איזה שהן המלצות
56,אני רוצה מוקפץ לקחת הצעות כלשהן אולי,אני רוצה [food_type : מוקפץ] לקחת הצעות כלשהן אולי
57,מצא טייק אוויי תאילנדי שלי באיזור רחוב ויצמן,מצא [order_type : טייק אוויי] [food_type : תאילנדי] שלי באיזור [place_name : רחוב ויצמן]
58,מצא את הטייק אוויי התאילנדי שלי בסביבת רחוב קינג ג'ורג',מצא את [order_type : הטייק אוויי] [food_type : התאילנדי] שלי בסביבת [place_name : רחוב קינג ג'ורג']
59,בטלי את ההתראה של שבע בבוקר,בטלי את ההתראה של [time : שבע בבוקר]
60,הפסיקי את ההתראה של שבע בבוקר,הפסיקי את ההתראה של [time : שבע בבוקר]
61,איזה שעונים מעוררים אני הפעלתי,איזה שעונים מעוררים אני הפעלתי
62,בבקשה ציין התראות פעילות,בבקשה ציין התראות פעילות
63,ספר לי מה ההתראות שלי,ספר לי מה ההתראות שלי
65,מה קורה היום בכדורגל,מה קורה [date : היום] [news_topic : בכדורגל]
66,נגן את אהבתיה של שלמה ארצי,נגן את [song_name : אהבתיה] של [artist_name : שלמה ארצי]
67,אני רוצה לשמוע שני משוגעים של עומר אדם,אני רוצה לשמוע [song_name : שני משוגעים] [artist_name : של עומר אדם]
68,תנגן תל אביב של אריס סאן,תנגן [song_name : תל אביב] של [artist_name : אריס סאן]
69,אני אוהב מוסיקת רוק,אני אוהב מוסיקת [music_genre : רוק]
70,מוסיקה האהובה עלי היא להקת משינה,מוסיקה האהובה עלי היא להקת [artist_name : משינה]
71,אני אוהב שירים של עומר אדם,אני אוהב שירים של [artist_name : עומר אדם]
72,תתחיל לנגן מוזיקה מהמועדפים,תתחיל לנגן מוזיקה מהמועדפים
73,נגני בבקשה את המוזיקה הכי טובה שלי,נגני בבקשה את המוזיקה הכי טובה שלי
74,מהי הלהקה שמתנגנת עכשיו,מהי הלהקה שמתנגנת עכשיו
75,מי הכותב של השיר הנוכחי,מי הכותב של השיר הנוכחי
76,ממה זה האלבום ממנו המוזיקה הנוכחית היא,ממה זה האלבום ממנו המוזיקה הנוכחית היא
77,olly אני ממש נהנה מהשיר הזה,olly אני ממש נהנה מהשיר הזה
78,השיר שאתה מנגן מדהים,השיר שאתה מנגן מדהים
79,זה אחד השירים הכי טובים בשבילי,זה אחד השירים הכי טובים בשבילי
80,תגדיר את בהירות האורות לגבוהה יותר,תגדיר את בהירות האורות לגבוהה יותר
81,תעשה את האורות חזקים יותר,תעשה את האורות חזקים יותר
82,תגביר את האורות למקסימום בבקשה,תגביר את האורות [change_amount : למקסימום] בבקשה
83,היי תפעיל את שואב האבק הרובוטי,היי תפעיל את [device_type : שואב האבק הרובוטי]
84,הפעל מנקה רובוטי,הפעל [device_type : מנקה רובוטי]
85,תגיד לי את התאריך של היום,תגיד לי את התאריך [date : של היום]
86,מה התאריך היום,מה התאריך [date : היום]
87,הקשה הזמן סושי כלשהו לארוחת ערב,הקשה הזמן [food_type : סושי] כלשהו [meal_type : לארוחת ערב]
88,היי אני רוצה שתזמיני המבורגר,היי אני רוצה שתזמיני [food_type : המבורגר]
89,תוכל להזמין סושי לארוחת ערב הלילה,תוכל להזמין [food_type : סושי] [meal_type : לארוחת ערב] [timeofday : הלילה]
90,מה עם הזמנת הארוחת ערב שלי,מה עם הזמנת הארוחת ערב שלי
91,אני יכול להזמין ארוחת ערב לקחת מהמקום של דוד,אני יכול להזמין [meal_type : ארוחת ערב] [order_type : לקחת] מהמקום [business_name : של דוד]
92,האם מקדונלדס תומך בטייק אווי,האם [business_name : מקדונלדס] תומך [order_type : בטייק אווי]
93,תגדירי התראה לשתיים עשרה,תגדירי התראה [time : לשתיים עשרה]
94,תגדירי התראה לעוד ארבעים דקות מעכשיו,תגדירי התראה לעוד [time : ארבעים דקות מעכשיו]
95,הגדירי התראה לשמונה כל יום בשבוע,הגדירי התראה [time : לשמונה] [general_frequency : כל יום בשבוע]
96,האם יורד גשם,האם [weather_descriptor : יורד גשם]
97,הולך לרדת גשם,הולך [weather_descriptor : לרדת גשם]
98,יורד שלג עכשיו,[weather_descriptor : יורד שלג] עכשיו
99,מה התחזית של השבוע,מה התחזית [time : של השבוע]
100,מה התחזית של השבוע,מה התחזית [time : של השבוע]
101,מה מזג האוויר של השבוע,מה מזג האוויר של [date : השבוע]
102,מה מזג האוויר השבוע,מה מזג האוויר [date : השבוע]
103,תגיד לי את מזג האוויר השבוע,תגיד לי את מזג האוויר [date : השבוע]
104,ספר לי חדשות של ערוץ שתיים עשרה,ספר לי חדשות של [media_type : ערוץ שתיים עשרה]
105,מה החדשות בכאן חדשות,מה החדשות [media_type : בכאן] חדשות
106,מה החדשות בידיעות אחרונות,מה החדשות [media_type : בידיעות אחרונות]
107,נגן שני משוגעים,נגן [song_name : שני משוגעים]
108,נגן שיר שאני אוהב,נגן שיר שאני אוהב
109,שים בדד,שים [song_name : בדד]
110,נגן היהודים,נגן [artist_name : היהודים]
111,שים קצת מוניקה סקס,שים קצת [artist_name : מוניקה סקס]
112,נגני קצת עומר אדם,נגני קצת [artist_name : עומר אדם]
113,שים בלופים את השיר הזה,שים [player_setting : בלופים] את השיר הזה
114,ערבב את הפלייליסט הזה,[player_setting : ערבב] את הפלייליסט הזה
115,שני ווליום לנמוך,שני ווליום [change_amount : לנמוך]
116,מה מתנגן,מה מתנגן
117,איזה מוסיקה זו,איזה מוסיקה זו
118,ספר לי על האמן של השיר הזה,ספר לי על האמן של השיר הזה
119,תגרמי לי לצחוק,תגרמי לי לצחוק
120,סירי תצחיקי אותי,סירי תצחיקי אותי
121,ספר לי בדיחה טובה,ספר לי בדיחה [joke_type : טובה]
122,שלחי חיוך לפנים שלי,שלחי חיוך לפנים שלי
123,תספרי לי בדיחה,תספרי לי בדיחה
124,סירי ספרי לי בדיחה,סירי ספרי לי בדיחה
125,אלקסה תספרי לי בדיחה,אלקסה תספרי לי בדיחה
126,תעודדי אותי,תעודדי אותי
127,מה התאריך היום,מה התאריך [date : היום]
128,מה התאריך,מה התאריך
129,ספר לי על היום,ספר לי על [date : היום]
130,הזמן פיצה,הזמן [food_type : פיצה]
131,תזמיני לי בגט מהשיפודיה,תזמיני לי [food_type : בגט] מהשיפודיה
132,הזמן משלוח,הזמן [order_type : משלוח]
133,מתי ההזמנה שלי מגיע,מתי ההזמנה שלי מגיע
134,כמה זמן עד הטייק אוויי שלי,כמה זמן עד [order_type : הטייק אוויי] שלי
135,סטטוס המשלוח מדומינוס,סטטוס [order_type : המשלוח] [business_name : מדומינוס]
136,מה מתנגן,מה מתנגן
137,תגיד לי מה שם השיר,תגיד לי מה שם השיר
138,איזה שיר זה,איזה שיר זה
139,נגן את הפלייליסט ג'אז שלי,נגן את הפלייליסט [music_genre : ג'אז] שלי
140,תתחיל את פלייליסט הג'אז שלי,תתחיל את פלייליסט [music_genre : הג'אז] שלי
141,נגן את הפלייליסט המועדף עליי,נגן את הפלייליסט המועדף עליי
142,זה שיר טוב,זה שיר טוב
143,אני לא אוהב את זה,אני לא אוהב את זה
144,אני אוהב את זה,אני אוהב את זה
145,אני אוהב ג'אז,אני אוהב [music_genre : ג'אז]
146,תוכן לנגן לי קצת ג'אז,תוכן לנגן לי קצת [music_genre : ג'אז]
147,אני רוצה להאזין לג'אז,אני רוצה להאזין [music_genre : לג'אז]
148,אולי אני רוצה לשמוע ג'אז,אולי אני רוצה לשמוע [music_genre : ג'אז]
149,השיר הזה היה טוב מאוד,השיר הזה היה טוב מאוד
150,אני אוהב את השיר הזה,אני אוהב את השיר הזה
151,נגן את זה שוב בבקשה,נגן את זה שוב בבקשה
152,שנה את עוצמת הקול,שנה את עוצמת הקול
153,אפשר שאפל,אפשר [player_setting : שאפל]
154,שמור הגדרות,שמור הגדרות
155,תגדיר בהירות לחמישים אחוז,תגדיר בהירות [change_amount : לחמישים אחוז]
156,תוריד את הבהירות,תוריד את הבהירות
157,הנמך את הבהירות,הנמך את הבהירות
158,עמעם את האורות,עמעם את האורות
159,הנמך בהירות,הנמך בהירות
160,עמעם את האורות,עמעם את האורות
161,אולי תעמעם את האורות,אולי תעמעם את האורות
162,תכין לי קפה,תכין לי קפה
163,אולי תכין לי קפה,אולי תכין לי קפה
164,אני צריך קפה,אני צריך קפה
165,אני מחבב עכשיו קפה,אני מחבב עכשיו קפה
166,מה שלומך,מה שלומך
167,היי היי,היי היי
168,האם הם יכולים לספק טייק-אוויי,האם הם יכולים לספק [order_type : טייק-אוויי]
169,האם הם יכולים לעשות משלוח,האם הם יכולים לעשות [order_type : משלוח]
170,האם הם עושים משלוחים,האם הם [order_type : עושים משלוחים]
171,olly האם הם עושים משלוחים,olly האם הם [order_type : עושים משלוחים]
172,כוון שעון מעורר לעשר בבוקר,כוון שעון מעורר [time : לעשר בבוקר]
173,תגדירי התראה לשש בבוקר מחר,תגדירי התראה [time : לשש בבוקר] [date : מחר]
174,תגדירי השקמה לשבע בבוקר ביום חמישי,תגדירי השקמה [time : לשבע בבוקר] [date : ביום חמישי]
175,ספר לי את חדשות הטכנולוגיה האחרונות,ספר לי את חדשות [news_topic : הטכנולוגיה] האחרונות
176,תעדכני אותי בחדשות האחרונות על הטכנולוגיה,תעדכני אותי בחדשות האחרונות על [news_topic : הטכנולוגיה]
177,ספרי לי על חדשות בכלכלה,ספרי לי על חדשות [news_topic : בכלכלה]
178,ספרי לי חדשות מהעולם,ספרי לי חדשות [place_name : מהעולם]
179,תגיד לי מה מזג האוויר,תגיד לי מה מזג האוויר
180,מהו מזג האוויר עכשיו,מהו מזג האוויר עכשיו
181,יורד גשם עכשיו,[weather_descriptor : יורד גשם] עכשיו
182,נגן את פלייליסט המזרחית שלי,נגן את פלייליסט [music_genre : המזרחית] שלי
183,הדלק את פלייליסט שלמה ארצי שלי,הדלק את פלייליסט [artist_name : שלמה ארצי] שלי
184,נגן עומר אדם מהפלייליסט שלי,נגן [artist_name : עומר אדם] מהפלייליסט שלי
185,הדלק את הפלייליסט שלי ונגן את השיר השלישי בתור,הדלק את הפלייליסט שלי ונגן את השיר השלישי בתור
186,תנגן את השיר האחרון בפלייליסט האהוב עלי,תנגן את [song_name : השיר האחרון] בפלייליסט האהוב עלי
187,תגבירי עוצמת קול,תגבירי עוצמת קול
188,להגביר את הווליום,להגביר את הווליום
189,השתק עוצמת קול,השתק עוצמת קול
190,תדליקי את התקע,תדליקי את [device_type : התקע]
191,תדליקי את התקע,תדליקי את [device_type : התקע]
192,תדליק את התקע שלי,תדליק את [device_type : התקע] שלי
193,תספרי לי איזושהי בדיחה,תספרי לי איזושהי בדיחה
194,אתה מכיר איזשהי בדיחה,אתה מכיר איזשהי בדיחה
195,מה השעה,מה השעה
196,אמור לי את הזמן,אמור לי את הזמן
197,מה השעה,מה השעה
198,האם דומינוס עושים טייק אוויי,האם [food_type : דומינוס] עושים [order_type : טייק אוויי]
199,האם הפיצרייה האהובה עלי פנויה לטייק אוויי,האם [food_type : הפיצרייה] האהובה עלי פנויה [order_type : לטייק אוויי]
200,האם אני יכול להזמין לקחת ממקום ספרדי,האם אני יכול להזמין [order_type : לקחת] ממקום [food_type : ספרדי]
201,מחק את ההתראה שהגדרתי עכשיו,מחק את ההתראה שהגדרתי עכשיו
202,הסר התראה,הסר התראה
203,הצג לי את השעונים המעוררים שהגדרתי,הצג לי את השעונים המעוררים שהגדרתי
204,האם יש לי איזשהן התראות,האם יש לי איזשהן התראות
205,הראה התראות,הראה התראות
206,איך מזג האוויר בירושלים,איך מזג האוויר [place_name : בירושלים]
207,תגידי לי מה מזג האוויר בתל אביב,תגידי לי מה מזג האוויר [place_name : בתל אביב]
209,תעשה את האורות נוחים לקריאה בבקשה,תעשה את האורות [color_type : נוחים לקריאה] בבקשה
210,בבקשה עשה אורות נוחים לצפייה,בבקשה עשה אורות [color_type : נוחים לצפייה]
211,תעשה את החדר מואר יותר,תעשה את [house_place : החדר] מואר יותר
212,ויהי אור,ויהי אור
213,מה התאריך היום,מה התאריך [date : היום]
214,איזה יום היום,איזה יום [date : היום]
215,תגיד לי תאריך,תגיד לי תאריך
216,איך מזג האוויר היום,איך מזג האוויר [date : היום]
217,יורד גשם בחוץ,[weather_descriptor : יורד גשם] בחוץ
218,האם גשום עכשיו בחוץ אולי,האם [weather_descriptor : גשום] עכשיו בחוץ אולי
219,כדאי לי להביא מטריה מחר,כדאי לי להביא [weather_descriptor : מטריה] [date : מחר]
220,נגן מוסיקה מרשימת הרוק שלי,נגן מוסיקה [playlist_name : מרשימת הרוק] שלי
221,שנה את האורות לירוקים,שנה את האורות [color_type : לירוקים]
222,הוסף את השיר הזה לרשימת האהובים עליי,הוסף את השיר הזה לרשימת האהובים עליי
223,מה זה השיר הזה,מה זה השיר הזה
224,אולי תכבי אורות,אולי תכבי אורות
225,כבה אורות,כבה אורות
226,נקה את הרצפה בבקשה,נקה את [house_place : הרצפה] בבקשה
227,הדלק את השקע סיר אורז,הדלק את [device_type : השקע סיר אורז]
228,כבה שקע מזגן,כבה [device_type : שקע מזגן]
229,מה השעה בלאס וגאס,מה השעה [place_name : בלאס וגאס]
230,מה השעה בירושלים,מה השעה [place_name : בירושלים]
231,תוכל לעזור לי להזמין סושי עשהו מתן ביס,תוכל לעזור לי להזמין [food_type : סושי] עשהו [business_name : מתן ביס]
232,הגדר התראה לשעה שש בבוקר,הגדר התראה לשעה [time : שש] [timeofday : בבוקר]
233,שים התראה לארבע אחר הצהריים,שים התראה [time : לארבע] [timeofday : אחר הצהריים]
234,אולי תתריעי לי בשלוש אחר הצהריים ללכת להופעה,אולי תתריעי לי [time : בשלוש אחר הצהריים] ללכת [event_name : להופעה]
235,תתראי לי בשלוש בצהריים ללכת להופעה,תתראי לי [time : בשלוש בצהריים] ללכת [event_name : להופעה]
236,האם יש לי שעון מעורר מוגדר לטיסת הבוקר,האם יש לי שעון מעורר מוגדר [event_name : לטיסת] [timeofday : הבוקר]
237,האם הגדרתי התראה השכמה בבוקר,האם הגדרתי התראה [alarm_type : השכמה] [timeofday : בבוקר]
238,האם יש התראות כלשהם,האם יש התראות כלשהם
239,יורד גשם באור יהודה,[weather_descriptor : יורד גשם] [place_name : באור יהודה]
240,ירד גשם היום,[weather_descriptor : ירד גשם] [date : היום]
241,מה קורה בחוץ,מה קורה בחוץ
242,מה קורה באמריקה,מה קורה [place_name : באמריקה]
243,מה הולך בעולם,מה הולך [place_name : בעולם]
244,מה קורה ברחובות,מה קורה [place_name : ברחובות]
245,הראה לי כמה חדשות מכאן תאגיד השידור,הראה לי כמה חדשות [media_type : מכאן תאגיד השידור]
246,אולי הצג לי קצת חדשות מכאן,אולי הצג לי קצת חדשות [media_type : מכאן]
247,הפעילי את חדשות כאן אחת עשרה,הפעילי את חדשות [media_type : כאן אחת עשרה]
248,אולי גיקטיים,אולי [media_type : גיקטיים]
249,נגן לי קצת היפ הופ,נגן לי קצת [music_genre : היפ הופ]
250,אני מרגיש ג'ז בערך עכשיו מה איתך,אני מרגיש [music_genre : ג'ז] בערך עכשיו מה איתך
251,אולי מזרחית עכשיו,אולי [music_genre : מזרחית] עכשיו
252,ד'ת מטאל עכשיו,ד'ת [music_genre : מטאל] עכשיו
254,אולי נגן קטע טוב מנגן הג'אז המועדף עליי,אולי נגן קטע טוב מנגן [music_genre : הג'אז] המועדף עליי
255,אולי איזה מוזיקה אני בדרך כלל שומעת אחרי העבודה,אולי איזה מוזיקה אני בדרך כלל שומעת אחרי העבודה
257,אולי נגן מוזיקה של הפסנתרן האהוב עליי,אולי נגן מוזיקה של [music_genre : הפסנתרן] האהוב עליי
258,אני לא יכול לשמוע אותך,אני לא יכול לשמוע אותך
259,אתה חזק מדי,אתה חזק מדי
260,אני בקושי שומע אותך סירי,אני בקושי שומע אותך סירי
261,אני בקושי שומע אותך,אני בקושי שומע אותך
262,הפוך את האורות לכחולים,הפוך את האורות [color_type : לכחולים]
263,בוא נעשה אורות כחולים,בוא נעשה אורות [color_type : כחולים]
264,תהפכי את האורות לצבע כחול זוהר,תהפכי את האורות לצבע [color_type : כחול זוהר]
265,אולי לילה טוב אורות כבויים,אולי לילה טוב אורות כבויים
267,חשוך כאן מאוד,חשוך כאן מאוד
268,תעשה את האורות בהירים יותר,תעשה את האורות בהירים יותר
269,אולי יותר מדי חשוך אני לא יכול לראות את הידיים שלי אפילו,אולי יותר מדי חשוך אני לא יכול לראות את הידיים שלי אפילו
270,מה השעה,מה השעה
271,מה השעה בטוקיו עכשיו,מה השעה [place_name : בטוקיו] עכשיו
273,מה השיר הז,מה השיר הז
274,אולי מה זה השיר הזה,אולי מה זה השיר הזה
275,למה הזמר התכוון בשם השיר שני משוגעים,למה הזמר התכוון בשם השיר [song_name : שני משוגעים]
276,מי עשה קאבר לשיר שני משוגעים,מי עשה קאבר לשיר [song_name : שני משוגעים]
277,מהו מזג האוויר בפריז,מהו מזג האוויר [place_name : בפריז]
278,איך מזג האוויר בתל אביב,איך מזג האוויר [place_name : בתל אביב]
279,מה התחזית להיום בדימונה,מה התחזית [date : להיום] [place_name : בדימונה]
280,מה המצב הנוכחי על חיסוני קורונה,מה המצב הנוכחי על [news_topic : חיסוני קורונה]
281,מה שער ההמרה של דולר אמריקאי ללירה שטרלינג,מה [news_topic : שער ההמרה של דולר אמריקאי ללירה שטרלינג]
282,מה הולך לנצח בבחירות הבאות בצרפת,מה הולך לנצח [news_topic : בבחירות] הבאות [place_name : בצרפת]
283,אתה מצפה לשמש ביום ראשון,אתה מצפה [weather_descriptor : לשמש] ביום [date : ראשון]
284,הולך לרדת גשם בערב,הולך [weather_descriptor : לרדת גשם] [timeofday : בערב]
285,הולך להיות סוער מחר,הולך להיות [weather_descriptor : סוער] [date : מחר]
286,הדליקי את כל האורות במטבח,הדליקי את כל האורות [house_place : במטבח]
287,תגביר את הבהירות במנורה שליד הספה,תגביר את הבהירות [device_type : במנורה שליד הספה]
288,תבהיר את האור,תבהיר את האור
289,מה השעה במוסקבה עכשיו,מה השעה [place_name : במוסקבה] עכשיו
290,הפעל שואב אבק,הפעל [device_type : שואב אבק]
291,שאב את המטבח,שאב את [house_place : המטבח]
292,תדליקי שואב אבק,תדליקי [device_type : שואב אבק]
293,מה קורה בעולם,מה קורה [place_name : בעולם]
294,ספרי לי את החדשות,ספרי לי את החדשות
295,תן לי את הכותרות של העיתון של היום,תן לי את הכותרות [media_type : של העיתון] [date : של היום]
296,נגן את רשימת ההשמעה של נירוונה,נגן את [playlist_name : רשימת ההשמעה של נירוונה]
297,ערבב שירים של אייל גולן,[player_setting : ערבב] שירים של [artist_name : אייל גולן]
298,נגן באך,נגן [artist_name : באך]
299,מה מצב מזג האוויר,מה מצב מזג האוויר
300,מה תחזית מזג האוויר היום,מה תחזית מזג האוויר [date : היום]
301,איך מזג האוויר,איך מזג האוויר
302,הי מה את עושה עכשיו,הי מה את עושה עכשיו
303,מה איתך,מה איתך
304,בוקר מה קורה,בוקר מה קורה
305,תזמיני פיצה מפיצה עגבנייה,תזמיני [food_type : פיצה] [business_name : מפיצה עגבנייה]
306,הייתי רוצה לאכול סושי אתה יכול להזמין ארוחת צהריים,הייתי רוצה לאכול [food_type : סושי] אתה יכול להזמין ארוחת [meal_type : צהריים]
307,אלקסה אני רוצה סושי את יכולה להזמין לי ארוחת צהריים,אלקסה אני רוצה [food_type : סושי] את יכולה להזמין לי [meal_type : ארוחת צהריים]
308,הזמן טייק אוויי כריך ומרק מהאיטלקים,הזמן [order_type : טייק אוויי] [food_type : כריך ומרק] [business_name : מהאיטלקים]
309,כמה ימים נשארו השנה,כמה ימים נשארו [date : השנה]
310,באיזה יום הסילבסטר השנה,באיזה יום הסילבסטר [date : השנה]
311,איזה יום יוצא יום הזיכרון השנה,איזה יום יוצא יום הזיכרון [date : השנה]
312,חשוך כאן מדי,חשוך כאן מדי
313,הגבר בהירות בעשרים אחוז,הגבר בהירות [change_amount : בעשרים אחוז]
314,הגדר אורות לעוצמה מלאה,הגדר אורות [change_amount : לעוצמה מלאה]
315,תהי בשקט עוד שעה בבקשה,תהי בשקט [time : עוד שעה] בבקשה
316,השתק,השתק
317,אל תדברי היום,אל תדברי [date : היום]
318,מחר ירד גשם,[date : מחר] ירד [weather_descriptor : גשם]
319,תגיד לי מה מזג האוויר בתל אביב יומיים מעכשיו,תגיד לי מה מזג האוויר [place_name : בתל אביב] [time : יומיים מעכשיו]
320,שאקח מטרייה מחר,שאקח [weather_descriptor : מטרייה] [date : מחר]
321,בטל את הטלוויזיה,בטל את [device_type : הטלוויזיה]
322,אפשר את המתג שלי,אפשר את [device_type : המתג] שלי
323,תדליקי את המטען החכם,תדליקי [device_type : את המטען החכם]
324,ספר לי על חדשות הטכנולוגיה מדה מרקר,ספר לי על חדשות [news_topic : הטכנולוגיה] [media_type : מדה מרקר]
325,שמח,שמח
326,ערב,[timeofday : ערב]
327,יום ראשון,[date : יום ראשון]
329,שני משוגעים,[song_name : שני משוגעים]
330,בשקט יותר,בשקט יותר
331,רך יותר,רך יותר
332,שתיקה,שתיקה
333,מה תנאי מזג האויר ביבנה,מה תנאי מזג האויר [place_name : ביבנה]
334,הלוואי שהייתי יודעת מה מזג האוויר בתל אביב,הלוואי שהייתי יודעת מה מזג האוויר [place_name : בתל אביב]
335,אני רוצה לדעת מה מזג האוויר בצפת,אני רוצה לדעת מה מזג האוויר [place_name : בצפת]
336,האם יורד שלג בישראל,האם [weather_descriptor : יורד שלג] [place_name : בישראל]
339,יו אני צריך קפה עכשיו,יו אני צריך קפה עכשיו
340,אני עזרתי עני מסכן היום אולי,אני עזרתי עני מסכן [date : היום] אולי
341,הפעל את מכונת הקפה,הפעל את [device_type : מכונת הקפה]
342,תכין לי כוס קפה עכשיו,תכין לי כוס קפה עכשיו
343,איך יהיה מזג האוויר מחר,איך יהיה מזג האוויר [date : מחר]
344,האם מחר יהיה גשום,האם [date : מחר] יהיה [weather_descriptor : גשום]
345,כמה מעלות יהיה בחוץ מחר,כמה [weather_descriptor : מעלות] יהיה בחוץ [date : מחר]
346,מהן תחזיות מזג האוויר למחר,מהן תחזיות מזג האוויר [date : למחר]
347,מה תחזיות מזג האוויר של מחר,מה תחזיות מזג האוויר [date : של מחר]
348,האם ירד גשם מחר,האם [weather_descriptor : ירד גשם] [date : מחר]
349,יהיה שלג מחר,יהיה [weather_descriptor : שלג] [date : מחר]
350,בדוק אם המסעדה עושה טייק-אוויי,בדוק אם [business_type : המסעדה] עושה [order_type : טייק-אוויי]
351,חפש אם המסעדה מבצעת טייק אאוט,חפש אם [business_type : המסעדה] מבצעת [order_type : טייק אאוט]
352,האם יש תפריט משלוחים במסעדה,האם יש תפריט [order_type : משלוחים] [business_type : במסעדה]
353,איזה יום בשבוע הוא עשרים ושניים במרץ,איזה יום בשבוע הוא [date : עשרים ושניים במרץ]
354,עשרים ותשע במרץ יוצא באיזה יום,[date : עשרים ותשע במרץ] יוצא באיזה יום
355,איזה יום בשבוע זה הראשון באפריל,איזה יום בשבוע זה [date : הראשון באפריל]
