id,utt,annot_utt
26,نظف الشقة,نظف [house_place : الشقة]
27,المكان وسخ هنا ابدأ التنظيف,المكان وسخ هنا ابدأ التنظيف
28,نظف البيت بالمكنسة الكهربائية,نظف [house_place : البيت] بالمكنسة الكهربائية
29,كنس البيت olly,كنس [house_place : البيت] olly
30,التنظيف جيد للغبار أمر سيء للغاية والآن قم بتنظيف سجادتي,التنظيف جيد للغبار أمر سيء للغاية والآن قم بتنظيف [house_place : سجادتي]
31,ممر,[house_place : ممر]
32,اكنس السجادات,اكنس [house_place : السجادات]
33,شيك متى يبدا العرض,شيك متى يبدا العرض
34,أبغى اسمع أغنية محمد عبده مرة ثانية,أبغى اسمع أغنية [artist_name : محمد عبده] مرة ثانية
35,أريد تشغيل هذي الموسيقا مرة ثانية,أريد تشغيل هذي [media_type : الموسيقا] مرة ثانية
36,توكد لي من أن سيارتي جاهزة,توكد لي من أن سيارتي جاهزة
37,تحقق من أن جهاز الكمبيوتر المحمول يعمل,تحقق من أن جهاز الكمبيوتر المحمول يعمل
38,هل سطوع الشاشة حقي قليل,هل سطوع الشاشة حقي قليل
39,أحتاج إلى الحصول على خدمات الموقع هل يمكنك التحقق,أحتاج إلى الحصول على خدمات الموقع هل يمكنك التحقق
40,تحقق من حالة استخدام الطاقة حقي,تحقق من حالة استخدام الطاقة حقي
41,أبغى الحالة على سطوع الشاشة حقي,أبغى الحالة على سطوع الشاشة حقي
42,أعطني الحالة الخاصة فيني,أعطني الحالة الخاصة فيني
43,أنا مو تعبانة الصراحة أنا فرحانة,أنا مو تعبانة الصراحة أنا فرحانة
44,olly أنا مو تعبانة أنا مره فرحانة,olly أنا مو تعبانة أنا مره فرحانة
45,ما الأخبار,ما الأخبار
46,كيفك اولي,كيفك اولي
47,كم الوقت في السعودية,كم الوقت في [place_name : السعودية]
48,قل لي الوقت في الرياض,قل لي الوقت في [place_name : الرياض]
49,قل لي الوقت في توقيت السعودية,قل لي الوقت في [time_zone : توقيت السعودية]
50,قل لي أولي توقيت الرياض زائد خمسة,قل لي أولي [time_zone : توقيت الرياض] زائد خمسة
51,توصيل صيني,[order_type : توصيل] [food_type : صيني]
52,أكثر خيارات التوصيل تقيماً للاطعمة الحجازية,أكثر خيارات [order_type : التوصيل] تقيماً للاطعمة [food_type : الحجازية]
53,حط بقائمة افضل المطاعم تقييم توصيل للاكل الهندي,حط بقائمة افضل المطاعم تقييم [order_type : توصيل] للاكل [food_type : الهندي]
54,olly وش المطاعم الاكثر تقييم للاكل الحجازي و يوصلوا,olly وش المطاعم الاكثر تقييم للاكل [food_type : الحجازي] و [order_type : يوصلوا]
55,هندي,[food_type : هندي]
56,كاري أي أولاي,[food_type : كاري] أي أولاي
57,بيتزايتي بيتزا توصيل مطعم الشرق,بيتزايتي [food_type : بيتزا] [order_type : توصيل] [place_name : مطعم الشرق]
58,مطعم الملكي الملكي توصيل وجبتي البيتزا,[place_name : مطعم الملكي] الملكي [order_type : توصيل] وجبتي [food_type : البيتزا]
59,كنسل منبه سبعة الصبح,كنسل منبه [time : سبعة الصبح]
60,وقف منبه سبعة الصبح,وقف منبه [time : سبعة الصبح]
61,وش المنبهات اللي أنا حطيتها,وش المنبهات اللي أنا حطيتها
62,تكفى سوي قائمة بالمنبهات الشغالة,تكفى سوي قائمة بالمنبهات الشغالة
63,اخبريني عن منبهاتي,اخبريني عن منبهاتي
65,إيش أخبار كرة القدم اليوم,إيش أخبار [news_topic : كرة القدم] [date : اليوم]
66,من فضلك شغل البيتلز أمس,من فضلك شغل [artist_name : البيتلز] [song_name : أمس]
67,أريد أسمع سيناء الخاص بالملكة,أريد أسمع [song_name : سيناء] [artist_name : الخاص بالملكة]
68,شغل لي شو المانع حق نجوى كرم,شغل لي [song_name : شو المانع] حق [artist_name : نجوى كرم]
69,أنا أحب موسيقى الروك,أنا أحب موسيقى [music_genre : الروك]
70,حقي مفضل موسيقى فرقة كاظم الساهر,حقي مفضل موسيقى فرقة [artist_name : كاظم الساهر]
71,تعجبني أغاني رابح,تعجبني أغاني [artist_name : رابح]
72,ابدأ تشغيل موسيقى مفضلة,ابدأ تشغيل موسيقى مفضلة
73,من فضلك شغل موسيقى الأفضل الخاص بي,من فضلك شغل موسيقى الأفضل الخاص بي
74,ما الذي تعزفه الفرقة الآن,ما الذي تعزفه الفرقة الآن
75,مين مؤالف الموسيقى الحالية,مين مؤالف الموسيقى الحالية
76,هذه,هذه
77,حبيت هذي الاغنية,حبيت هذي الاغنية
78,الأغنية التي انت مشغلها تجنن,الأغنية التي انت مشغلها تجنن
79,هذه واحدة من أفضل الأغاني بالنسبة لي,هذه واحدة من أفضل الأغاني بالنسبة لي
80,خل سطوع الإضاءة اعلى,خل سطوع الإضاءة اعلى
81,خل الإضاءة أقوى,خل الإضاءة أقوى
82,اترجاك رفع الأضواء إلى الحد الأقصى,اترجاك رفع الأضواء إلى [change_amount : الحد الأقصى]
83,شغل المكنسة الكهربائية,شغل [device_type : المكنسة الكهربائية]
84,شغل المكنسة الروبوتية,شغل [device_type : المكنسة الروبوتية]
85,قل لي تاريخ اليوم,قل لي تاريخ [date : اليوم]
86,كم التاريخ اليوم,كم التاريخ [date : اليوم]
87,اطلب مقلوبة للعشا,اطلب [food_type : مقلوبة] [meal_type : للعشا]
88,برغر,[food_type : برغر]
89,عادي تطلب sushi عشان عشا الليلة,عادي تطلب [food_type : sushi] عشان [meal_type : عشا] [timeofday : الليلة]
90,إيش المشكلة مع طلب العشا حقي,إيش المشكلة مع طلب العشا حقي
91,عادي أطلب عشا سفري من مطعم الطازج,عادي أطلب [meal_type : عشا] [order_type : سفري] من [business_name : مطعم الطازج]
92,هل يدعم وجبات هرفي يوصل الطلبات,هل يدعم وجبات [business_name : هرفي] [order_type : يوصل الطلبات]
93,حط المنبه على اثنعش,حط المنبه على [time : اثنعش]
94,حط منبه بعد أربعين دقيقة من الحين,حط منبه بعد [time : أربعين دقيقة من الحين]
95,حط منبه على ثمنية كل يوم في الإسبوع,حط منبه على [time : ثمنية] [general_frequency : كل يوم في الإسبوع]
96,هل تمطر,هل [weather_descriptor : تمطر]
97,سوف تمطر,سوف [weather_descriptor : تمطر]
98,هل تثلج حاليا,هل [weather_descriptor : تثلج] حاليا
99,ما هي توقعات الأسابيع,ما هي توقعات [time : الأسابيع]
100,ما هي توقعات الاسبوع,ما هي توقعات [time : الاسبوع]
101,ما هو الطقس هذا الاسبوع,ما هو الطقس [date : هذا الاسبوع]
102,ما هو الطقس هذا الأسبوع,ما هو الطقس [date : هذا الأسبوع]
103,قل لي الطقس هذا الاسبوع,قل لي الطقس [date : هذا الاسبوع]
104,قل لي أخبار بي. بي. سي.,قل لي أخبار [media_type : بي. بي. سي.]
105,ايش الأخبار على العربية,ايش الأخبار على [media_type : العربية]
106,ما هي أخبار الجزيرة,ما هي أخبار [media_type : الجزيرة]
107,شغلل كان يا مكان,شغلل [song_name : كان يا مكان]
108,شغلي أغنية أنا أحبها,شغلي أغنية أنا أحبها
109,شغل أهواك,شغل [song_name : أهواك]
110,شغل أهواك,شغل [artist_name : أهواك]
111,بعض لعب سيء,بعض [artist_name : لعب سيء]
112,شغل لعبد المجيد,شغل [artist_name : لعبد المجيد]
113,كرر تشغيل هذا track,[player_setting : كرر تشغيل] هذا track
114,شغل بترتيب عشوائي قايمة الأغاني هذي,[player_setting : شغل بترتيب عشوائي] قايمة الأغاني هذي
115,اضبط الصوت على منخفض,اضبط الصوت [change_amount : على منخفض]
116,ما الذي يعرض في مسرح الرياض من عروض موسيقية,ما الذي يعرض في مسرح الرياض من عروض موسيقية
117,موسيقى هذي,موسيقى هذي
118,قل لي فنان هذه الأغنية,قل لي فنان هذه الأغنية
119,خلني أضحك,خلني أضحك
120,olly خليني اضحك,olly خليني اضحك
121,قول لي نكتة جيدة,قول لي نكتة [joke_type : جيدة]
122,ارسل قهقهة طريقي,ارسل قهقهة طريقي
123,قل لي نكتة,قل لي نكتة
124,أوللي خبرني نكتة,أوللي خبرني نكتة
125,أليكسا قل لي نكتة,أليكسا قل لي نكتة
126,أبهجني,أبهجني
127,ماهو اليوم,ماهو [date : اليوم]
128,ما التاريخ,ما التاريخ
129,خبرني عن اليوم,خبرني عن [date : اليوم]
130,اطلب pizza,اطلب [food_type : pizza]
131,بيتزا من مطعم الشرقي,[food_type : بيتزا] من [business_name : مطعم الشرقي]
132,اطلب سفري,اطلب [order_type : سفري]
133,متى بتوصل طلبيتي,متى بتوصل طلبيتي
134,سفري,[order_type : سفري]
135,كيف وضع التوصيل عند domino's,كيف وضع [order_type : التوصيل] عند [business_name : domino's]
136,ايش شغال,ايش شغال
137,قول لي اسم الأغنية,قول لي اسم الأغنية
138,أي أغنية هذي,أي أغنية هذي
139,شغل قائمة التشغيل جاز الخاص بي,شغل قائمة التشغيل [music_genre : جاز] الخاص بي
140,حقي الشعبية قائمة التشغيل,حقي [music_genre : الشعبية] قائمة التشغيل
141,my favorite playlist,my favorite playlist
142,هاذي أغنية حلوة,هاذي أغنية حلوة
143,أني ما أحبه,أني ما أحبه
144,عجبتني,عجبتني
145,jazz,[music_genre : jazz]
146,هل يمكنك أن تعزف شوية موسيقى jazz,هل يمكنك أن تعزف شوية موسيقى [music_genre : jazz]
147,أريد أسمع jazz,أريد أسمع [music_genre : jazz]
148,olly أحب أسمع موسيقى jazz,olly أحب أسمع موسيقى [music_genre : jazz]
149,ذي الاغنيه حلوه,ذي الاغنيه حلوه
150,أحب هاذي الأغنية,أحب هاذي الأغنية
151,شغلها مرة ثانية لو سمحت,شغلها مرة ثانية لو سمحت
152,غير الصوت,غير الصوت
153,فعله تشغيل عشوائي,فعله [player_setting : تشغيل عشوائي]
154,احفظ الاعدادات,احفظ الاعدادات
155,حط السطوع على خمسين في الميه,حط السطوع [change_amount : على خمسين في الميه]
156,اخفض السطوع تحت,اخفض السطوع تحت
157,قللي السطوع,قللي السطوع
158,وطي النور,وطي النور
159,قلل السطوع,قلل السطوع
160,قصر الانوار,قصر الانوار
161,olly طفي اللمبات,olly طفي اللمبات
162,سويلي قهوة,سويلي قهوة
163,olly سويلي قهوة,olly سويلي قهوة
164,أحتاج قهوة,أحتاج قهوة
165,ودي في شوية قهوة الحين,ودي في شوية قهوة الحين
166,كيف حالكم,كيف حالكم
167,سلام سلام,سلام سلام
168,وجبات جاهزة,[order_type : وجبات جاهزة]
169,يقدرون يوصلون,يقدرون [order_type : يوصلون]
170,يوصل,[order_type : يوصل]
171,توصيل,[order_type : توصيل]
172,حط المنبه على عشرة الصباح,حط المنبه على [time : عشرة الصباح]
173,حط منبه لبكره الساعة ستة الصبح,حط منبه [date : لبكره] الساعة [time : ستة الصبح]
174,حط منبه يصحيني سبعة الصبح يوم الخميس,حط منبه يصحيني [time : سبعة الصبح] يوم [date : الخميس]
175,أخبرني بآخر أخبار التقنية,أخبرني بآخر أخبار [news_topic : التقنية]
176,انطيني آخر أخبار التكنولوجيا,انطيني آخر أخبار [news_topic : التكنولوجيا]
177,أخبرني ببعض أخبار الأعمال,أخبرني ببعض أخبار [news_topic : الأعمال]
178,أخبرني عن الأخبار العالمية,أخبرني عن الأخبار [place_name : العالمية]
179,قل لي الطقس,قل لي الطقس
180,كيف الطقس الحين,كيف الطقس الحين
181,هل تمطر الحين,هل [weather_descriptor : تمطر] الحين
182,شغل قايمة الشعبي حقي,شغل قايمة [music_genre : الشعبي] حقي
183,شغلي قايمة تشغيل كاظم الساهر حقتي,شغلي قايمة تشغيل [artist_name : كاظم الساهر] حقتي
184,شغل بلقيس من قايمة الأغاني حقتي,شغل [artist_name : بلقيس] من قايمة الأغاني حقتي
185,افتح قائمة التشغيل حقي وشغل ثالث أغنية في الترتيب,افتح قائمة التشغيل حقي وشغل ثالث أغنية في الترتيب
186,شغل الأغنية الأخيرة من قائمتي المفضلة,شغل [song_name : الأغنية الأخيرة] من قائمتي المفضلة
187,ارفع الصوت,ارفع الصوت
188,ارفع الصوت,ارفع الصوت
189,اكتم الصوت,اكتم الصوت
190,plug turn on,[device_type : plug] turn on
191,شغل الفيش,شغل [device_type : الفيش]
192,شغل الفيش حقي,شغل [device_type : الفيش] حقي
193,قل لي بعض النكات,قل لي بعض النكات
194,عندك أي نكتة,عندك أي نكتة
195,كم الساعة,كم الساعة
196,أخبرني الوقت,أخبرني الوقت
197,كم ال ساعة,كم ال ساعة
198,الدومينو takeaway,[food_type : الدومينو] [order_type : takeaway]
199,بيتزا توصيل,[food_type : بيتزا] [order_type : توصيل]
200,جاهز اسباني,[order_type : جاهز] [food_type : اسباني]
201,احذف المنبه اللي تو حطيته,احذف المنبه اللي تو حطيته
202,ازيلي المنبه,ازيلي المنبه
203,ورني المنبهات اللي أنا حطيتها,ورني المنبهات اللي أنا حطيتها
204,هل عندي أي منبهات,هل عندي أي منبهات
205,وريني المنبهات,وريني المنبهات
206,كيف الجو في الرياض,كيف الجو في [place_name : الرياض]
207,قل لي الطقس في أبوظبي,قل لي الطقس في [place_name : أبوظبي]
209,لو سمحت خل اضاءة القراءه لطيفه,لو سمحت خل اضاءة [color_type : القراءه لطيفه]
210,تكفى خل اللمبات مريحه للنظر,تكفى خل اللمبات [color_type : مريحه للنظر]
211,اجعل الغرفة أكثر إنارة,اجعل [house_place : الغرفة] أكثر إنارة
212,و الضوء بدا,و الضوء بدا
213,كم التاريخ اليوم,كم التاريخ [date : اليوم]
214,ما هو اليوم,ما هو [date : اليوم]
215,قل لي موعد,قل لي موعد
216,كيف سيكون الجو اليوم,كيف سيكون الجو [date : اليوم]
217,هل تمطر في الخارج,هل [weather_descriptor : تمطر] في الخارج
218,قاعدة تمطر برا يا olly ولا لا,قاعدة [weather_descriptor : تمطر] برا يا olly ولا لا
219,تنصحني آخذ المظلة معي بكره,تنصحني آخذ [weather_descriptor : المظلة] معي [date : بكره]
220,شغل اغاني من قائمة أغاني رومانسية,شغل اغاني من [playlist_name : قائمة أغاني رومانسية]
221,غير اللمبات وخليها خضرا,غير اللمبات وخليها [color_type : خضرا]
222,أضف هذه الأغنية إلى قائمتي المفضلة,أضف هذه الأغنية إلى قائمتي المفضلة
223,ايش هاذي الأغنية,ايش هاذي الأغنية
224,olly lights off my lights on,olly lights off my lights on
225,طفي الأنوار,طفي الأنوار
226,تكفى نظف الأرضية,تكفى نظف [house_place : الأرضية]
227,شغل فيش قدر الضغط,شغل [device_type : فيش قدر الضغط]
228,turn off rice cooker socket,turn off [device_type : rice cooker socket]
229,كم الساعة في أبو ظبي,كم الساعة في [place_name : أبو ظبي]
230,كم الساعة في عسير,كم الساعة في [place_name : عسير]
231,سوشي من شيرو,[food_type : سوشي] من [business_name : شيرو]
232,حط منبه على ستة الصباح,حط منبه على [time : ستة] [timeofday : الصباح]
233,حط منبه على أربعة العصر,حط منبه على [time : أربعة] [timeofday : العصر]
234,olly نبهني الساعة ثلاثة بعد الظهر اروح الحفلة,olly نبهني الساعة [time : ثلاثة بعد الظهر] اروح [event_name : الحفلة]
235,نبهني ثلاثة بعد الظهر عشان أروح الحفلة,نبهني [time : ثلاثة بعد الظهر] عشان أروح [event_name : الحفلة]
236,أبي أعرف اذا ضبطت أنا منبه لرحلة الصبح,أبي أعرف اذا ضبطت أنا منبه [event_name : لرحلة] [timeofday : الصبح]
237,ضبطت انا المنبه عشان يصحيني الصبح ولا لا,ضبطت انا المنبه عشان [alarm_type : يصحيني] [timeofday : الصبح] ولا لا
238,عندي أي تنبيهات ولا لا,عندي أي تنبيهات ولا لا
239,هل تمطر في عسير,هل [weather_descriptor : تمطر] في [place_name : عسير]
240,هل سوف تمطر اليوم,هل سوف [weather_descriptor : تمطر] [date : اليوم]
241,وش قاعد يصير برا,وش قاعد يصير برا
242,ايش يحصل في السعودية,ايش يحصل في [place_name : السعودية]
243,ماذا يحدث في العالم,ماذا يحدث في [place_name : العالم]
244,ماذا يحدث في الرياض,ماذا يحدث في [place_name : الرياض]
245,اعرض لي شوية أخبار من العربية,اعرض لي شوية أخبار من [media_type : العربية]
246,أظهر بعض الأخبار من الجزيرة,أظهر بعض الأخبار من [media_type : الجزيرة]
247,شغل أخبار العربية,شغل أخبار [media_type : العربية]
248,أولي أخبار روسيا اليوم,أولي [media_type : أخبار روسيا اليوم]
249,شغلي بعض أغاني ال hiphop,شغلي بعض أغاني ال [music_genre : hiphop]
250,احس اني في مود اسمع قصايد وانتي,احس اني في مود اسمع [music_genre : قصايد] وانتي
251,فرقة شعبية,[music_genre : فرقة شعبية]
252,موت العود العربي الآن,موت [music_genre : العود العربي] الآن
254,olly شغل أغنية حلوة من المفضلة حقي على مشغل موسيقى الجاز,olly شغل أغنية حلوة من المفضلة حقي على مشغل موسيقى [music_genre : الجاز]
255,olly ايش الموسيقى اللي عادة تعجبني بعد الدوام,olly ايش الموسيقى اللي عادة تعجبني بعد الدوام
257,olly شغلي موسيقى افضل عازف بيانو من مفضلتي,olly شغلي موسيقى افضل [music_genre : عازف بيانو] من مفضلتي
258,مو قادرة أسمعك,مو قادرة أسمعك
259,صوتك عالي كثير,صوتك عالي كثير
260,مو قادرة أسمعك olly,مو قادرة أسمعك olly
261,ما أسمعك مره,ما أسمعك مره
262,خلي اللمبات ازرق,خلي اللمبات [color_type : ازرق]
263,وش رايك نخلي اللمبات زرقا,وش رايك نخلي اللمبات [color_type : زرقا]
264,اجعل الأضواء تشع بلون أزرق,اجعل الأضواء [color_type : تشع بلون أزرق]
265,olly تصبحين على خير طفي اللمبات,olly تصبحين على خير طفي اللمبات
267,الظلام يخوف هنا,الظلام يخوف هنا
268,اجعل الأضواء أكثر إنارة,اجعل الأضواء أكثر إنارة
269,olly ترا مره ظلام هنا مو قادره أشوف يداتي,olly ترا مره ظلام هنا مو قادره أشوف يداتي
270,كم الساعة,كم الساعة
271,ما هو الوقت في النماص الآن,ما هو الوقت في [place_name : النماص] الآن
273,الاغاني,الاغاني
274,أولي شنو اغنية,أولي شنو اغنية
275,لقيت الطبطبة,[song_name : لقيت الطبطبة]
276,مين يغني أغنية يا صبابين الشاي,مين يغني أغنية [song_name : يا صبابين الشاي]
277,ما هو الطقس في جدة,ما هو الطقس في [place_name : جدة]
278,كيف هو الطقس في الرياض,كيف هو الطقس في [place_name : الرياض]
279,ما هي توقعات الحين المدينة المنورة,ما هي توقعات [date : الحين] [place_name : المدينة المنورة]
280,ما هو الوضع الحالي على الجزيرة,ما هو الوضع الحالي على [news_topic : الجزيرة]
281,ماذا في الحرب في اليمن,ماذا في [news_topic : الحرب في اليمن]
282,من سيفوز في الانتخابات المقبلة في فرنسا,من سيفوز في [news_topic : الانتخابات] المقبلة في [place_name : فرنسا]
283,هل تتوقع شمس يوم الأحد,هل تتوقع [weather_descriptor : شمس] يوم [date : الأحد]
284,ودها تمطر المساء,ودها [weather_descriptor : تمطر] [timeofday : المساء]
285,هل ستكون رياح بكرة,هل ستكون [weather_descriptor : رياح] [date : بكرة]
286,شغل اللمبات بالمطبخ,شغل اللمبات [house_place : بالمطبخ]
287,أنر اللمبة المقابلة للأريكة,أنر [device_type : اللمبة المقابلة للأريكة]
288,قوي الإضاءة,قوي الإضاءة
289,كم الساعة الآن في جيزان,كم الساعة الآن في [place_name : جيزان]
290,شغل المكنسة الكهربائية,شغل [device_type : المكنسة الكهربائية]
291,نظف المطبخ بالمكنسة الكهربائية,نظف [house_place : المطبخ] بالمكنسة الكهربائية
292,شغل المكنسة الكهربية,شغل [device_type : المكنسة الكهربية]
293,وش اللي يصير في العالم,وش اللي يصير في [place_name : العالم]
294,قل لي الأخبار,قل لي الأخبار
295,قل لي عناوين الجرايد حق اليوم,قل لي عناوين [media_type : الجرايد] [date : حق اليوم]
296,شغل قايمة التشغيل اللبنانية,شغل [playlist_name : قايمة التشغيل اللبنانية]
297,شغل اغاني عشوائية ل فيروز,شغل [player_setting : اغاني عشوائية] ل [artist_name : فيروز]
298,شغل رابح,شغل [artist_name : رابح]
299,كيف الطقس,كيف الطقس
300,ما هي التوقعات لهذا اليوم,ما هي التوقعات لهذا [date : اليوم]
301,اوصف لى الطقس,اوصف لى الطقس
302,لحظه وش تبي تسوي,لحظه وش تبي تسوي
303,شلونك,شلونك
304,صباح ما الأمر,صباح ما الأمر
305,بيتزا بيتزاراتي,[food_type : بيتزا] [business_name : بيتزاراتي]
306,سوشي غداء,[food_type : سوشي] [meal_type : غداء]
307,alexa ودي في مثلوثة ممكن تطلبه لبكرا,alexa ودي في [food_type : مثلوثة] ممكن تطلبه [meal_type : لبكرا]
308,اطلب سفري sandwich وشوربة من البيك,اطلب [order_type : سفري] [food_type : sandwich وشوربة] من [business_name : البيك]
309,كم باقي يوم في هاذي السنة,كم باقي يوم في [date : هاذي السنة]
310,ما هو يوم رأس السنة الجديدة هاذي السنة,ما هو يوم رأس السنة الجديدة [date : هاذي السنة]
311,في أي يوم بيكون اليوم الوطني هاذي السنة,في أي يوم بيكون اليوم الوطني [date : هاذي السنة]
312,مره ظلام هنا,مره ظلام هنا
313,ارفع السطوع بنسبة عشرين في المية,ارفع السطوع [change_amount : بنسبة عشرين في المية]
314,اضبط الأضواء للشحن الكامل,اضبط الأضواء [change_amount : للشحن الكامل]
315,من فضلك كون هادي كمان ساعة ثانية,من فضلك كون هادي كمان ساعة ثانية
316,اكتم الصوت,اكتم الصوت
317,لا تتكلم اليوم,لا تتكلم [date : اليوم]
318,تتوقع تمطر بكرة,تتوقع [weather_descriptor : تمطر] [date : بكرة]
319,أخبرني عن حالة الطقس في مدريد لليومين الجايين,أخبرني عن حالة الطقس في [place_name : مدريد] [time : لليومين الجايين]
320,راح احتاج شمسية بكرة,راح احتاج [weather_descriptor : شمسية] [date : بكرة]
321,فيش,[device_type : فيش]
322,مكن القابس الخاص بي,مكن [device_type : القابس] الخاص بي
323,شغل الشاحن الذكي,شغل [device_type : الشاحن الذكي]
324,انطيني الأخبار حق التكنولوجيا من عالم التقنية,انطيني الأخبار حق [news_topic : التكنولوجيا] من [media_type : عالم التقنية]
325,سعيد,سعيد
326,مساء,[timeofday : مساء]
327,مشمس,[date : مشمس]
329,المسافر راح,[song_name : المسافر راح]
330,أهدى,أهدى
331,أنعم,أنعم
332,هدوء,هدوء
333,ما هي حالة الطقس في الرياض,ما هي حالة الطقس في [place_name : الرياض]
334,أتمنى أن أعرف الطقس في جدة,أتمنى أن أعرف الطقس في [place_name : جدة]
335,أتمنى أن اعرف الطقس في المدينة المنورة,أتمنى أن اعرف الطقس في [place_name : المدينة المنورة]
336,هل هي تثلج في جدة,هل هي [weather_descriptor : تثلج] في [place_name : جدة]
339,سلام أبي قهوة الحين,سلام أبي قهوة الحين
340,لقد ساعدت فقيرًا محتاجًا اليوم,لقد ساعدت فقيرًا محتاجًا [date : اليوم]
341,ابدأ آلة صنع القهوة,ابدأ [device_type : آلة صنع القهوة]
342,احصل على فنجان قهوة جاهز الآن,احصل على فنجان قهوة جاهز الآن
343,كيف سيكون الطقس بكرة,كيف سيكون الطقس [date : بكرة]
344,هل سيكون الطقس ماطر بكرة,هل سيكون الطقس [weather_descriptor : ماطر] [date : بكرة]
345,ماذا ستكون درجة الحرارة بكرة,ماذا ستكون [weather_descriptor : درجة الحرارة] [date : بكرة]
346,وش توقعات الجو بكرة,وش توقعات الجو [date : بكرة]
347,ما هي توقعات الطقس الغد,ما هي توقعات الطقس [date : الغد]
348,تتوقع تمطر بكره,تتوقع [weather_descriptor : تمطر] [date : بكره]
349,هل سوف تثلج بكرة,هل سوف [weather_descriptor : تثلج] [date : بكرة]
350,شوف أذا المطعم يقدم وجبات سفري,شوف أذا [business_type : المطعم] يقدم وجبات [order_type : سفري]
351,مطعم سفري,[business_type : مطعم] [order_type : سفري]
352,فيه menu طلبات سفري في المطعم,فيه menu [order_type : طلبات سفري] في [business_type : المطعم]
353,في أي يوم من أيام الأسبوع تكون اثنان و عشرين مارس,في أي يوم من أيام الأسبوع تكون [date : اثنان و عشرين مارس]
354,التاسع والعشرين مارس يأتي في أي يوم,[date : التاسع والعشرين مارس] يأتي في أي يوم
355,في أي يوم من أيام الأسبوع هو أول أبريل,في أي يوم من أيام الأسبوع هو [date : أول أبريل]
356,ما منبهي التالي,ما منبهي التالي
357,رجاء قولي لي ما هي منبهاتي,رجاء قولي لي ما هي منبهاتي
358,في أي وقت بيرن المنبه حقي اليوم,في أي وقت بيرن المنبه حقي [date : اليوم]
359,هل يمكن أن تخبرني الوقت,هل يمكن أن تخبرني الوقت
360,كم الوقت الحين,كم الوقت الحين
361,شغل أغنية رقم ثمنية من موسيقى google play,شغل [song_name : أغنية رقم ثمنية] من موسيقى [playlist_name : google play]
362,شغل الأغنية الثانية من أغاني تامر حسني,شغل الأغنية الثانية من أغاني [artist_name : تامر حسني]
363,تشغيل أغنية بشكل عشوائي من قايمة تشغيل حقي,تشغيل أغنية بشكل عشوائي من قايمة تشغيل حقي
364,ما هو التاريخ الحالي,ما هو التاريخ الحالي
365,هل اليوم الإثنين,هل [date : اليوم الإثنين]
366,من فضلك قل لي آخر الأخبار,من فضلك قل لي آخر الأخبار
367,ما هي أخر الأخبار,ما هي أخر الأخبار
368,كيف هو الطقس في مدينة مكة,كيف هو الطقس في مدينة [place_name : مكة]
369,طفي الانوار,طفي الانوار
370,أبغى أطفي الأنوار ممكن تطفيها عشاني,أبغى أطفي الأنوار ممكن تطفيها عشاني
374,أخبرني إذا كان التالي صحيح بخصوص الطقس,أخبرني إذا كان التالي صحيح بخصوص الطقس
375,هل الطقس مشمس في جدة الآن,هل الطقس [weather_descriptor : مشمس] في [place_name : جدة] الآن
376,تحقق من تطبيق الطقس لمعرفة ما إذا كان,تحقق من تطبيق الطقس لمعرفة ما إذا كان
377,ممكن تحفظ هاذي الموسيقى في القائمة حقي,ممكن تحفظ هاذي الموسيقى في القائمة حقي
