id,utt,annot_utt
80,işıqların parlaqlığını daha yuxarı qoy,işıqların parlaqlığını daha yuxarı qoy
81,işıqların parlaqlığını artır,işıqların parlaqlığını artır
82,zəhmət olmasa işıqları maksimuma qaldır,zəhmət olmasa işıqları [change_amount : maksimuma] qaldır
83,hey robot tozsoranı işə sal,hey [device_type : robot tozsoranı] işə sal
84,robot təmizləyicini yandır,[device_type : robot təmizləyicini] yandır
85,bugünkü tarixi de,[date : bugünkü] tarixi de
86,bugün hansı tarixdir,[date : bugün] hansı tarixdir
87,zəhmət olmasa mənə nahar üçün suşi sifariş et,zəhmət olmasa mənə [meal_type : nahar] üçün [food_type : suşi] sifariş et
88,hey burger sifariş etməyini istərdim,hey [food_type : burger] sifariş etməyini istərdim
89,bu gecə nahar üçün suşi sifariş edə bilərsiniz,[timeofday : bu gecə] [meal_type : nahar] üçün [food_type : suşi] sifariş edə bilərsiniz
90,mənim şam yeməyin sifarişi nə yerdədir,mənim şam yeməyin sifarişi nə yerdədir
91,anadoludan paket nahar sifariş edə bilərəmmi,[business_name : anadoludan] [order_type : paket] [meal_type : nahar] sifariş edə bilərəmmi
92,köz dönər paket yemək verir,[business_name : köz dönər] [order_type : paket yemək] verir
93,saat on ikiyə zəngli saat qur,saat [time : on ikiyə] zəngli saat qur
94,qırx beş dəqiqədən sonraya zəngli saat qur,[time : qırx] beş [time : dəqiqədən sonraya] zəngli saat qur
95,saatın zəngini həftənin hər günü saat səkkizə qur,saatın zəngini [general_frequency : həftənin hər günü] saat [time : səkkizə] qur
96,yağış yağırmı,yağış [weather_descriptor : yağırmı]
97,yağış yağacaq,[weather_descriptor : yağış] yağacaq
98,indi qar yağır,indi [weather_descriptor : qar yağır]
99,həftənin hava proqnozu nədir,[time : həftənin] hava proqnozu nədir
100,həftənin proqnozu nədir,[time : həftənin] proqnozu nədir
101,bu həftə hava necədir,[date : bu həftə] hava necədir
102,bu həftə hava necədir,[date : bu həftə] hava necədir
103,mənə bu həftə üçün hava durumunu de,mənə [date : bu həftə] üçün hava durumunu de
104,mənə a. z. t. v. xəbərlərini de,mənə [media_type : a. z. t. v.] xəbərlərini de
105,a. n. s. ç. m. xəbərlərdə nə var,[media_type : a. n. s.] ç. m. xəbərlərdə nə var
106,b. b. c. nin ən son xəbərləri nədir,[media_type : b. b. c. nin] ən son xəbərləri nədir
107,dudu çal,[song_name : dudu] çal
108,mənim xoşuma gələn mahnı çal,mənim xoşuma gələn mahnı çal
109,ay qızı aç,[song_name : ay qızı] aç
110,daft punkı çal,[artist_name : daft punkı] çal
111,biraz dədəbaba qrupu qoş,biraz [artist_name : dədəbaba qrupu] qoş
112,bir az rafet elroman çal,bir az [artist_name : rafet elroman] çal
113,bu mahnını təkrar təkrar oxut,bu mahnını [player_setting : təkrar təkrar oxut]
114,bu pleylisti qarışıq sıra ilə oxut,bu pleylisti [player_setting : qarışıq sıra ilə oxut]
115,səsi aşağı sal,səsi [change_amount : aşağı] sal
116,oxuyan nədir,oxuyan nədir
117,bu hansı mahnıdır,bu hansı mahnıdır
118,mənə bu mahnının ifaçısını de,mənə bu mahnının ifaçısını de
119,güldür məni,güldür məni
120,olly məni güldür,olly məni güldür
121,mənə yaxşı bir lətifə danış,mənə [joke_type : yaxşı] bir lətifə danış
122,mənə əyləncəli bir şey göndər,mənə əyləncəli bir şey göndər
123,mənə lətifə danış,mənə lətifə danış
124,olly mənə lətifə danış,olly mənə lətifə danış
125,alexa mənə lətifə danış,alexa mənə lətifə danış
126,məni şənləndir,məni şənləndir
127,bugün neçənci gündür,[date : bugün] neçənci gündür
128,hansı tarixdir,hansı tarixdir
129,mənə bugün haqqında danış,mənə [date : bugün] haqqında danış
130,pizza sifariş et,[food_type : pizza] sifariş et
131,mənə qonşu restoranından ləvəngi sifariş et,mənə [business_name : qonşu] restoranından [food_type : ləvəngi] sifariş et
132,paket yemək sifariş et,[order_type : paket yemək] sifariş et
133,sifarişim nə vaxt çatır,sifarişim nə vaxt çatır
134,mənim paket yeməyimin gəlməyinə nə qədər vaxt qalıb,mənim [order_type : paket yeməyimin] gəlməyinə nə qədər vaxt qalıb
135,dominosun çatdırılma statusu,[business_name : dominosun] [order_type : çatdırılma] statusu
136,oxuyan nədir,oxuyan nədir
137,mənə mahnının adını de,mənə mahnının adını de
138,o hansı mahnıdır,o hansı mahnıdır
139,mənim caz pleylistimi çal,mənim [music_genre : caz] pleylistimi çal
140,mənim caz pleylistimi başlat,mənim [music_genre : caz] pleylistimi başlat
141,mənim sevimli pleylistimi oynat,mənim sevimli pleylistimi oynat
142,yaxşı mahnıdır,yaxşı mahnıdır
143,bunu bəyənmədim,bunu bəyənmədim
144,bundan xoşum gəlir,bundan xoşum gəlir
145,mən cazı sevirəm,mən [music_genre : cazı] sevirəm
146,bir az caz oxuda bilərsən,bir az [music_genre : caz] oxuda bilərsən
147,mən caza qulaq asmağı xoşlayıram,mən [music_genre : caza] qulaq asmağı xoşlayıram
148,olly caz dinləmək istəyirəm,olly [music_genre : caz] dinləmək istəyirəm
149,bu mahnı çox yaxşı idi,bu mahnı çox yaxşı idi
150,bu mahnı mənim xoşuma gəlir,bu mahnı mənim xoşuma gəlir
151,onu yenidən oxut zəhmət olmasa,onu yenidən oxut zəhmət olmasa
152,səs səviyyəsini dəyiş,səs səviyyəsini dəyiş
153,qarışıq sıra ilə oxutmanı aktivləşdir,[player_setting : qarışıq sıra ilə oxutmanı] aktivləşdir
154,parametrləri yadda saxla,parametrləri yadda saxla
155,işıqlandırmanı əlli faizə qoy,işıqlandırmanı [change_amount : əlli faizə] qoy
156,parlaqlığı azalt,parlaqlığı azalt
157,parlaqlığı azalt,parlaqlığı azalt
158,işıqları azalt,işıqları azalt
159,parlaqlığı azalt,parlaqlığı azalt
160,işıqların parlaqlığını zəiflət,işıqların parlaqlığını zəiflət
161,olly işığı al,olly işığı al
162,mənə qəhvə hazırla,mənə qəhvə hazırla
163,olly mənə kofe düzəlt,olly mənə kofe düzəlt
164,qəhvə istəyirəm,qəhvə istəyirəm
165,indi bir az qəhvə istəyirəm,indi bir az qəhvə istəyirəm
166,necəsən,necəsən
167,ey ey,ey ey
168,paket yemək hazırlaya bilirlər,[order_type : paket yemək] hazırlaya bilirlər
169,onlar çatdırılma edir,onlar [order_type : çatdırılma] edir
170,onlar çatdırılma edir,onlar [order_type : çatdırılma] edir
171,olly onlar evə çatdırılma edir,olly onlar evə [order_type : çatdırılma] edir
172,saatın zəngini səhər saat ona qur,saatın zəngini [time : səhər saat ona] qur
173,saatın zəngini sabah səhər saat altıya qur,saatın zəngini [date : sabah] [time : səhər saat altıya] qur
174,cümə axşamı səhər saat yeddiyə oyandırma zəngi qur,[date : cümə axşamı] [time : səhər saat yeddiyə] oyandırma zəngi qur
175,mənə ən son texnologiya xəbərlərini de,mənə ən son [news_topic : texnologiya] xəbərlərini de
176,mənə ən son texnologiya ilə bağlı olan xəbələri de,mənə ən son [news_topic : texnologiya] ilə bağlı olan xəbələri de
177,mənə biznes xəbərləri çatdır,mənə [news_topic : biznes] xəbərləri çatdır
178,mənə beynəlxalq xəbərlər barəsində danış,mənə [place_name : beynəlxalq] xəbərlər barəsində danış
179,mənə havanı de,mənə havanı de
180,indi hava necədir,indi hava necədir
181,indi yağış yağır,indi [weather_descriptor : yağış yağır]
182,mənim rok pleylistimi oxut,mənim [music_genre : rok] pleylistimi oxut
183,mənim michael jackson pleylistimi aş,mənim [artist_name : michael jackson] pleylistimi aş
184,pleylistimdən rəşid behbudovu oxut,pleylistimdən [artist_name : rəşid behbudovu] oxut
185,mənim pleylistimi aç və sıradakı üçüncü mahnını oxut,mənim pleylistimi aç və sıradakı üçüncü mahnını oxut
186,mənim sevimli pleylistimdən axırıncı mahnını çal,mənim sevimli pleylistimdən [song_name : axırıncı mahnını] çal
187,səsi artır,səsi artır
188,səsi artır,səsi artır
189,səsi kəs,səsi kəs
190,ştepseli yandır,[device_type : ştepseli] yandır
191,ştepseli yandır,[device_type : ştepseli] yandır
192,ştepseli yandır,[device_type : ştepseli] yandır
193,mənə bir az lətifə danış,mənə bir az lətifə danış
194,heç lətifə bilirsən,heç lətifə bilirsən
195,saat neçədir,saat neçədir
196,mənə saatı de,mənə saatı de
197,saat neçədir,saat neçədir
198,dominoes paket servisi edir,[food_type : dominoes] [order_type : paket servisi] edir
199,sevimli pizza yerim paket yemək təmin edir,sevimli [food_type : pizza] yerim [order_type : paket yemək] təmin edir
200,ispan yerindən çatdırılma yemək sifariş edə bilərəm,[food_type : ispan] yerindən [order_type : çatdırılma] yemək sifariş edə bilərəm
201,yeni qurduğum zəngli saatı sil,yeni qurduğum zəngli saatı sil
202,qudoku sil,qudoku sil
203,qurduğum zəngli saatları mənə göstər,qurduğum zəngli saatları mənə göstər
204,mənim hər hansı alarmlarım var,mənim hər hansı alarmlarım var
205,zəngli saatları göstər,zəngli saatları göstər
206,mingəçevirdə hava necədir,[place_name : mingəçevirdə] hava necədir
207,mənə bakıda havanı de,mənə [place_name : bakıda] havanı de
209,işıqları oxumağa uyğun rejimə qoy,işıqları [color_type : oxumağa uyğun] rejimə qoy
210,zəhmət olmasa işıqları televizora baxmağa uyğun elə,zəhmət olmasa işıqları [color_type : televizora baxmağa uyğun] elə
211,otağı daha çox işıqlandır,[house_place : otağı] daha çox işıqlandır
212,və işıq başlasın,və işıq başlasın
213,bugün ayın neçəsidir,[date : bugün] ayın neçəsidir
214,bugün neçənci gündür,[date : bugün] neçənci gündür
215,mənə ayın tarixini de,mənə ayın tarixini de
216,bugün hava necədir,[date : bugün] hava necədir
217,bayırda yağır,bayırda [weather_descriptor : yağır]
218,olly bayırda yağış yağır,olly bayırda [weather_descriptor : yağış yağır]
219,sabah mən çətir gətirim,[date : sabah] mən [weather_descriptor : çətir] gətirim
220,rok siyahısından mahnı çaı,[playlist_name : rok siyahısından] mahnı çaı
221,işıqları yaşıl rəngə dəyiş,işıqları [color_type : yaşıl] rəngə dəyiş
222,bu mahnını sevdiklərimin siyahısına əlavə et,bu mahnını sevdiklərimin siyahısına əlavə et
223,bu mahnı nədir,bu mahnı nədir
224,olly işığları söndür,olly işığları söndür
225,işıqları söndür,işıqları söndür
226,döşəməni təmizlə zəhmət olmasa,[house_place : döşəməni] təmizlə zəhmət olmasa
227,düyü bişirənin rozetkasını yandır,[device_type : düyü bişirənin rozetkasını] yandır
228,düyü bişirənin rozetkasını söndür,[device_type : düyü bişirənin rozetkasını] söndür
229,las veqasda saat neçədir,[place_name : las veqasda] saat neçədir
230,pekində saat neçədir,[place_name : pekində] saat neçədir
231,zəhmət olmasa sushi nooshidən suşi sifariş etməkdə mənə kömək edə bilərsən,zəhmət olmasa [business_name : sushi nooshidən] [food_type : suşi] sifariş etməkdə mənə kömək edə bilərsən
232,səhər saat altıya zəngli saat qur,[timeofday : səhər] saat [time : altıya] zəngli saat qur
233,saatın zəngini günorta saat dördə qur,saatın zəngini [timeofday : günorta] saat [time : dördə] qur
234,olly günorta saat üçdə mənə konsertə getmək üçün xəbərdarlıq et,olly [time : günorta saat üçdə] mənə [event_name : konsertə] getmək üçün xəbərdarlıq et
235,günorta saat üçdə konsertə getmək üçün mənə xəbərdarlıq et,[time : günorta saat üçdə] [event_name : konsertə] getmək üçün mənə xəbərdarlıq et
236,səhər uçuşu üçün zəngli saatım var mı,[timeofday : səhər] [event_name : uçuşu] üçün zəngli saatım var mı
237,mən səhər yuxudan oyanmaq üçün zəngli saat qurmuşam,mən [timeofday : səhər] [alarm_type : yuxudan oyanmaq] üçün zəngli saat qurmuşam
238,hər hansı zəngli saat var,hər hansı zəngli saat var
239,zəngilanda yağış yağır,[place_name : zəngilanda] [weather_descriptor : yağış yağır]
240,bugün yağış yağacaq,[date : bugün] [weather_descriptor : yağış] yağacaq
241,bayırda nə baş verir,bayırda nə baş verir
242,amerikada nə baş verir,[place_name : amerikada] nə baş verir
243,dünyada nə baş verir,[place_name : dünyada] nə baş verir
244,laçında nə baş verir,[place_name : laçında] nə baş verir
245,b. b. c. dən mənə bir neçə xəbər göstər,[media_type : b. b. c.] dən mənə bir neçə xəbər göstər
246,olly az. t. v. dən bir neçə xəbər göstər,olly [media_type : az. t. v.] dən bir neçə xəbər göstər
247,c. b. c. xəbərlərini aç,[media_type : c. b. c.] xəbərlərini aç
248,oli qafqazinfo,oli [media_type : qafqazinfo]
249,mənə bir. iki hihop çal,mənə bir. iki [music_genre : hihop] çal
250,mən indi caz həvəsindəyəm sən necə,mən indi [music_genre : caz] həvəsindəyəm sən necə
251,olly indi ağır metal,olly indi ağır [music_genre : metal]
252,ağır metal indi,ağır [music_genre : metal] indi
254,olly mənim sevimli caz çalarımdan yaxşı bir mahnı oxut,olly mənim sevimli [music_genre : caz] çalarımdan yaxşı bir mahnı oxut
255,olly mən işdən sonra adətən hansı mahnıları xoşlayıram,olly mən işdən sonra adətən hansı mahnıları xoşlayıram
257,olly mənim sevimli pianoçumdan musiqi oxut,olly mənim sevimli [music_genre : pianoçumdan] musiqi oxut
258,mən səni eşidə bilmirəm,mən səni eşidə bilmirəm
259,çox ucadan danışırsan,çox ucadan danışırsan
260,mən səni güclə eşidirəm olly,mən səni güclə eşidirəm olly
261,mən səni güclə eşidirəm,mən səni güclə eşidirəm
262,işıqları mavi rəngə qoy,işıqları [color_type : mavi rəngə] qoy
263,gəl işıqları mavi rəngə qoyaq,gəl işıqları [color_type : mavi rəngə] qoyaq
264,işıqları mavi rəng et,işıqları [color_type : mavi rəng] et
265,olly gecən xeyrə işığı söndür,olly gecən xeyrə işığı söndür
267,bura zülmət qaranlıqdır,bura zülmət qaranlıqdır
268,işıqların parlaqlığını artır,işıqların parlaqlığını artır
269,olly çox qaranlıqdır əllərimi belə görə bilmirəm,olly çox qaranlıqdır əllərimi belə görə bilmirəm
270,saat neçədir,saat neçədir
271,indi tokioda saat neçədir,indi [place_name : tokioda] saat neçədir
273,bu mahnı nədir,bu mahnı nədir
274,olly bu mahnı nədir,olly bu mahnı nədir
275,müğənni mahnının adı bohemian rhapsody ilə nəyi nəzərdə tuturdu,müğənni mahnının adı [song_name : bohemian rhapsody] ilə nəyi nəzərdə tuturdu
276,leyla mahnısını təkrar kim oxumuşdu,[song_name : leyla] mahnısını təkrar kim oxumuşdu
277,bakıda hava necədir,[place_name : bakıda] hava necədir
278,bakıda hava necədir,[place_name : bakıda] hava necədir
279,bakı üçün bu günün hava proqnozu nədir,[place_name : bakı] üçün [date : bu günün] hava proqnozu nədir
280,dağlıq qarabağla bağlı danışıqların cari vəziyyəti necədir,[news_topic : dağlıq qarabağla bağlı danışıqların] cari vəziyyəti necədir
281,a. b. ş. dollarının funt sterlinqə qarşı məzənnəsi nədir,[news_topic : a. b. ş. dollarının funt sterlinqə qarşı məzənnəsi] nədir
282,fransada növbəti seçkiləri kim qazanacaq,[place_name : fransada] növbəti [news_topic : seçkiləri] kim qazanacaq
283,bazar günü günəş gözlənilir,[date : bazar günü] [weather_descriptor : günəş] gözlənilir
284,axşam yağış yağacaq,[timeofday : axşam] [weather_descriptor : yağış] yağacaq
285,sabah küləkli olacaq,[date : sabah] [weather_descriptor : küləkli] olacaq
286,mətbəxin işıqlarını yandır,[house_place : mətbəxin] işıqlarını yandır
287,divanın yanındakı lampanın işığını artır,[device_type : divanın yanındakı lampanın] işığını artır
288,işığı artır,işığı artır
289,moskvada indi saat neçədir,[place_name : moskvada] indi saat neçədir
290,tozsoranı işə sal,[device_type : tozsoranı] işə sal
291,mətbəxi tozsoranla,[house_place : mətbəxi] tozsoranla
292,tozsoranı yandır,[device_type : tozsoranı] yandır
293,dünyada nə baş verir,[place_name : dünyada] nə baş verir
294,mənə xəbərləri deyin,mənə xəbərləri deyin
295,mənə bugünkü qəzetin xəbər başlıqlarını de,mənə [date : bugünkü] [media_type : qəzetin] xəbər başlıqlarını de
296,nirvana pleylistini çal,[playlist_name : nirvana pleylistini] çal
297,coldplay mahnılarını qarışdır,[artist_name : coldplay] mahnılarını [player_setting : qarışdır]
298,şopeni çal,[artist_name : şopeni] çal
299,hava necədir,hava necədir
300,bu gün üçün hava proqnozu nədir,[date : bu gün] üçün hava proqnozu nədir
301,hava təqribən necədir,hava təqribən necədir
302,nə ilə məşğulsan,nə ilə məşğulsan
303,nə var nə yox,nə var nə yox
304,səhər nə var nə yox,səhər nə var nə yox
305,pizza expressdən pizza sifariş edin,[business_name : pizza expressdən] [food_type : pizza] sifariş edin
306,mən suşi yemək istəyirəm mənə nahar sifariş verə bilərsən,mən [food_type : suşi] yemək istəyirəm mənə [meal_type : nahar] sifariş verə bilərsən
307,alexa mən suşi yemək istəyirəm mənə nahar sifariş edə bilərsən,alexa mən [food_type : suşi] yemək istəyirəm mənə [meal_type : nahar] sifariş edə bilərsən
308,anadolu restoranından paket sendviç və şorba sifariş et,[business_name : anadolu restoranından] [order_type : paket] [food_type : sendviç] və [food_type : şorba] sifariş et
309,bu il neçə gün qalıb,[date : bu il] neçə gün qalıb
310,bu il yeni il gecəsi hansı günə düşür,[date : bu il] yeni il gecəsi hansı günə düşür
311,bu il anım günü hansı gündür,[date : bu il] anım günü hansı gündür
312,bura çox qaranlıqdır,bura çox qaranlıqdır
313,parlaqlığı iyirmi faiz artır,parlaqlığı [change_amount : iyirmi faiz] artır
314,işıqları tam gücünə yandır,işıqları [change_amount : tam gücünə] yandır
315,zəhmət olmasa növbəti bir saat sakit olun,zəhmət olmasa [time : növbəti bir saat] sakit olun
316,səssiz,səssiz
317,bugün danışma,[date : bugün] danışma
318,sabah yağış yağacaq,[date : sabah] [weather_descriptor : yağış] yağacaq
319,iki gün sonra bakıda havanı de,[time : iki gün sonra] [place_name : bakıda] havanı de
320,sabah çətir götürəcəm,[date : sabah] [weather_descriptor : çətir] götürəcəm
321,rozetkanı söndür,[device_type : rozetkanı] söndür
322,mənim ştepseli yandır,mənim [device_type : ştepseli] yandır
323,ağıllı şarj cihazını yandır,[device_type : ağıllı şarj cihazını] yandır
324,texnobloqda olan texnologiya ilə bağlı xəbərlərdən de,[media_type : texnobloqda] olan [news_topic : texnologiya] ilə bağlı xəbərlərdən de
325,xoşbəxt,xoşbəxt
326,axşam,[timeofday : axşam]
327,bazar günü,[date : bazar günü]
329,qara gilə,[song_name : qara gilə]
330,daha sakit,daha sakit
331,daha yumşaq,daha yumşaq
332,sakit,sakit
333,bakıda hava şəraiti necədir,[place_name : bakıda] hava şəraiti necədir
334,zəngilanda havanı bilmək istəyirəm,[place_name : zəngilanda] havanı bilmək istəyirəm
335,bakıda havanı bilmək istərdim,[place_name : bakıda] havanı bilmək istərdim
336,bakıda qar yağır,[place_name : bakıda] [weather_descriptor : qar yağır]
339,yo mən indi qəhvə istəyirəm,yo mən indi qəhvə istəyirəm
340,olly bu gün ehtiyacı olan birinə kömək etdim,olly [date : bu gün] ehtiyacı olan birinə kömək etdim
341,qəhvə maşınını yandır,[device_type : qəhvə maşınını] yandır
342,indi bir fincan qəhvə hazırla,indi bir fincan qəhvə hazırla
343,sabah hava necə olacaq,[date : sabah] hava necə olacaq
344,sabah yağışlı olacaq,[date : sabah] [weather_descriptor : yağışlı] olacaq
345,sabah bayırda temperatur neçə dərəcə olacaq,[date : sabah] bayırda [weather_descriptor : temperatur] neçə dərəcə olacaq
346,sabahkı hava proqnozu necədir,[date : sabahkı] hava proqnozu necədir
347,sabahkı hava proqnozu nədir,[date : sabahkı] hava proqnozu nədir
348,sabah yağış yağacaq,[date : sabah] [weather_descriptor : yağış yağacaq]
349,sabah qar yağacaq,[date : sabah] [weather_descriptor : qar] yağacaq
350,restoranın paket yemək sifarişləri edib etmədiyini öyrən,[business_type : restoranın] [order_type : paket yemək] sifarişləri edib etmədiyini öyrən
351,yoxla gör restoran paket yemək verir,yoxla gör [business_type : restoran] [order_type : paket yemək] verir
352,restoranda paket yemək menyusu var,[business_type : restoranda] [order_type : paket yemək] menyusu var
353,martın iyirmi ikisi həftənin neçənci günüdür,[date : martın iyirmi ikisi] həftənin neçənci günüdür
354,martın iyirmi doqquzu hansı günə düşür,[date : martın iyirmi doqquzu] hansı günə düşür
355,aprelin biri həftənin neçənci gününə düşür,[date : aprelin biri] həftənin neçənci gününə düşür
356,mənim növbəti qudokum nədi,mənim növbəti qudokum nədi
357,zəhmət olmasa zəngli saatlarımı mənə de,zəhmət olmasa zəngli saatlarımı mənə de
358,zəngli saatım bugün saat neçədə işə düşəcək,zəngli saatım [date : bugün] saat neçədə işə düşəcək
